RNF2_GSM2805868	AUC = 0.572
ASCL1_GSM1700638	AUC = 0.572
FOXM1_GSM1000997	AUC = 0.572
BRD4_GSM2330575	AUC = 0.572
FOSL2_ENCSR775UFR_1	AUC = 0.571
FOSL2_ENCSR775UFR_2	AUC = 0.571
RB1_GSM497491	AUC = 0.570
FOSL2_ENCSR686HIU_2	AUC = 0.570
EZH2_GSM1427074	AUC = 0.570
SNAI2_GSM1336151	AUC = 0.570
KMT2B_GSM1240109	AUC = 0.569
FOSL2_ENCSR067XTW_3	AUC = 0.568
NFE2L2_ENCSR707IUN_2	AUC = 0.568
FOSL1_GSM2501565	AUC = 0.568
KLF5_GSM2356661	AUC = 0.567
EZH2_GSM1508944	AUC = 0.567
SNAI2_GSM1336152	AUC = 0.567
DNMT3A_GSM1607383	AUC = 0.567
BRD4_GSM2330574	AUC = 0.566
GRHL2_GSM1125982	AUC = 0.566
ZNF750_GSM1387027	AUC = 0.566
FOSL2_ENCSR900RUE_1	AUC = 0.566
EP300_GSM1240110	AUC = 0.566
ASCL1_GSM1499400	AUC = 0.566
RNF2_GSM585230	AUC = 0.566
NFE2L1_ENCSR632SHZ_1	AUC = 0.565
TP53_GSM981236	AUC = 0.565
FOSL2_ENCSR242EWU_2	AUC = 0.565
ARID1A_GSM2719737	AUC = 0.565
RELA_GSM2419820	AUC = 0.564
BRD4_GSM2330576	AUC = 0.564
TP73_GSM501689	AUC = 0.564
FOSL2_ENCSR242EWU_1	AUC = 0.564
FOSL2_ENCSR274WRI_2	AUC = 0.563
FOSL2_ENCSR563GCV_2	AUC = 0.563
RELA_GSM2419831	AUC = 0.563
FOSL2_ENCSR111ZXV_1	AUC = 0.563
TP53_GSM1241481	AUC = 0.562
SMC3_GSM2813841	AUC = 0.562
TEAD4_GSM1084783	AUC = 0.562
FOSL2_ENCSR067XTW_1	AUC = 0.562
FOS_GSM935438	AUC = 0.562
FOSL2_ENCSR900RUE_3	AUC = 0.561
