MED1_GSM1470018	AUC = 0.695
POLR2A_GSM1905392	AUC = 0.695
E2F1_GSM1207914	AUC = 0.695
MYCN_GSM2482828	AUC = 0.695
POLR2A_GSM1905393	AUC = 0.695
POLR2A_GSM1843413	AUC = 0.695
E2F1_GSM1207889	AUC = 0.695
MED1_GSM1470020	AUC = 0.695
POLR2A_GSM1463465	AUC = 0.695
POLR2A_GSM1405135	AUC = 0.695
CNOT3_GSM1617391	AUC = 0.694
TAL1_GSM1122311	AUC = 0.694
POLR2A_GSM1622636	AUC = 0.694
E2F1_GSM1207898	AUC = 0.694
SPIN1_GSM1383879	AUC = 0.693
EZH2_GSM1003524	AUC = 0.693
EP300_GSM1239069	AUC = 0.693
POLR2A_GSM1777594	AUC = 0.693
EP300_GSM1523075	AUC = 0.693
JARID2_GSM1180161	AUC = 0.693
POLR2A_GSM1843414	AUC = 0.692
POLR2A_GSM1843415	AUC = 0.692
KDM5B_GSM831011	AUC = 0.692
SUZ12_GSM2705896	AUC = 0.692
POLR2A_GSM1777588	AUC = 0.692
POLR3D_GSM2544232	AUC = 0.692
RYBP_GSM855008	AUC = 0.691
ZBTB7A_GSM2771544	AUC = 0.691
ZNF100_GSM2466467	AUC = 0.691
SUZ12_GSM2409674	AUC = 0.691
BRD4_GSM1121099	AUC = 0.691
POLR2A_GSM969566	AUC = 0.691
FOXA2_GSM2977505	AUC = 0.691
POLR2A_GSM1679097	AUC = 0.690
CTCF_GSM1647363	AUC = 0.690
JARID2_GSM1180148	AUC = 0.690
POLR2A_GSM1905390	AUC = 0.690
BRD4_GSM1968282	AUC = 0.690
POLR2A_GSM2676801	AUC = 0.690
POLR2A_GSM1905391	AUC = 0.689
BRD4_GSM1348518	AUC = 0.689
BRPF3_GSM1556187	AUC = 0.689
H2AZ_GSM2760307	AUC = 0.689
MYC_GSM2065883	AUC = 0.689
POLR2A_GSM1622632	AUC = 0.689
CBFB_GSM1122320	AUC = 0.688
E2F1_GSM699987	AUC = 0.688
POLR2A_GSM1523080	AUC = 0.688
BRD4_GSM2676812	AUC = 0.688
INO80_GSM2877258	AUC = 0.688
MYC_GSM1907206	AUC = 0.688
ZNF519_GSM2466578	AUC = 0.688
POLR2A_GSM1523077	AUC = 0.687
POLR2A_GSM1523079	AUC = 0.687
POLR2A_GSM2218640	AUC = 0.687
PHF8_GSM520381	AUC = 0.687
E2F1_GSM1207906	AUC = 0.687
EP300_GSM1470015	AUC = 0.687
H2AZ_GSM2760310	AUC = 0.687
POLR2A_GSM1122307	AUC = 0.687
E2F1_GSM1207905	AUC = 0.686
POLR2A_GSM1777593	AUC = 0.686
BRPF3_GSM1556189	AUC = 0.686
BRD4_GSM2350452	AUC = 0.686
CREB1_GSM801050	AUC = 0.686
POLR2A_GSM1383869	AUC = 0.685
MYC_GSM1505809	AUC = 0.685
POLR2A_GSM1777595	AUC = 0.685
ZFX_GSM2909536	AUC = 0.685
BRD4_GSM1874947	AUC = 0.684
CBFB_GSM726977	AUC = 0.684
KAT7_GSM818282	AUC = 0.684
KDM2B_GSM2805867	AUC = 0.684
POLR2A_GSM748558	AUC = 0.684
POLR2A_GSM1405138	AUC = 0.684
POLR2A_GSM2316358	AUC = 0.684
RARG_GSM1469991	AUC = 0.684
POLR2A_GSM1405141	AUC = 0.684
