PPARG_GSM634630	AUC = 0.780
PPARG_GSM1020363	AUC = 0.760
PPARG_GSM634629	AUC = 0.749
BRD4_GSM1709938	AUC = 0.725
JARID2_GSM1180148	AUC = 0.722
EZH2_GSM1180154	AUC = 0.719
PPARG_GSM1571739	AUC = 0.719
EZH2_GSM1180139	AUC = 0.715
JARID2_GSM1180157	AUC = 0.709
JARID2_GSM1180161	AUC = 0.704
JARID2_GSM1180149	AUC = 0.704
SUZ12_GSM935423	AUC = 0.696
EZH2_GSM831028	AUC = 0.695
JARID2_GSM1180153	AUC = 0.694
BRD4_GSM1709939	AUC = 0.693
PPARG_GSM1571727	AUC = 0.689
EZH2_GSM1003489	AUC = 0.688
EZH2_GSM1180162	AUC = 0.683
PPARG_GSM534494	AUC = 0.678
EZH2_GSM717404	AUC = 0.675
MED1_GSM1566731	AUC = 0.670
SUZ12_GSM2409704	AUC = 0.670
EZH2_GSM1180158	AUC = 0.669
MED1_GSM1537677	AUC = 0.669
JARID2_GSM1180169	AUC = 0.664
SUZ12_GSM2409698	AUC = 0.662
SUZ12_GSM1842795	AUC = 0.662
EZH2_GSM1180166	AUC = 0.661
PPARG_GSM1571728	AUC = 0.659
SUZ12_GSM2409674	AUC = 0.658
MED1_GSM2802954	AUC = 0.653
EZH2_GSM1003501	AUC = 0.652
CEBPA_GSM1020364	AUC = 0.652
SUZ12_GSM2265652	AUC = 0.651
EZH2_GSM2265654	AUC = 0.647
PPARG_GSM1443810	AUC = 0.646
EZH2_GSM2265655	AUC = 0.645
EZH2_GSM1003532	AUC = 0.640
SUZ12_GSM2705896	AUC = 0.639
MED1_GSM2802953	AUC = 0.637
PPARG_GSM1443809	AUC = 0.635
MED1_GSM1537678	AUC = 0.634
JARID2_GSM1180165	AUC = 0.634
CREBBP_GSM1443803	AUC = 0.633
EZH2_GSM1003529	AUC = 0.632
PPARG_GSM534493	AUC = 0.629
MED1_GSM1537680	AUC = 0.627
EZH2_GSM1003550	AUC = 0.626
EZH2_GSM717405	AUC = 0.625
MED1_GSM1537679	AUC = 0.623
EZH2_GSM1003524	AUC = 0.621
SMAD3_GSM1949005	AUC = 0.619
PPARG_GSM1571726	AUC = 0.619
CREBBP_GSM1443804	AUC = 0.617
EZH2_GSM1508941	AUC = 0.617
SUZ12_GSM969572	AUC = 0.615
EZH2_GSM1003518	AUC = 0.612
EP300_GSM1003514	AUC = 0.610
SMAD3_GSM1949007	AUC = 0.608
RELA_GSM1566732	AUC = 0.607
EP300_GSM1831049	AUC = 0.606
MBD2_GSM1388122	AUC = 0.605
MED1_GSM2802958	AUC = 0.605
MED1_GSM1566728	AUC = 0.604
EZH2_GSM1003487	AUC = 0.603
REST_GSM1290172	AUC = 0.599
MBD2_GSM1322266	AUC = 0.598
EP300_GSM447587	AUC = 0.597
EZH2_GSM1508944	AUC = 0.596
SUZ12_GSM1031240	AUC = 0.592
REST_GSM1192175	AUC = 0.591
AR_GSM1358395	AUC = 0.590
PPARG_GSM1571729	AUC = 0.590
AR_GSM1358397	AUC = 0.588
RNF2_GSM2805868	AUC = 0.588
SMC3_GSM2813841	AUC = 0.586
REST_GSM1240838	AUC = 0.586
REST_GSM1333999	AUC = 0.586
AR_GSM1358409	AUC = 0.585
REST_GSM1192174	AUC = 0.585
MED1_GSM2802960	AUC = 0.585
REST_GSM1290171	AUC = 0.584
RELA_GSM1566733	AUC = 0.583
REST_GSM1290154	AUC = 0.582
REST_GSM1290153	AUC = 0.582
EZH2_GSM1180150	AUC = 0.582
CEBPA_GSM599838	AUC = 0.580
REST_GSM1240824	AUC = 0.579
