GATA3_GSM1859075	AUC = 0.597
EP300_GSM1847311	AUC = 0.596
CRY1_GSM1081129	AUC = 0.596
POLR3D_GSM1906349	AUC = 0.596
RUNX1_GSM1501167	AUC = 0.596
NR3C1_GSM1516132	AUC = 0.596
BACH2_GSM1703916	AUC = 0.596
IKZF1_GSM1420198	AUC = 0.595
POLR3D_GSM1906352	AUC = 0.595
POLR3D_GSM1906350	AUC = 0.595
RELA_GSM486300	AUC = 0.595
SND1_GSM1153765	AUC = 0.594
RELA_GSM2746542	AUC = 0.594
NR3C1_GSM1637309	AUC = 0.594
ZTA_GSM1404654	AUC = 0.594
SPI1_GSM2359983	AUC = 0.593
SPI1_GSM1334006	AUC = 0.593
POLR3D_GSM1906345	AUC = 0.593
EBF1_GSM1958039	AUC = 0.592
MEIS1_GSM940322	AUC = 0.592
SMAD2-SMAD3_GSM2795973	AUC = 0.592
GRIP1_GSM2661805	AUC = 0.592
EBNA3C_GSM1273052	AUC = 0.591
RELA_GSM486281	AUC = 0.591
SIRT1_GSM2474864	AUC = 0.591
RUNX1_GSM2150335	AUC = 0.590
SPIB_GSM1370289	AUC = 0.590
NFATC1_GSM1010779	AUC = 0.589
CUX1_GSM1003604	AUC = 0.589
SPI1_GSM1681424	AUC = 0.589
IKZF1_GSM1420193	AUC = 0.589
IKZF1_GSM1420194	AUC = 0.589
KDM1A_GSM1844441	AUC = 0.589
RUNX1_GSM610330	AUC = 0.588
SPI1_GSM785495	AUC = 0.588
TCF7L1_GSM957607	AUC = 0.587
TET2_GSM1863068	AUC = 0.587
IRF1_GSM1057027	AUC = 0.587
MYB_GSM1859070	AUC = 0.586
LMO2_GSM1501164	AUC = 0.586
POLR3D_GSM1906346	AUC = 0.586
SPI1_GSM2592808	AUC = 0.585
POLR3D_GSM1906348	AUC = 0.585
BRDU_GSM922798	AUC = 0.585
RBPJ_GSM729854	AUC = 0.585
TCF7L1_GSM1082309	AUC = 0.585
SPI1_GSM1816090	AUC = 0.585
HES2_ENCSR951SNW_2	AUC = 0.584
SPI1_GSM2359984	AUC = 0.584
HES2_ENCSR911KBJ_3	AUC = 0.584
EP300_GSM835863	AUC = 0.584
ZNF436_GSM2026865	AUC = 0.584
SPI1_GSM1681426	AUC = 0.584
SPI1_GSM1370280	AUC = 0.583
IKZF1_GSM1420196	AUC = 0.583
BCL6_GSM1668938	AUC = 0.583
SPI1_GSM1334007	AUC = 0.583
BACH2_GSM1703893	AUC = 0.583
NR3C1_GSM1637307	AUC = 0.583
SPI1_GSM2359985	AUC = 0.582
EBNA3C_GSM1273053	AUC = 0.582
MEIS1_GSM940324	AUC = 0.581
ZMYM3_GSM2574786	AUC = 0.581
CEBPB_ENCSR299ILN_1	AUC = 0.581
GATA2_GSM1480746	AUC = 0.580
RUNX1_GSM722170	AUC = 0.580
HES2_ENCSR686BIE_3	AUC = 0.580
HES2_ENCSR964KSS_3	AUC = 0.579
HES2_ENCSR425MXK_3	AUC = 0.579
HES2_ENCSR951SNW_1	AUC = 0.579
SPI1_GSM1681423	AUC = 0.579
JMJD6_GSM1249879	AUC = 0.579
SPI1_GSM2359986	AUC = 0.579
HES2_ENCSR646EFO_1	AUC = 0.578
JUNB_ENCSR897MMC_2	AUC = 0.578
RELA_GSM486319	AUC = 0.578
HES2_ENCSR419TWL_1	AUC = 0.578
VDR_GSM2371453	AUC = 0.578
SMARCA4_GSM651558	AUC = 0.578
TAL1_GSM837996	AUC = 0.578
MED1_GSM2802958	AUC = 0.578
ZTA_GSM1404655	AUC = 0.577
SPI1_GSM1841308	AUC = 0.577
SPI1_GSM1334005	AUC = 0.577
CTCF_GSM325897	AUC = 0.577
JUNB_GSM2394416	AUC = 0.577
HES2_ENCSR425MXK_1	AUC = 0.577
SPIB_GSM1370281	AUC = 0.577
EBNA2_GSM2039170	AUC = 0.576
ZNF597_GSM2574797	AUC = 0.575
SPI1_GSM2359987	AUC = 0.575
MED1_GSM2802957	AUC = 0.575
SPI1_GSM1703922	AUC = 0.575
RELA_GSM2103047	AUC = 0.575
HES2_ENCSR078POK_1	AUC = 0.575
IKZF1_GSM1420199	AUC = 0.575
RXRG_GSM468204	AUC = 0.574
SPI1_GSM1010843	AUC = 0.574
SMC3_GSM1240840	AUC = 0.574
RELA_GSM486269	AUC = 0.574
RELA_GSM486317	AUC = 0.574
HES2_ENCSR646EFO_2	AUC = 0.574
CEBPB_GSM2345027	AUC = 0.574
HES2_ENCSR911KBJ_1	AUC = 0.574
PML_GSM468206	AUC = 0.573
LMO2_GSM1501165	AUC = 0.573
FOXP1_GSM1544543	AUC = 0.573
HES2_ENCSR356YXW_2	AUC = 0.573
JMJD1C_GSM1901544	AUC = 0.573
IRF4_GSM1370291	AUC = 0.573
GATA1_GSM788368	AUC = 0.573
SMARCA4_GSM651557	AUC = 0.573
SMC1A_GSM2592813	AUC = 0.572
SSRP1_GSM1103546	AUC = 0.572
HES2_ENCSR979IOT_2	AUC = 0.572
ZMYM3_ENCSR102KIN_2	AUC = 0.571
CEBPB_ENCSR269IUA_3	AUC = 0.571
BCL6_GSM1438986	AUC = 0.571
TAL1_GSM607953	AUC = 0.571
STAT3_GSM2855430	AUC = 0.571
SPI1_GSM1681425	AUC = 0.571
SMC3_GSM2813841	AUC = 0.571
HES2_ENCSR686BIE_2	AUC = 0.571
FOSL2_ENCSR242EWU_1	AUC = 0.571
FOSL2_ENCSR775UFR_3	AUC = 0.570
FOSL2_ENCSR535HFQ_1	AUC = 0.570
FOSL2_ENCSR067XTW_2	AUC = 0.570
TET2_GSM2274677	AUC = 0.570
HES2_ENCSR964KSS_2	AUC = 0.570
SPI1_GSM1940201	AUC = 0.569
TCF12_GSM837987	AUC = 0.569
SPI1_GSM1940197	AUC = 0.569
FOSL2_ENCSR103UVU_1	AUC = 0.569
HES2_ENCSR964KSS_1	AUC = 0.569
RUNX1_GSM1113428	AUC = 0.569
SMAD3_GSM934615	AUC = 0.569
ZMYM3_GSM2574777	AUC = 0.569
CDCA2_GSM2226138	AUC = 0.568
FOSL2_ENCSR274WRI_2	AUC = 0.568
TERF1_GSM1328844	AUC = 0.568
IKZF1_GSM1420197	AUC = 0.568
FOSL2_ENCSR274WRI_3	AUC = 0.568
CTCF_GSM2026783	AUC = 0.568
IRF4_GSM1370279	AUC = 0.567
FOSL2_ENCSR900RUE_3	AUC = 0.567
FOSL2_ENCSR900RUE_1	AUC = 0.566
TBX21_ENCSR739IHN_2	AUC = 0.566
HOXA9_GSM940321	AUC = 0.566
SMC3_GSM2813838	AUC = 0.566
ZMYM3_ENCSR102KIN_1	AUC = 0.566
FOSL2_ENCSR242EWU_2	AUC = 0.566
RXRG_GSM2695654	AUC = 0.565
EP300_GSM1917726	AUC = 0.565
FOSL2_ENCSR067XTW_3	AUC = 0.565
MCM2_GSM2474865	AUC = 0.565
SMC3_GSM2813844	AUC = 0.565
EP300_GSM1290185	AUC = 0.565
RAD21_GSM2809610	AUC = 0.565
HES2_ENCSR078POK_2	AUC = 0.564
STAT1_GSM1057013	AUC = 0.564
SPI1_GSM803531	AUC = 0.564
SND1_GSM729852	AUC = 0.563
EZH2_GSM1003489	AUC = 0.563
RELA_GSM486318	AUC = 0.563
MED1_GSM2190588	AUC = 0.563
RAD21_GSM1335529	AUC = 0.563
NFKB2_GSM1556337	AUC = 0.563
ZNF512_ENCSR591CCL_2	AUC = 0.563
FOSL1_GSM2501565	AUC = 0.563
FOSL2_ENCSR686HIU_2	AUC = 0.563
HES2_ENCSR686BIE_1	AUC = 0.563
RAD21_GSM2486815	AUC = 0.563
FOSL2_ENCSR563GCV_2	AUC = 0.562
SPI1_GSM803398	AUC = 0.562
IRF1_GSM1057025	AUC = 0.562
BATF_GSM803538	AUC = 0.562
FOSL2_ENCSR775UFR_1	AUC = 0.562
BRDU_GSM922795	AUC = 0.562
JMJD1C_GSM1901547	AUC = 0.562
FOSL2_ENCSR330IJE_2	AUC = 0.562
FOSL2_ENCSR563GCV_1	AUC = 0.562
EP300_GSM1917730	AUC = 0.562
RELA_GSM486301	AUC = 0.562
CREBBP_GSM2386721	AUC = 0.562
CTCF_GSM2341639	AUC = 0.561
RUNX1_GSM722708	AUC = 0.561
RUNX1_GSM1581788	AUC = 0.561
ESR1_GSM641426	AUC = 0.561
CEBPB_ENCSR474DCX_2	AUC = 0.561
CTCF_GSM1224657	AUC = 0.561
FOSL2_ENCSR686HIU_1	AUC = 0.561
EBNA3C_GSM1975602	AUC = 0.561
MED1_GSM2802953	AUC = 0.561
CTCFL_GSM1239559	AUC = 0.561
