GREB1_GSM1019129	AUC = 0.654
RCOR1_ENCSR391JII_2	AUC = 0.653
RELA_GSM1643963	AUC = 0.653
ESR1_GSM1003731	AUC = 0.653
MYC_GSM762708	AUC = 0.653
KLF5_GSM1250891	AUC = 0.653
GRHL2_GSM2122803	AUC = 0.653
BRD4_GSM2359445	AUC = 0.652
RXRA_GSM791406	AUC = 0.652
MYC_GSM808754	AUC = 0.652
REPIN1_GSM1141538	AUC = 0.652
RELA_GSM1239484	AUC = 0.652
DROSHA_ENCSR316JQA_1	AUC = 0.652
EZH2_GSM1385748	AUC = 0.652
POLR2A_GSM2066439	AUC = 0.652
ATF2_GSM1239448	AUC = 0.652
TFAP2C_GSM889425	AUC = 0.652
TFAP2C_GSM530915	AUC = 0.652
GRHL2_GSM2970415	AUC = 0.652
H2AZ_GSM2895355	AUC = 0.651
MAX_GSM1008618	AUC = 0.651
ESR1_GSM631480	AUC = 0.651
NPAT_GSM1239515	AUC = 0.651
RCOR1_ENCSR391JII_1	AUC = 0.651
MECOM_GSM1208740	AUC = 0.651
H2AZ_GSM686941	AUC = 0.651
PR_GSM2112810	AUC = 0.650
HDAC1_GSM830993	AUC = 0.650
MYC_GSM894098	AUC = 0.650
MAX_GSM1010863	AUC = 0.650
MYC_GSM808755	AUC = 0.650
SON_GSM2040560	AUC = 0.650
POLR2A_GSM2042904	AUC = 0.650
HOXA6_GSM1239462	AUC = 0.650
PROX1_GSM1477597	AUC = 0.650
GATA6_GSM1250901	AUC = 0.650
MYC_GSM1208654	AUC = 0.649
SNAI2_GSM1336146	AUC = 0.649
RYBP_GSM855008	AUC = 0.649
TP63_GSM1489263	AUC = 0.649
RARG_GSM1469985	AUC = 0.649
EP300_GSM1669057	AUC = 0.649
MNT_GSM1208771	AUC = 0.649
PRKDC_GSM1470002	AUC = 0.649
HDAC2_GSM830995	AUC = 0.649
ESR1_GSM2648922	AUC = 0.649
GRHL2_GSM1825678	AUC = 0.648
CTBP1_ENCSR636EYA_2	AUC = 0.648
GREB1_GSM1019132	AUC = 0.648
MYC_GSM1006877	AUC = 0.648
E2F1_GSM1207906	AUC = 0.648
RAD21_GSM2297331	AUC = 0.648
POLR2A_GSM2042903	AUC = 0.648
H2AFX_GSM1382418	AUC = 0.648
POLR2A_GSM889414	AUC = 0.648
SOX9_GSM1239487	AUC = 0.648
ARNT2_GSM1239447	AUC = 0.647
E2F6_GSM1010899	AUC = 0.647
BCAT1_GSM791407	AUC = 0.647
MYC_GSM748533	AUC = 0.647
SIRT1_GSM2474871	AUC = 0.647
GATA6_GSM1197322	AUC = 0.647
IRF1_GSM1239465	AUC = 0.647
GABPA_GSM1010864	AUC = 0.647
E2F1_GSM699984	AUC = 0.647
MYC_GSM762709	AUC = 0.647
E2F1_GSM1207909	AUC = 0.647
EZH2_GSM1003501	AUC = 0.647
SUZ12_GSM1842795	AUC = 0.646
TCF7L1_GSM1873237	AUC = 0.646
CTBP1_ENCSR636EYA_1	AUC = 0.646
ZNF592_ENCSR701AQS_2	AUC = 0.646
ESR1_GSM798399	AUC = 0.646
TFDP1_GSM2132554	AUC = 0.646
TLE3_GSM1019137	AUC = 0.646
ESR1_GSM631487	AUC = 0.646
BRD4_GSM1842716	AUC = 0.646
ESR1_GSM1643954	AUC = 0.646
CDX2_GSM2560479	AUC = 0.646
BRD4_GSM1890755	AUC = 0.646
H2AZ_GSM2895354	AUC = 0.646
ESR1_GSM631486	AUC = 0.645
SOX9_GSM1554224	AUC = 0.645
ZXDC_GSM2574810	AUC = 0.645
STAT3_GSM2278008	AUC = 0.645
EP300_GSM1470015	AUC = 0.645
POLR2A_GSM889412	AUC = 0.645
ESR1_GSM631485	AUC = 0.645
E2F6_GSM935476	AUC = 0.645
TET2_GSM2274677	AUC = 0.645
MAX_GSM894099	AUC = 0.645
EZH2_GSM1003524	AUC = 0.645
EED_GSM1045472	AUC = 0.645
CTBP2_GSM935463	AUC = 0.644
SAP30_GSM831018	AUC = 0.644
EZH2_GSM1180162	AUC = 0.644
BARX1_GSM1239492	AUC = 0.644
ESR1_GSM631482	AUC = 0.644
EZH2_GSM1180166	AUC = 0.644
H2AZ_GSM2467218	AUC = 0.644
MBD2_ENCSR940MHE_1	AUC = 0.644
MYC_GSM748541	AUC = 0.644
BRD4_GSM2359448	AUC = 0.644
DNMT3B_GSM2642524	AUC = 0.644
MYC_GSM2065881	AUC = 0.644
STAT2_GSM1239540	AUC = 0.644
POLR2A_GSM889415	AUC = 0.644
SMAD3_GSM539547	AUC = 0.644
ESR1_GSM2648924	AUC = 0.644
E2F1_GSM699985	AUC = 0.644
FOXP1_GSM1239500	AUC = 0.643
ESR1_GSM631460	AUC = 0.643
GRHL2_GSM2970418	AUC = 0.643
ELF1_GSM2224585	AUC = 0.643
SMARCA4_GSM971332	AUC = 0.643
MYC_GSM1907203	AUC = 0.643
SP1_GSM855449	AUC = 0.643
REST_GSM1010891	AUC = 0.643
MBD2_ENCSR940MHE_2	AUC = 0.643
ESR1_GSM614611	AUC = 0.643
ZMYM3_GSM2574757	AUC = 0.643
KLF4_GSM1919982	AUC = 0.643
SIN3A_ENCSR468LUO_1	AUC = 0.643
ETV5_GSM1208736	AUC = 0.643
POLR2A_GSM894100	AUC = 0.643
MYC_GSM1099029	AUC = 0.643
BRD4_GSM2330574	AUC = 0.643
EP300_GSM1470013	AUC = 0.643
ZNF217_GSM935563	AUC = 0.643
JUN_GSM1239467	AUC = 0.643
POLR3D_GSM2544234	AUC = 0.643
ESR1_GSM2915378	AUC = 0.643
MYC_GSM822301	AUC = 0.643
H2AZ_GSM2467216	AUC = 0.643
H2AZ_GSM2467212	AUC = 0.642
DLX2_GSM1208724	AUC = 0.642
POLR2A_GSM889411	AUC = 0.642
ETV7_GSM1208739	AUC = 0.642
