CEBPB_GSM2592800	AUC = 0.540
SMARCC1_GSM2472121	AUC = 0.540
PHOX2B_GSM2664369	AUC = 0.539
TP63_GSM1489262	AUC = 0.538
MAML3_GSM1693098	AUC = 0.537
TP63_GSM1446929	AUC = 0.537
TP63_GSM1446930	AUC = 0.537
TBX5_GSM2279985	AUC = 0.536
SMC3_GSM2813841	AUC = 0.536
TP63_GSM1489261	AUC = 0.536
MYC_GSM991046	AUC = 0.536
MAML3_GSM1693099	AUC = 0.535
RNF2_GSM850474	AUC = 0.535
MYC_GSM991047	AUC = 0.534
OTX2_GSM1505711	AUC = 0.534
NANOG_GSM1505700	AUC = 0.534
MAML3_GSM1693100	AUC = 0.534
TCF4_GSM2545828	AUC = 0.533
PROX1_GSM1831051	AUC = 0.533
PAX3_GSM471810	AUC = 0.533
TP53_GSM1366695	AUC = 0.533
CTNNB1_GSM1579346	AUC = 0.533
TP63_GSM439776	AUC = 0.533
TCF4_GSM1505791	AUC = 0.532
MAML3_GSM1693097	AUC = 0.532
ZNF274_GSM935329	AUC = 0.532
TP63_GSM1446927	AUC = 0.531
FLI1_GSM1517562	AUC = 0.531
EWSR1_GSM2472082	AUC = 0.530
SOX2_GSM1701825	AUC = 0.530
ZFP57_GSM2466450	AUC = 0.530
EZH2_GSM1003576	AUC = 0.530
SMARCA2_GSM2472120	AUC = 0.530
TP63_GSM538930	AUC = 0.530
CEBPB_GSM1684645	AUC = 0.529
TP63_GSM1139036	AUC = 0.529
MAF_GSM2592804	AUC = 0.529
CEBPB_GSM1684640	AUC = 0.528
CEBPB_GSM1684641	AUC = 0.527
TCF4_GSM2545830	AUC = 0.527
MED1_GSM1566729	AUC = 0.527
SMC3_GSM2813844	AUC = 0.527
TP53_GSM1366697	AUC = 0.526
NME2_GSM991049	AUC = 0.525
GATA4_GSM2279955	AUC = 0.525
MYOG_GSM2214115	AUC = 0.525
GATA4_GSM2280004	AUC = 0.525
MAF_GSM2592803	AUC = 0.525
CEBPB_GSM1684646	AUC = 0.524
EOMES_GSM1505630	AUC = 0.524
TP63_GSM1446928	AUC = 0.524
NR2F2_ENCSR168SMX_2	AUC = 0.524
CEBPB_GSM1684642	AUC = 0.524
TBX5_GSM2280027	AUC = 0.524
OTX2_GSM2432943	AUC = 0.524
NME2_GSM991048	AUC = 0.523
EZH2_GSM1427074	AUC = 0.523
TP53_GSM1366691	AUC = 0.522
PR_GSM999792	AUC = 0.522
BCL11A_GSM803476	AUC = 0.522
POU5F1_GSM1705268	AUC = 0.521
POU5F1_GSM2648933	AUC = 0.521
CEBPB_GSM1684643	AUC = 0.521
EHMT2_GSM1644651	AUC = 0.521
EZH2_GSM1427070	AUC = 0.520
POU5F1_GSM881710	AUC = 0.520
EHMT2_GSM1644659	AUC = 0.520
RAD21_GSM2809610	AUC = 0.520
OTX2_GSM2432980	AUC = 0.520
TET2_GSM1863064	AUC = 0.520
NR2F2_ENCSR338MMB_1	AUC = 0.519
TP63_GSM1849669	AUC = 0.519
SMAD2_GSM761758	AUC = 0.518
CEBPB_GSM2188503	AUC = 0.518
POU5F1_GSM1124067	AUC = 0.518
CEBPB_GSM2188502	AUC = 0.518
TBX5_GSM2280019	AUC = 0.518
TBX5_GSM2280042	AUC = 0.518
EBF3_GSM2410318	AUC = 0.518
CEBPB_GSM1684647	AUC = 0.518
RAD21_GSM1242270	AUC = 0.518
SMC3_GSM1240840	AUC = 0.517
POU5F1_GSM1705267	AUC = 0.517
SMC3_GSM2813838	AUC = 0.517
POU5F1_ENCSR264RJX_2	AUC = 0.516
JMJD6_GSM1249879	AUC = 0.516
PRDM1_GSM1505616	AUC = 0.516
EP300_GSM2550230	AUC = 0.516
POU5F1_GSM1505728	AUC = 0.516
NR3C1_GSM1607528	AUC = 0.515
REST_GSM1192175	AUC = 0.515
MED1_GSM2802955	AUC = 0.515
ZNF512_ENCSR591CCL_2	AUC = 0.514
STAG1_GSM800624	AUC = 0.514
OTX2_GSM2432942	AUC = 0.514
RELA_GSM1566735	AUC = 0.514
SIX2_GSM1970528	AUC = 0.513
SPI1_GSM1377535	AUC = 0.513
TEAD4_GSM2232927	AUC = 0.513
SOX2_GSM896986	AUC = 0.513
EP300_GSM1831050	AUC = 0.513
GATA6_GSM1505664	AUC = 0.513
OTX2_GSM2432981	AUC = 0.513
TP63_GSM2350362	AUC = 0.513
AR_GSM1358395	AUC = 0.513
PGR_GSM1703567	AUC = 0.513
GATA4_GSM2279964	AUC = 0.513
GATA6_GSM1505658	AUC = 0.512
REST_GSM1192174	AUC = 0.512
TP53_GSM1366690	AUC = 0.512
MBD2_GSM1544114	AUC = 0.512
CBX2_GSM1319305	AUC = 0.512
BMI1_GSM838668	AUC = 0.512
GLI2_GSM2661795	AUC = 0.512
NR3C1_GSM1607526	AUC = 0.512
RAD21_GSM2486813	AUC = 0.512
CHAT_GSM1898101	AUC = 0.512
HNF1A_GSM1982474	AUC = 0.511
RAD21_GSM2486814	AUC = 0.511
NR3C1_GSM2735382	AUC = 0.511
RAD21_GSM1239446	AUC = 0.511
SOX2_GSM1701828	AUC = 0.511
GATA4_GSM2280035	AUC = 0.511
GATA4_GSM2280012	AUC = 0.511
TET2_GSM1863067	AUC = 0.510
SMC1A_GSM2493884	AUC = 0.510
GATA6_GSM1505660	AUC = 0.510
NEUROG2_GSM1970155	AUC = 0.510
RAD21_GSM1239585	AUC = 0.509
RAD21_GSM1242276	AUC = 0.509
GATA6_GSM2050700	AUC = 0.509
NR3C1_GSM1607525	AUC = 0.509
NR3C1_GSM2735378	AUC = 0.509
CEBPB_GSM2804467	AUC = 0.508
PBX3_GSM1831600	AUC = 0.508
GATA3_GSM2664370	AUC = 0.508
POU5F1_GSM803438	AUC = 0.508
EP300_GSM2550223	AUC = 0.508
EP300_GSM1645719	AUC = 0.508
HAND2_GSM2664371	AUC = 0.507
AR_GSM1358397	AUC = 0.507
GLI2_GSM2661793	AUC = 0.507
CTCF_GSM534485	AUC = 0.507
SUZ12_GSM831042	AUC = 0.507
SUZ12_GSM1003573	AUC = 0.507
POU5F1_GSM545203	AUC = 0.507
EP300_GSM1645718	AUC = 0.507
CHD7_GSM1003473	AUC = 0.506
CHD7_GSM831027	AUC = 0.506
TCF21_GSM1503214	AUC = 0.506
RAD21_GSM2038348	AUC = 0.506
SMARCA4_GSM602297	AUC = 0.506
LEF1_GSM1579344	AUC = 0.505
NEUROG2_GSM1970154	AUC = 0.505
RAD21_GSM2486815	AUC = 0.505
RAD21_GSM2486816	AUC = 0.505
CDX2_GSM743039	AUC = 0.505
BRDU_GSM922796	AUC = 0.505
CEBPB_GSM2330566	AUC = 0.505
CHAT_GSM1898100	AUC = 0.504
OTX2_GSM2432960	AUC = 0.504
SMARCA2_GSM2472119	AUC = 0.504
NR3C1_GSM2735380	AUC = 0.504
HNF1A_GSM1982476	AUC = 0.504
SMC3_ENCSR481YWD_2	AUC = 0.504
EOMES_GSM1505629	AUC = 0.504
NR3C1_GSM1607527	AUC = 0.504
JARID2_GSM1180134	AUC = 0.504
SMAD3_GSM897116	AUC = 0.504
SATB1_GSM1898102	AUC = 0.503
JMJD6_GSM1249880	AUC = 0.503
REST_GSM1290172	AUC = 0.503
MYOG_GSM2629527	AUC = 0.503
SOX11_GSM1260312	AUC = 0.502
REST_GSM1240838	AUC = 0.502
SMAD3_GSM727585	AUC = 0.502
GRIP1_GSM2661799	AUC = 0.502
CTCF_GSM2257818	AUC = 0.502
TP53_GSM1366696	AUC = 0.502
CEBPB_GSM1684636	AUC = 0.502
SMC3_GSM2813843	AUC = 0.502
STAG1_GSM1234008	AUC = 0.501
CEBPD_GSM2394399	AUC = 0.501
CEBPB_GSM2804466	AUC = 0.501
TP73_GSM501688	AUC = 0.501
SMC3_GSM897119	AUC = 0.501
SOX2_GSM1364026	AUC = 0.501
NUP98-HOXA9_GSM1529673	AUC = 0.501
CEBPB_GSM2592797	AUC = 0.500
ESR1_GSM2257819	AUC = 0.500
SMC1A_GSM897120	AUC = 0.500
MCM2_GSM2474865	AUC = 0.500
ATF4_GSM1684649	AUC = 0.500
SMC1A_GSM2592813	AUC = 0.500
OTX2_GSM2432964	AUC = 0.500
DUX4_GSM837613	AUC = 0.500
TCF21_GSM1503217	AUC = 0.500
SMC3_GSM2813840	AUC = 0.499
SMAD2_GSM2635691	AUC = 0.499
REST_GSM1333999	AUC = 0.499
SMC3_GSM2813837	AUC = 0.499
GRIP1_GSM2661805	AUC = 0.499
GATA3_GSM1680102	AUC = 0.498
CTCF_GSM1056577	AUC = 0.498
CEBPB_GSM1684635	AUC = 0.498
PR_GSM770758	AUC = 0.498
REST_GSM1240824	AUC = 0.498
CEBPB_GSM1684634	AUC = 0.498
GATA3_GSM1602666	AUC = 0.498
SMARCA4_ENCSR839SFJ_2	AUC = 0.498
AR_GSM1308232	AUC = 0.498
OTX2_GSM2432958	AUC = 0.498
NR2F2_ENCSR338MMB_2	AUC = 0.498
PR_GSM770759	AUC = 0.498
NKX2-1_GSM2665568	AUC = 0.497
HOTAIR_GSM820436	AUC = 0.497
AR_GSM1308233	AUC = 0.497
OTX2_GSM1505704	AUC = 0.497
GATA3_GSM935567	AUC = 0.497
SATB1_GSM1898103	AUC = 0.497
RAD21_GSM1335529	AUC = 0.497
AR_GSM1358409	AUC = 0.497
HOTAIR_GSM820433	AUC = 0.497
OTX2_GSM2432951	AUC = 0.497
STAG1_GSM1239586	AUC = 0.496
SIX2_GSM1970530	AUC = 0.496
REST_GSM1290154	AUC = 0.496
TET2_GSM2274677	AUC = 0.496
TAL1_GSM1291199	AUC = 0.496
REST_GSM1290153	AUC = 0.495
HNF4G_ENCSR297GII_2	AUC = 0.495
TAL1_GSM1291197	AUC = 0.495
RNF2_GSM585232	AUC = 0.495
EBF3_GSM2410319	AUC = 0.494
REST_GSM1290171	AUC = 0.494
GATA3_GSM1602667	AUC = 0.494
FLI1_GSM1517546	AUC = 0.494
TAL1_GSM908055	AUC = 0.494
DMC1_GSM1447325	AUC = 0.494
GATA4_GSM2279972	AUC = 0.494
HSF1_GSM951898	AUC = 0.494
POU5F1_GSM896985	AUC = 0.494
CTCF_GSM1505621	AUC = 0.493
OTX2_GSM1505706	AUC = 0.493
CTCF_GSM1239390	AUC = 0.493
CTCF_GSM1939276	AUC = 0.493
SMC1A_GSM2493885	AUC = 0.493
SMC1A_GSM2040030	AUC = 0.493
AR_GSM1358405	AUC = 0.493
NEUROG2_GSM1970151	AUC = 0.493
SMARCC1_GSM1835891	AUC = 0.492
SIRT1_GSM2474870	AUC = 0.492
NEUROD1_GSM1700642	AUC = 0.492
SMC1A_GSM2493882	AUC = 0.492
AR_GSM1308229	AUC = 0.492
AR_GSM1308230	AUC = 0.492
ZNF169_GSM2466482	AUC = 0.492
REST_GSM1333995	AUC = 0.491
CTCF_GSM2341639	AUC = 0.491
OTX2_GSM2432962	AUC = 0.491
ZFP57_GSM2466451	AUC = 0.491
RAD21_ENCSR230ZWH_2	AUC = 0.491
SMAD2_GSM1266817	AUC = 0.491
NEUROG2_GSM1970153	AUC = 0.491
CTCF_GSM1910997	AUC = 0.491
CTCF_GSM1505624	AUC = 0.491
CEBPB_GSM2330568	AUC = 0.491
SOX2_GSM1139038	AUC = 0.491
GATA6_GSM1505662	AUC = 0.491
ZNF75D_GSM2466649	AUC = 0.491
GATA4_GSM1505647	AUC = 0.490
CTCF_GSM646373	AUC = 0.490
GATA4_GSM1505646	AUC = 0.490
REST_GSM1290158	AUC = 0.490
EBF3_GSM2410317	AUC = 0.490
CTCF_GSM2026783	AUC = 0.490
CTCF_GSM1705262	AUC = 0.490
ZNF75D_GSM2466648	AUC = 0.490
SMARCA4_ENCSR839SFJ_1	AUC = 0.490
NEUROG2_GSM1970150	AUC = 0.490
H2AZ_GSM1003530	AUC = 0.490
NR2F1_GSM1817190	AUC = 0.490
DUX4_GSM2068363	AUC = 0.490
RAD21_GSM1240837	AUC = 0.490
EP300_GSM2550244	AUC = 0.490
NR3C1_GSM1176701	AUC = 0.489
CTCF_GSM586888	AUC = 0.489
FOXH1_GSM727589	AUC = 0.489
ASCL1_GSM1700641	AUC = 0.489
NEUROG2_GSM1970152	AUC = 0.489
BAHD1_GSM1290243	AUC = 0.489
SSU72_GSM1503826	AUC = 0.489
SMARCA4_GSM1835884	AUC = 0.489
CEBPB_GSM785502	AUC = 0.489
SMC1A_GSM2247253	AUC = 0.489
NANOG_GSM1505696	AUC = 0.488
RAD21_GSM935319	AUC = 0.488
NELFE_GSM1483191	AUC = 0.488
EZH2_GSM1003498	AUC = 0.488
AR_GSM1415630	AUC = 0.488
ZNF512_ENCSR591CCL_1	AUC = 0.488
SMAD3_GSM897117	AUC = 0.488
REST_GSM1290161	AUC = 0.488
TP53_GSM1366689	AUC = 0.488
JUNB_GSM2394416	AUC = 0.488
CTCF_GSM1010774	AUC = 0.488
TBX5_GSM2279971	AUC = 0.488
CHD5_GSM1174714	AUC = 0.488
CTCF_GSM1705263	AUC = 0.488
CTCF_GSM1910998	AUC = 0.488
HNF4A_GSM469864	AUC = 0.488
H2AZ_GSM807391	AUC = 0.487
EP300_GSM2550209	AUC = 0.487
TP73_GSM501690	AUC = 0.487
H2AZ_GSM1003579	AUC = 0.487
GATA3_GSM1680105	AUC = 0.487
EOMES_GSM640691	AUC = 0.487
SMARCC1_GSM1835883	AUC = 0.487
CEBPB_GSM2330567	AUC = 0.487
PPARG_GSM624141	AUC = 0.487
SIX2_GSM1904597	AUC = 0.487
SIX2_GSM1970531	AUC = 0.487
NANOG_GSM518374	AUC = 0.486
POU5F1_GSM1364025	AUC = 0.486
CTCF_GSM651541	AUC = 0.486
RAD21_ENCSR230ZWH_1	AUC = 0.486
GATA2_GSM730701	AUC = 0.486
FAIRE_GSM602298	AUC = 0.486
CTCF_GSM2599086	AUC = 0.486
STAT3_GSM935399	AUC = 0.486
SMAD2-SMAD3_GSM727584	AUC = 0.486
RAD21_ENCSR917QNE_1	AUC = 0.486
CTCF_GSM749665	AUC = 0.486
CTCF_GSM534478	AUC = 0.486
SMAD4_GSM727586	AUC = 0.485
CTCF_GSM2599084	AUC = 0.485
CTCF_GSM646334	AUC = 0.485
ESR1_GSM2257821	AUC = 0.485
FOS_GSM935397	AUC = 0.485
STAT3_GSM935551	AUC = 0.485
ZIM3_GSM2466457	AUC = 0.485
STAT3_GSM935591	AUC = 0.485
CTCF_GSM1022657	AUC = 0.484
TCF21_GSM1503215	AUC = 0.484
CTCF_GSM733762	AUC = 0.484
CTCF_GSM646392	AUC = 0.484
CTCF_GSM1022661	AUC = 0.484
HOTAIR_GSM820434	AUC = 0.484
GATA1_GSM722393	AUC = 0.484
SMARCA4_GSM1517754	AUC = 0.484
HOXC9_GSM848788	AUC = 0.484
POU5F1_GSM881712	AUC = 0.484
HNF4A_GSM469863	AUC = 0.484
CTCF_GSM534471	AUC = 0.484
CTCF_GSM749680	AUC = 0.484
CTCF_GSM2861703	AUC = 0.484
GATA2_GSM935347	AUC = 0.484
FLI1_GSM790209	AUC = 0.483
CTCF_GSM1022669	AUC = 0.483
LYL1_GSM1480747	AUC = 0.483
PRDM6_GSM2026879	AUC = 0.483
OTX2_GSM2432950	AUC = 0.483
POU5F1_GSM545204	AUC = 0.483
ATF4_GSM1697347	AUC = 0.482
SOX2_GSM1198994	AUC = 0.482
GATA1_GSM722394	AUC = 0.482
DUX4_GSM1967861	AUC = 0.482
CTCF_GSM2599088	AUC = 0.482
CTCF_GSM947527	AUC = 0.482
CTCF_GSM646413	AUC = 0.482
CTCF_GSM1022666	AUC = 0.482
REST_GSM1290149	AUC = 0.482
TCF7L1_GSM2124633	AUC = 0.482
ZNF654_ENCSR504VDV_1	AUC = 0.482
CTCF_GSM733783	AUC = 0.482
CTCF_GSM2599089	AUC = 0.482
CTCF_ENCSR515LRI_1	AUC = 0.482
CTCF_GSM534492	AUC = 0.481
REST_GSM1333993	AUC = 0.481
CEBPA_GSM722424	AUC = 0.481
ZBTB48_GSM2543156	AUC = 0.481
CTCF_GSM2316305	AUC = 0.481
GATA1_GSM722395	AUC = 0.481
SOX2_GSM1198993	AUC = 0.481
TAL1_GSM607953	AUC = 0.481
CTCF_GSM624079	AUC = 0.481
CTCF_GSM822279	AUC = 0.481
RARA_GSM1693101	AUC = 0.481
CTCF_GSM1007997	AUC = 0.481
CTCF_GSM749717	AUC = 0.481
CTCF_ENCSR341VKC_1	AUC = 0.480
BIRA_GSM1524328	AUC = 0.480
SMARCA4_GSM1835892	AUC = 0.480
CTCF_GSM1022626	AUC = 0.480
ZNF654_ENCSR504VDV_2	AUC = 0.480
STAT3_GSM935457	AUC = 0.480
SIX2_GSM1904598	AUC = 0.480
SIX2_GSM1970529	AUC = 0.480
