TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
KRAB,-2.101,9.82E-01,-1.477,0.306,0.831,9.79E-01
BACH2,-2.139,9.84E-01,-1.308,0.286,0.831,9.79E-01
CPSF3L,-2.025,9.79E-01,-2.042,0.354,0.832,9.79E-01
KLF10,-1.535,9.38E-01,-1.772,0.302,0.834,9.79E-01
ZBTB16,-1.927,9.73E-01,-1.407,0.286,0.834,9.80E-01
IRAK1,-0.871,8.08E-01,-2.388,0.294,0.835,9.80E-01
MXD3,-1.282,9.00E-01,-1.623,0.24,0.837,9.80E-01
UBTF,-1.512,9.35E-01,-2.494,0.353,0.837,9.81E-01
CDK6,-0.884,8.12E-01,-2.338,0.292,0.838,9.81E-01
MCRS1,-1.015,8.45E-01,-2.081,0.277,0.839,9.81E-01
MAFB,-1.198,8.85E-01,-1.752,0.253,0.839,9.81E-01
E2F4,-2.464,9.93E-01,-2.141,0.36,0.841,9.82E-01
TARDBP,-1.392,9.18E-01,-2.403,0.333,0.842,9.82E-01
SUPT5H,-3.234,9.99E-01,-2.336,0.378,0.843,9.83E-01
YBX3,-1.707,9.56E-01,-1.452,0.253,0.844,9.83E-01
SKI,-1.38,9.16E-01,-1.637,0.224,0.845,9.83E-01
GLI2,-2.626,9.96E-01,-3.117,0.384,0.846,9.84E-01
KDM5C,-1.382,9.17E-01,-2.222,0.322,0.847,9.84E-01
RBCK1,-1.349,9.11E-01,-1.684,0.229,0.848,9.84E-01
ZSCAN22,-1.606,9.46E-01,-2.122,0.323,0.849,9.84E-01
ARID2,-1.212,8.87E-01,-2.49,0.322,0.849,9.85E-01
RB1,-2.153,9.84E-01,-1.956,0.329,0.85,9.85E-01
CDK8,-3.315,1.00E+00,-2.873,0.384,0.851,9.85E-01
FXR1,-1.144,8.74E-01,-1.969,0.26,0.851,9.85E-01
DIDO1,-1.611,9.46E-01,-1.691,0.268,0.852,9.85E-01
