TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZXDB,0.484,3.14E-01,-0.521,0.512,0.476,4.46E-01
CBFA2T2,0.048,4.81E-01,0.593,0.495,0.477,4.48E-01
ZNF611,0.218,4.14E-01,0.018,0.505,0.477,4.48E-01
C11orf30,0,5.00E-01,0.478,0.501,0.477,4.49E-01
SIRT6,0.043,4.83E-01,0.589,0.494,0.478,4.52E-01
ZNF664,0.081,4.68E-01,0.413,0.497,0.481,4.57E-01
AFF1,-0.607,7.28E-01,-0.973,0.595,0.485,4.65E-01
NR2F2,-1.352,9.12E-01,-0.488,0.641,0.485,4.65E-01
ZNF384,-0.28,6.10E-01,0.153,0.516,0.485,4.67E-01
ZNF485,-0.114,5.45E-01,0.97,0.486,0.486,4.68E-01
HOXA4,0.357,3.61E-01,-0.517,0.513,0.487,4.70E-01
FOS,-1.685,9.54E-01,-0.382,0.68,0.488,4.73E-01
ZBTB40,-0.546,7.08E-01,-0.726,0.564,0.489,4.74E-01
MYOG,-0.265,6.04E-01,0.83,0.493,0.49,4.77E-01
ZNF35,0.151,4.40E-01,0.066,0.501,0.49,4.78E-01
ZNF740,0.132,4.48E-01,-0.192,0.509,0.491,4.81E-01
ZNF382,-0.514,6.97E-01,0.493,0.515,0.492,4.82E-01
ZNF324,0.256,3.99E-01,-0.471,0.511,0.495,4.88E-01
E2F5,0.197,4.22E-01,-0.185,0.503,0.498,4.94E-01
ZNF71,0.168,4.33E-01,-0.817,0.522,0.498,4.95E-01
SMARCC1,-0.349,6.36E-01,-0.156,0.523,0.499,4.98E-01
POLR3A,-0.291,6.14E-01,-0.184,0.52,0.5,4.99E-01
SIN3A,-0.614,7.31E-01,-1.55,0.624,0.5,5.01E-01
EBNA3,0.042,4.83E-01,0.315,0.494,0.501,5.03E-01
WDR5,-0.465,6.79E-01,-1.526,0.594,0.501,5.03E-01
E2F1,-0.841,8.00E-01,-1.201,0.629,0.502,5.04E-01
ZNF778,-0.272,6.07E-01,-0.044,0.514,0.502,5.05E-01
ZNF18,-0.192,5.76E-01,-0.584,0.527,0.502,5.05E-01
FAIRE,-1.231,8.91E-01,-0.74,0.621,0.504,5.08E-01
ZKSCAN5,0.275,3.92E-01,-0.507,0.508,0.504,5.08E-01
KRAB,0.046,4.82E-01,0.025,0.5,0.505,5.12E-01
ZSCAN5A,0.205,4.19E-01,-0.499,0.508,0.507,5.16E-01
ING2,0.216,4.14E-01,-0.407,0.504,0.508,5.18E-01
MBD4,0.072,4.71E-01,-0.018,0.496,0.509,5.20E-01
NFIC,-0.425,6.64E-01,-0.556,0.533,0.51,5.22E-01
IRF4,-0.446,6.72E-01,0.031,0.515,0.512,5.27E-01
CHAT,-0.34,6.33E-01,1.041,0.479,0.513,5.29E-01
ZSCAN29,0.1,4.60E-01,-0.228,0.502,0.513,5.29E-01
CCND2,0.313,3.77E-01,-0.758,0.51,0.513,5.30E-01
MYBL2,0.073,4.71E-01,-0.059,0.496,0.513,5.30E-01
MCM3,-0.091,5.36E-01,0.389,0.49,0.517,5.39E-01
CREBBP,-0.961,8.32E-01,-0.689,0.573,0.518,5.41E-01
NFYB,-0.242,5.96E-01,-0.462,0.517,0.519,5.42E-01
ZNF146,-0.36,6.41E-01,0.008,0.508,0.522,5.49E-01
TP73,-0.516,6.97E-01,0.609,0.497,0.522,5.50E-01
ZBTB14,0.384,3.51E-01,-1.107,0.514,0.522,5.50E-01
TFDP1,-0.189,5.75E-01,-0.762,0.522,0.524,5.54E-01
ZNF766,-0.278,6.09E-01,0.152,0.499,0.524,5.55E-01
NCOA1,-0.033,5.13E-01,-0.039,0.495,0.526,5.58E-01
HMBOX1,-0.1,5.40E-01,0.332,0.487,0.528,5.63E-01
CEBPG,-0.583,7.20E-01,0.433,0.504,0.53,5.67E-01
ZNF346,0.271,3.93E-01,-0.711,0.503,0.53,5.68E-01
TAL1,-1.495,9.33E-01,0.487,0.53,0.533,5.74E-01
FXR1,0.096,4.62E-01,-0.46,0.498,0.533,5.75E-01
CREB3,-0.093,5.37E-01,0.106,0.489,0.534,5.77E-01
DDX20,-0.295,6.16E-01,0.178,0.494,0.535,5.78E-01
ZSCAN20,-0.006,5.02E-01,-0.106,0.493,0.536,5.81E-01
MEF2D,-0.229,5.91E-01,0.337,0.486,0.537,5.82E-01
ZNF143,-1.069,8.58E-01,-1.141,0.593,0.538,5.85E-01
USP49,-0.456,6.76E-01,1.169,0.467,0.539,5.87E-01
STAT3,-1.125,8.70E-01,-0.688,0.561,0.54,5.89E-01
BHLHE40,-0.246,5.97E-01,-1.148,0.528,0.541,5.91E-01
YBX3,-0.313,6.23E-01,-0.128,0.502,0.542,5.93E-01
ZNF76,-0.45,6.74E-01,-1.071,0.534,0.542,5.95E-01
SOX9,-0.243,5.96E-01,-1.064,0.524,0.544,5.97E-01
SMAD1,-1.412,9.21E-01,-0.127,0.543,0.544,5.98E-01
ZNF610,0.113,4.55E-01,-1.112,0.515,0.544,5.99E-01
ZNF674,0.188,4.26E-01,-0.834,0.503,0.544,5.99E-01
DDX5,-0.376,6.47E-01,-0.624,0.519,0.545,6.00E-01
COPS2,0.028,4.89E-01,-0.308,0.493,0.546,6.03E-01
BIRA,-0.483,6.85E-01,0.521,0.488,0.546,6.03E-01
SOX2,-2.112,9.83E-01,0.213,0.543,0.546,6.04E-01
FOXP1,-0.943,8.27E-01,-0.888,0.557,0.547,6.05E-01
HDAC4,0.04,4.84E-01,-0.442,0.494,0.55,6.11E-01
SETDB1,-2.159,9.85E-01,-0.495,0.594,0.55,6.11E-01
TP53,-3.582,1.00E+00,-0.726,0.645,0.551,6.15E-01
PRMT1,-0.252,6.00E-01,0.131,0.485,0.552,6.16E-01
PRAME,0.058,4.77E-01,-0.531,0.495,0.553,6.17E-01
ZNF808,-0.474,6.82E-01,1.003,0.466,0.553,6.17E-01
PSIP1,-0.149,5.59E-01,-0.379,0.496,0.553,6.18E-01
RUNX1,-3.167,9.99E-01,-0.899,0.678,0.553,6.18E-01
PHOX2B,-0.383,6.49E-01,0.701,0.472,0.554,6.19E-01
BCL11A,-0.598,7.25E-01,-0.764,0.527,0.554,6.21E-01
ZNF618,-0.095,5.38E-01,-0.1,0.487,0.554,6.21E-01
ERG,-1.245,8.93E-01,-1.183,0.592,0.555,6.23E-01
E2F3,0.142,4.43E-01,-0.842,0.5,0.556,6.25E-01
ZNF558,-0.163,5.65E-01,-0.149,0.489,0.557,6.27E-01
NR4A1,-0.63,7.36E-01,-0.248,0.514,0.558,6.29E-01
SATB1,-0.511,6.95E-01,0.499,0.485,0.558,6.29E-01
ELF1,-1.042,8.51E-01,-1.744,0.616,0.559,6.30E-01
ARID3A,-0.401,6.56E-01,0.012,0.494,0.559,6.31E-01
ZNF780A,-0.369,6.44E-01,0.569,0.472,0.559,6.31E-01
VDR,-1.277,8.99E-01,-1.123,0.587,0.56,6.33E-01
SOX11,-0.709,7.61E-01,0.662,0.486,0.563,6.39E-01
SIX1,-0.454,6.75E-01,0.097,0.492,0.564,6.41E-01
INTS3,0.049,4.81E-01,-0.686,0.495,0.565,6.45E-01
HMGN3,0.129,4.49E-01,-0.97,0.5,0.568,6.50E-01
DEK,-0.334,6.31E-01,-1.232,0.524,0.568,6.51E-01
LMO1,-0.14,5.56E-01,-0.219,0.484,0.57,6.54E-01
IKZF1,-1.083,8.61E-01,-0.048,0.517,0.572,6.59E-01
KDM5C,-0.443,6.71E-01,-1.442,0.529,0.572,6.59E-01
RELB,-0.597,7.25E-01,-0.103,0.502,0.573,6.61E-01
HNF1B,-0.323,6.27E-01,0.202,0.475,0.573,6.62E-01
RB1,-0.751,7.74E-01,-1.117,0.536,0.574,6.62E-01
ZNF75D,-0.69,7.55E-01,0.756,0.473,0.574,6.62E-01
PBX2,-0.43,6.66E-01,-0.058,0.49,0.576,6.67E-01
NEUROD1,-1.701,9.56E-01,-0.51,0.554,0.577,6.70E-01
GPS2,0.038,4.85E-01,-0.808,0.494,0.579,6.74E-01
JUN,-1.323,9.07E-01,-0.173,0.526,0.58,6.75E-01
EP400,-0.041,5.16E-01,-0.625,0.49,0.581,6.77E-01
TBL1XR1,-0.252,6.00E-01,-0.755,0.501,0.581,6.78E-01
ZNF197,-0.101,5.40E-01,-0.555,0.49,0.582,6.79E-01
PITX3,-0.338,6.32E-01,0.098,0.474,0.583,6.83E-01
FOXK2,-0.684,7.53E-01,-0.188,0.503,0.584,6.83E-01
GATA4,-2.985,9.99E-01,0.07,0.535,0.585,6.85E-01
ZNF441,0.078,4.69E-01,-1.1,0.497,0.585,6.86E-01
RBBP5,-0.786,7.84E-01,-1.742,0.557,0.586,6.88E-01
ERCC2,-0.36,6.41E-01,0.098,0.473,0.588,6.92E-01
