TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
RAD51,0.519,3.02E-01,1.408,0.64,0.337,1.73E-01
LEF1,0.926,1.77E-01,0.457,0.669,0.338,1.73E-01
GRHL1,0.772,2.20E-01,1.162,0.636,0.338,1.74E-01
PHF6,1.29,9.85E-02,0.156,0.67,0.339,1.75E-01
HOXA6,1.043,1.49E-01,0.581,0.653,0.34,1.78E-01
CHD8,0,5.00E-01,0.454,0.7,0.341,1.78E-01
TBP,1.44,7.50E-02,0.008,0.67,0.341,1.78E-01
NBN,0.822,2.06E-01,0.898,0.644,0.341,1.79E-01
NONO,0.384,3.51E-01,2.193,0.625,0.341,1.79E-01
BCL11B,1.761,3.91E-02,0.061,0.654,0.343,1.82E-01
HOXA4,0.969,1.66E-01,0.672,0.648,0.344,1.83E-01
SMC1A,1.027,1.52E-01,0.164,0.675,0.344,1.84E-01
SOX4,0.872,1.92E-01,1.101,0.629,0.347,1.87E-01
AGO2,0.88,1.89E-01,0.804,0.643,0.349,1.91E-01
REST,-0.743,7.71E-01,1.127,0.684,0.349,1.91E-01
RPE,1.856,3.17E-02,-0.174,0.66,0.352,1.97E-01
AHR,0.394,3.47E-01,1.49,0.632,0.354,1.99E-01
ZNF202,0.454,3.25E-01,0.821,0.654,0.356,2.03E-01
TOP1,0.464,3.21E-01,0.445,0.676,0.356,2.03E-01
INO80,1.231,1.09E-01,0.023,0.671,0.357,2.04E-01
ZFP41,0.433,3.33E-01,1.736,0.624,0.358,2.06E-01
CREB3,0.812,2.08E-01,1.069,0.627,0.358,2.07E-01
VEZF1,1.061,1.44E-01,0.325,0.661,0.359,2.08E-01
SETD1A,1.182,1.19E-01,0.346,0.655,0.359,2.08E-01
ICE1,0.914,1.80E-01,0.884,0.63,0.36,2.09E-01
NOTCH1,0.749,2.27E-01,0.077,0.68,0.363,2.14E-01
ESRRA,0.398,3.45E-01,0.727,0.657,0.363,2.14E-01
ZNF618,0.678,2.49E-01,1.039,0.63,0.363,2.15E-01
ZBTB17,0.448,3.27E-01,0.657,0.66,0.363,2.16E-01
PBX1,0.051,4.80E-01,1.054,0.65,0.365,2.19E-01
UBTF,1.339,9.04E-02,0.028,0.659,0.367,2.22E-01
ELK4,1.496,6.73E-02,0.054,0.651,0.368,2.23E-01
E2F5,0.828,2.04E-01,0.866,0.63,0.368,2.24E-01
FOXK2,0.705,2.40E-01,0.897,0.635,0.369,2.25E-01
ZNF207,-0.058,5.23E-01,1.699,0.636,0.371,2.30E-01
ZBTB8A,1.27,1.02E-01,0.333,0.647,0.373,2.34E-01
EED,0.203,4.20E-01,0.705,0.657,0.374,2.35E-01
CCDC101,0.974,1.65E-01,0.464,0.647,0.374,2.35E-01
MBOAT4,0.775,2.19E-01,0.762,0.636,0.374,2.35E-01
ZNF28,0.589,2.78E-01,1.117,0.625,0.375,2.36E-01
MCM7,0.368,3.57E-01,1.435,0.622,0.376,2.39E-01
ZNF436,0.487,3.13E-01,1.302,0.619,0.379,2.43E-01
BANP,0.239,4.05E-01,1.294,0.628,0.379,2.44E-01
IRF3,0.773,2.20E-01,0.071,0.672,0.379,2.44E-01
CRY1,0.279,3.90E-01,1.845,0.608,0.382,2.50E-01
RBL1,0.584,2.80E-01,1.048,0.625,0.383,2.51E-01
ZFP2,0.937,1.74E-01,0.576,0.638,0.383,2.52E-01
ETS1,0.723,2.35E-01,-0.635,0.709,0.385,2.56E-01
HJURP,0.32,3.75E-01,1.666,0.61,0.385,2.56E-01
E2F3,0.917,1.80E-01,0.454,0.645,0.386,2.56E-01
EGR3,0.601,2.74E-01,0.953,0.626,0.386,2.56E-01
BPTF,0.85,1.98E-01,0.541,0.641,0.387,2.59E-01
ZNF501,1.08,1.40E-01,0.38,0.643,0.388,2.61E-01
SIX4,0.17,4.32E-01,2.086,0.603,0.389,2.63E-01
NFAT5,0.973,1.65E-01,0.308,0.649,0.39,2.65E-01
RFX2,0.903,1.83E-01,0.443,0.644,0.39,2.65E-01
AFF4,1.458,7.24E-02,-0.398,0.664,0.391,2.66E-01
CDK6,0.984,1.63E-01,0.258,0.649,0.392,2.69E-01
CASP8AP2,0.767,2.22E-01,0.641,0.636,0.393,2.69E-01
SUMO2,-1.059,8.55E-01,0.768,0.689,0.393,2.70E-01
PPARGC1A,0.571,2.84E-01,0.939,0.624,0.394,2.72E-01
KLF5,0.712,2.38E-01,0.399,0.651,0.395,2.74E-01
NR5A2,0.359,3.60E-01,1.436,0.609,0.395,2.74E-01
TCF7,-0.12,5.48E-01,0.578,0.669,0.398,2.80E-01
ZNF217,0.311,3.78E-01,1.42,0.61,0.398,2.81E-01
KLF16,0.531,2.98E-01,0.96,0.62,0.4,2.84E-01
IRAK1,1.133,1.29E-01,-0.131,0.659,0.4,2.85E-01
CLOCK,-0.119,5.47E-01,1.224,0.633,0.403,2.89E-01
ZNF697,-0.024,5.10E-01,1.274,0.627,0.403,2.90E-01
DPF2,0.208,4.18E-01,1.167,0.618,0.405,2.94E-01
ZNF740,0.627,2.65E-01,0.473,0.645,0.406,2.96E-01
CPSF3L,1.301,9.67E-02,0.049,0.642,0.406,2.96E-01
DNMT1,0.226,4.11E-01,0.462,0.656,0.407,2.98E-01
ORC2,0.53,2.98E-01,0.854,0.622,0.409,3.03E-01
NCOR1,0.094,4.62E-01,-0.478,0.716,0.41,3.04E-01
ZNF707,-0.158,5.63E-01,1.22,0.63,0.412,3.08E-01
ZNF324,0.9,1.84E-01,0.371,0.638,0.412,3.08E-01
HMGN1,0.911,1.81E-01,0.214,0.645,0.412,3.09E-01
GLIS1,0.815,2.08E-01,0.637,0.621,0.414,3.12E-01
NIPBL,0.074,4.70E-01,-0.441,0.71,0.414,3.13E-01
PATZ1,1.237,1.08E-01,-0.04,0.645,0.416,3.15E-01
ZNF644,0.677,2.49E-01,0.663,0.624,0.417,3.18E-01
ZNF18,0.312,3.78E-01,0.083,0.669,0.417,3.19E-01
ZNF781,-0.035,5.14E-01,1.335,0.615,0.418,3.20E-01
ZNF611,0.579,2.81E-01,0.707,0.625,0.418,3.20E-01
ZNF788,0.095,4.62E-01,1.134,0.615,0.418,3.21E-01
TARDBP,0.469,3.20E-01,-0.184,0.677,0.418,3.21E-01
MRE11A,0.52,3.02E-01,0.644,0.63,0.418,3.21E-01
TERC,0.34,3.67E-01,1.072,0.608,0.419,3.22E-01
ZNF519,0.89,1.87E-01,0.21,0.643,0.419,3.22E-01
CCND2,0.789,2.15E-01,0.384,0.638,0.421,3.26E-01
ZSCAN23,0.644,2.60E-01,0.589,0.627,0.421,3.27E-01
SREBF2,0.828,2.04E-01,0.302,0.64,0.421,3.27E-01
