TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
GRHL3,1.494,6.76E-02,1.546,0.431,0.221,4.89E-02
SNAI2,1.411,7.91E-02,0.912,0.476,0.222,4.91E-02
HCFC1R1,1.02,1.54E-01,1.821,0.439,0.225,5.15E-02
TRAF7,1.601,5.47E-02,0.127,0.506,0.226,5.18E-02
MLLT3,1.062,1.44E-01,1.593,0.444,0.226,5.20E-02
MAFK,1.159,1.23E-01,1.784,0.429,0.227,5.28E-02
ZNF425,0.893,1.86E-01,2.153,0.424,0.228,5.30E-02
MED12,0.864,1.94E-01,0.665,0.519,0.229,5.40E-02
TP63,2.136,1.63E-02,1.115,0.425,0.232,5.58E-02
PRDM14,0.99,1.61E-01,1.813,0.435,0.232,5.58E-02
ARID3A,1.067,1.43E-01,1.429,0.446,0.233,5.71E-02
PKNOX1,1.04,1.49E-01,2.166,0.412,0.234,5.77E-02
EBNA3,1.08,1.40E-01,1.377,0.447,0.235,5.85E-02
TCF7L1,1.085,1.39E-01,1.068,0.469,0.236,5.90E-02
SOX4,1.411,7.91E-02,1.576,0.422,0.236,5.90E-02
MTA2,1.424,7.72E-02,1.479,0.425,0.237,6.01E-02
ARID1A,1.183,1.18E-01,1.969,0.414,0.238,6.04E-02
YAP1,1.343,8.97E-02,1.097,0.446,0.239,6.15E-02
SCRT2,1.023,1.53E-01,2.156,0.41,0.239,6.15E-02
SIRT6,0.909,1.82E-01,1.909,0.425,0.24,6.26E-02
ZNF445,0.878,1.90E-01,1.95,0.423,0.244,6.57E-02
EBNA3C,1.426,7.69E-02,1.416,0.422,0.247,6.78E-02
CHD8,0.787,2.16E-01,1.527,0.444,0.248,6.84E-02
ZNF770,0.858,1.95E-01,1.97,0.421,0.248,6.90E-02
SSU72,0.97,1.66E-01,1.516,0.432,0.251,7.14E-02
RELB,1.307,9.56E-02,1.5,0.419,0.252,7.20E-02
ZNF320,1.022,1.53E-01,1.984,0.409,0.253,7.26E-02
YBX1,0.684,2.47E-01,1.949,0.425,0.255,7.45E-02
SMAD2-SMAD3,0.769,2.21E-01,0.972,0.478,0.255,7.48E-02
GFI1B,0.508,3.06E-01,1.497,0.464,0.256,7.55E-02
SMAD3,0.818,2.07E-01,0.856,0.476,0.258,7.74E-02
PTTG1,0.97,1.66E-01,1.984,0.408,0.258,7.77E-02
BCL6,1.194,1.16E-01,0.66,0.457,0.26,7.87E-02
NFE2L1,0.944,1.73E-01,1.572,0.424,0.261,7.97E-02
ZNF479,0.826,2.04E-01,1.9,0.418,0.261,7.97E-02
ZNF26,0.704,2.41E-01,2.258,0.407,0.261,7.97E-02
EGR3,0.932,1.76E-01,1.424,0.428,0.263,8.20E-02
JUN,0.783,2.17E-01,0.511,0.491,0.265,8.40E-02
CEBPD,0.576,2.83E-01,0.743,0.492,0.266,8.51E-02
JUNB,0.494,3.11E-01,0.698,0.503,0.267,8.54E-02
TP73,0.835,2.02E-01,1.519,0.425,0.267,8.61E-02
SND1,1.219,1.11E-01,1.257,0.42,0.269,8.78E-02
FOS,0.638,2.62E-01,0.813,0.479,0.27,8.89E-02
DEK,1.042,1.49E-01,1.316,0.424,0.27,8.89E-02
FEZF1,1.044,1.48E-01,1.614,0.41,0.27,8.89E-02
KDM4A,1.157,1.24E-01,0.521,0.456,0.271,8.93E-02
PBX3,0.482,3.15E-01,0.708,0.499,0.272,9.03E-02
PTRF,0.865,1.94E-01,2.05,0.4,0.272,9.07E-02
ZNF440,0.611,2.71E-01,2.304,0.398,0.276,9.51E-02
NFKB2,1.016,1.55E-01,1.371,0.419,0.278,9.62E-02
CBX5,0.606,2.72E-01,1.332,0.44,0.279,9.73E-02
BATF3,0.922,1.78E-01,1.166,0.427,0.279,9.81E-02
ZNF331,0.602,2.74E-01,2.287,0.397,0.28,9.88E-02
RUNX3,0.877,1.90E-01,1.349,0.423,0.28,9.92E-02
RFX1,0.766,2.22E-01,1.423,0.424,0.283,1.02E-01
CUX1,0.739,2.30E-01,1.208,0.434,0.284,1.03E-01
ZNF549,0.583,2.80E-01,2.293,0.396,0.284,1.03E-01
DDX20,0.89,1.87E-01,1.145,0.426,0.284,1.04E-01
ATF2,0.769,2.21E-01,1.243,0.427,0.285,1.05E-01
CREBBP,0.18,4.29E-01,0.513,0.529,0.289,1.08E-01
PBX1,0.148,4.41E-01,1.233,0.478,0.29,1.10E-01
NFIC,0.851,1.97E-01,1.266,0.42,0.291,1.11E-01
ZTA,0.717,2.37E-01,1.988,0.397,0.291,1.11E-01
TCF7L2,0.246,4.03E-01,0.652,0.497,0.294,1.14E-01
ZNF585A,0.683,2.47E-01,1.844,0.405,0.295,1.15E-01
VDR,0.508,3.06E-01,0.158,0.501,0.297,1.17E-01
ZNF274,0.38,3.52E-01,2.094,0.407,0.297,1.18E-01
TSC22D4,0.742,2.29E-01,1.845,0.399,0.298,1.20E-01
SF1,0.546,2.93E-01,2.191,0.394,0.299,1.20E-01
ZNF248,0.531,2.98E-01,2.246,0.393,0.299,1.21E-01
CHRM2,0.638,2.62E-01,0.521,0.461,0.301,1.23E-01
CRY1,0.544,2.93E-01,2.164,0.394,0.302,1.24E-01
OSR2,0.777,2.19E-01,1.361,0.411,0.303,1.26E-01
BIRA,0.61,2.71E-01,1.746,0.405,0.303,1.26E-01
CHD7,0.637,2.62E-01,0.861,0.437,0.305,1.28E-01
RYBP,1.209,1.13E-01,-0.091,0.448,0.306,1.28E-01
ZNF2,0.731,2.32E-01,0.443,0.455,0.306,1.29E-01
LARP7,0.393,3.47E-01,1.506,0.421,0.308,1.32E-01
ZNF28,0.734,2.32E-01,1.349,0.41,0.31,1.33E-01
PIAS1,0.534,2.97E-01,1.458,0.416,0.31,1.34E-01
CBX3,0.382,3.51E-01,1.85,0.408,0.31,1.34E-01
ESCO2,0.842,2.00E-01,0.98,0.419,0.31,1.34E-01
ZNF17,0.517,3.03E-01,2.126,0.391,0.311,1.35E-01
MEF2D,0.8,2.12E-01,1.526,0.398,0.312,1.36E-01
ZNF534,0.813,2.08E-01,1.013,0.417,0.313,1.38E-01
TEAD2,0.714,2.38E-01,1.654,0.396,0.313,1.38E-01
