TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
MAX,5.792,3.48E-09,3.584,0.682,0.007,1.43E-06
POLR3D,4.761,9.65E-07,2.864,0.659,0.016,1.78E-05
TCF7L1,3.45,2.81E-04,2.752,0.678,0.018,2.77E-05
SIRT1,3.335,4.27E-04,2.995,0.676,0.018,2.77E-05
ASCL1,4.609,2.02E-06,2.455,0.649,0.027,8.47E-05
SUZ12,6.388,8.40E-11,1.859,0.793,0.03,1.24E-04
EED,2.621,4.38E-03,2.743,0.668,0.032,1.43E-04
ZEB1,2.951,1.58E-03,2.671,0.653,0.033,1.63E-04
RNF2,3.434,2.97E-04,2.172,0.658,0.036,2.09E-04
TET2,3.397,3.41E-04,2.343,0.647,0.036,2.09E-04
E2F6,3.877,5.29E-05,2.26,0.644,0.037,2.22E-04
HEXIM1,3.194,7.02E-04,2.941,0.636,0.039,2.71E-04
ZBTB48,5.556,1.38E-08,2.819,0.628,0.04,2.78E-04
KDM4A,2.914,1.79E-03,2.329,0.649,0.041,3.02E-04
TRIM25,2.868,2.06E-03,2.69,0.642,0.041,3.10E-04
EZH2,8.74,1.17E-18,1.594,0.812,0.041,3.10E-04
BCOR,2.589,4.81E-03,2.697,0.647,0.041,3.10E-04
GTF2I,3.738,9.27E-05,2.011,0.639,0.05,5.74E-04
RELA,6.814,4.75E-12,1.542,0.662,0.051,5.99E-04
SP140,2.305,1.06E-02,2.234,0.653,0.055,7.49E-04
SP1,4.012,3.01E-05,1.558,0.648,0.06,9.74E-04
CBFB,3.737,9.33E-05,1.835,0.635,0.061,1.01E-03
JARID2,5.426,2.87E-08,1.303,0.713,0.061,1.03E-03
RUNX1,4.402,5.37E-06,1.465,0.654,0.061,1.05E-03
SMAD3,2.995,1.37E-03,1.79,0.642,0.064,1.20E-03
MYC,11.432,1.45E-30,1.233,0.688,0.065,1.22E-03
BACH2,2.75,2.98E-03,2.042,0.631,0.065,1.26E-03
HCFC1R1,1.694,4.52E-02,2.559,0.653,0.066,1.28E-03
MBD2,2.598,4.70E-03,1.612,0.666,0.067,1.35E-03
SRF,2.706,3.41E-03,1.858,0.635,0.07,1.53E-03
DROSHA,2.349,9.42E-03,1.966,0.641,0.072,1.67E-03
CTCFL,3.555,1.89E-04,2.351,0.617,0.073,1.75E-03
LARP7,2.147,1.59E-02,3.572,0.624,0.074,1.80E-03
CNOT3,2.355,9.27E-03,1.795,0.643,0.074,1.85E-03
PRDM2,2.266,1.17E-02,2.295,0.629,0.075,1.91E-03
PAX5,3.702,1.07E-04,2.229,0.617,0.075,1.94E-03
JMJD6,3.157,7.97E-04,1.271,0.67,0.076,1.99E-03
TAZ,1.666,4.79E-02,2.502,0.642,0.077,2.05E-03
TFDP1,3.4,3.37E-04,1.445,0.639,0.079,2.26E-03
BCL6,2.902,1.86E-03,1.833,0.625,0.083,2.54E-03
SNAI2,3.304,4.77E-04,1.842,0.621,0.083,2.58E-03
CDCA2,1.639,5.06E-02,2.651,0.635,0.084,2.64E-03
SON,1.67,4.74E-02,2.121,0.643,0.085,2.78E-03
IRF4,2.677,3.71E-03,2.032,0.621,0.086,2.85E-03
KDM5B,3.27,5.37E-04,2.208,0.614,0.088,3.07E-03
GTF3C2,1.813,3.49E-02,2.362,0.628,0.088,3.07E-03
ZMYND8,3.069,1.08E-03,2.293,0.614,0.088,3.11E-03
GTF3C5,2.033,2.10E-02,1.769,0.637,0.089,3.19E-03
USF2,2.36,9.15E-03,2.025,0.623,0.091,3.39E-03
EBNA3,1.669,4.76E-02,1.979,0.643,0.091,3.43E-03
RYBP,2.423,7.70E-03,1.179,0.698,0.093,3.67E-03
POU2F2,2.206,1.37E-02,2.485,0.617,0.094,3.76E-03
CCND2,1.611,5.36E-02,2.358,0.629,0.096,3.93E-03
TCF12,1.971,2.44E-02,2.123,0.624,0.096,3.98E-03
KDM5C,2.673,3.76E-03,1.147,0.655,0.096,3.98E-03
KLF5,2.403,8.13E-03,1.617,0.626,0.1,4.54E-03
MYB,3.283,5.14E-04,1.728,0.615,0.101,4.69E-03
MAZ,3.242,5.93E-04,1.366,0.626,0.102,4.79E-03
CRY1,1.551,6.04E-02,3.377,0.622,0.103,4.89E-03
INTS11,2.74,3.07E-03,1.297,0.629,0.105,5.15E-03
KDM2B,5.238,8.12E-08,0.802,0.665,0.106,5.31E-03
ZMYM3,2.243,1.25E-02,1.532,0.629,0.106,5.42E-03
KLF17,2.08,1.88E-02,2.184,0.616,0.106,5.42E-03
GRHL3,2.403,8.14E-03,2.265,0.611,0.109,5.76E-03
HDAC2,2.683,3.64E-03,1.361,0.626,0.109,5.87E-03
H2AZ,7.144,4.52E-13,0.766,0.661,0.109,5.87E-03
BRDU,1.46,7.21E-02,2.087,0.635,0.11,5.93E-03
HDGF,1.899,2.88E-02,1.806,0.623,0.111,6.17E-03
PRMT5,1.62,5.26E-02,1.769,0.631,0.113,6.47E-03
BATF,2.094,1.81E-02,1.718,0.62,0.113,6.53E-03
ZNF263,2.466,6.82E-03,1.772,0.615,0.114,6.60E-03
BMI1,1.605,5.42E-02,1.479,0.647,0.116,6.98E-03
AGO1,2.111,1.74E-02,3.181,0.606,0.116,6.98E-03
SMC1A,3.261,5.55E-04,0.877,0.643,0.118,7.44E-03
CTCF,5.82,2.94E-09,0.629,0.695,0.119,7.51E-03
GLIS2,2.213,1.35E-02,1.379,0.625,0.121,8.00E-03
EGR1,2.68,3.68E-03,1.218,0.621,0.125,8.73E-03
PML,2.406,8.07E-03,1.518,0.616,0.125,8.89E-03
E2F1,8.588,4.44E-18,0.566,0.667,0.125,8.89E-03
NFKB1,2.251,1.22E-02,2.014,0.609,0.127,9.12E-03
POLR2AphosphoS5,1.806,3.55E-02,1.458,0.627,0.127,9.20E-03
EMX1,2.426,7.62E-03,1.691,0.61,0.131,1.01E-02
KLF1,2.266,1.17E-02,1.424,0.617,0.132,1.03E-02
CD74,1.853,3.20E-02,1.29,0.626,0.134,1.09E-02
ZNF597,1.52,6.42E-02,1.949,0.619,0.134,1.09E-02
SND1,1.708,4.38E-02,1.605,0.618,0.135,1.10E-02
BRD3,2.609,4.54E-03,0.887,0.631,0.136,1.14E-02
HDAC4,1.48,6.94E-02,2.052,0.616,0.138,1.19E-02
CDK7,3.146,8.27E-04,1.001,0.618,0.139,1.20E-02
STAT3,2.296,1.08E-02,1.196,0.62,0.139,1.21E-02
ZNF837,1.572,5.80E-02,2.321,0.61,0.139,1.22E-02
CDK9,4.258,1.03E-05,0.513,0.646,0.143,1.32E-02
PHIP,3.495,2.37E-04,0.644,0.639,0.143,1.32E-02
VDR,1.969,2.45E-02,1.207,0.621,0.143,1.33E-02
SP4,1.868,3.09E-02,1.116,0.628,0.143,1.33E-02
MYCN,3.013,1.29E-03,0.671,0.642,0.144,1.35E-02
SKI,1.516,6.48E-02,1.7,0.618,0.145,1.37E-02
RB1,2.36,9.14E-03,0.744,0.645,0.145,1.38E-02
ZTA,1.541,6.17E-02,2.69,0.606,0.147,1.44E-02
CREBBP,1.174,1.20E-01,1.56,0.637,0.149,1.49E-02
ZBTB7A,3.566,1.82E-04,0.664,0.629,0.149,1.49E-02
RBPJ,2.134,1.64E-02,1.241,0.615,0.15,1.52E-02
ICE1,1.681,4.64E-02,2.392,0.603,0.151,1.55E-02
ZNF2,1.695,4.50E-02,1.87,0.608,0.151,1.56E-02
CBX4,1.538,6.21E-02,1.514,0.621,0.151,1.56E-02
ZNF687,1.884,2.98E-02,1.718,0.608,0.152,1.57E-02
EGR3,1.415,7.85E-02,2.112,0.612,0.152,1.59E-02
TBL1X,1.466,7.13E-02,1.748,0.615,0.153,1.62E-02
FOXK1,1.279,1.01E-01,3.171,0.608,0.154,1.64E-02
E2F4,3.116,9.16E-04,0.588,0.635,0.155,1.66E-02
ZNF438,1.494,6.76E-02,2.922,0.604,0.156,1.71E-02
REST,1.614,5.33E-02,1.639,0.612,0.156,1.72E-02
ZNF623,1.573,5.78E-02,3.027,0.601,0.157,1.73E-02
HDAC1,3.014,1.29E-03,0.652,0.629,0.159,1.79E-02
CHD2,2.088,1.84E-02,1.278,0.61,0.161,1.88E-02
ZNF436,1.354,8.78E-02,2.212,0.609,0.162,1.91E-02
NCAPH2,2.307,1.05E-02,0.691,0.635,0.163,1.94E-02
CDC5L,1.638,5.07E-02,2.022,0.603,0.164,2.00E-02
RBL2,2.767,2.83E-03,0.425,0.64,0.167,2.10E-02
SP3,2.019,2.17E-02,1.036,0.615,0.168,2.13E-02
ZBED1,1.656,4.88E-02,1.521,0.609,0.169,2.16E-02
NIPBL,1.57,5.82E-02,1.072,0.623,0.17,2.21E-02
NOTCH1,1.927,2.70E-02,0.964,0.617,0.17,2.21E-02
UHRF2,1.501,6.67E-02,1.27,0.618,0.171,2.27E-02
TFAP2C,1.679,4.66E-02,1.592,0.605,0.172,2.30E-02
TRIM24,1.29,9.85E-02,1.868,0.61,0.173,2.31E-02
SUMO1,1.741,4.09E-02,0.872,0.625,0.174,2.36E-02
ZNF16,1.243,1.07E-01,2.467,0.605,0.174,2.36E-02
RUNX1T1,2.06,1.97E-02,1.463,0.603,0.175,2.41E-02
FOXD2,1.54,6.17E-02,1.085,0.621,0.175,2.41E-02
STAT4,0.968,1.66E-01,1.81,0.62,0.177,2.47E-02
GLI4,1.743,4.06E-02,1.514,0.604,0.178,2.52E-02
PCGF1,1.898,2.89E-02,0.429,0.658,0.179,2.57E-02
SMC3,2.257,1.20E-02,0.689,0.624,0.179,2.60E-02
USF1,1.415,7.86E-02,1.602,0.609,0.18,2.61E-02
EBNA2,1.292,9.82E-02,2.006,0.606,0.18,2.61E-02
CLOCK,0.62,2.68E-01,2.419,0.625,0.18,2.63E-02
ZSCAN5A,1.817,3.46E-02,1.195,0.609,0.183,2.74E-02
IKZF2,1.584,5.66E-02,1.934,0.6,0.183,2.77E-02
NFYB,1.89,2.94E-02,1.755,0.598,0.186,2.89E-02
TERC,1.927,2.70E-02,1.992,0.595,0.188,2.97E-02
MGEA5,1.27,1.02E-01,1.96,0.605,0.188,2.97E-02
STAG1,3.786,7.66E-05,0.81,0.604,0.189,3.03E-02
SSRP1,1.054,1.46E-01,2.278,0.607,0.189,3.04E-02
ZNF792,1.6,5.48E-02,1.831,0.599,0.19,3.10E-02
MBD3,1.719,4.28E-02,1.233,0.606,0.19,3.10E-02
NCOR2,1.627,5.19E-02,1.513,0.603,0.19,3.10E-02
KLF7,1.676,4.69E-02,1.212,0.607,0.192,3.17E-02
GLIS1,1.678,4.67E-02,1.69,0.599,0.192,3.20E-02
ZNF239,1.461,7.20E-02,2.312,0.597,0.193,3.22E-02
ETV6,1.276,1.01E-01,1.443,0.611,0.194,3.29E-02
EGR2,1.539,6.19E-02,1.069,0.612,0.196,3.40E-02
CDK8,2.087,1.84E-02,0.333,0.638,0.197,3.42E-02
REL,1.786,3.70E-02,0.876,0.612,0.199,3.54E-02
SAP30,2.73,3.16E-03,0.393,0.618,0.199,3.55E-02
GTF2F1,1.688,4.57E-02,0.845,0.615,0.199,3.55E-02
KLF4,1.166,1.22E-01,1.281,0.615,0.201,3.65E-02
TARDBP,1.906,2.83E-02,1.529,0.597,0.201,3.67E-02
NRF1,4.335,7.30E-06,0.119,0.627,0.202,3.69E-02
NBN,1.226,1.10E-01,1.251,0.613,0.202,3.71E-02
ZNF280D,1.454,7.30E-02,2.069,0.597,0.202,3.71E-02
KLF9,2.503,6.15E-03,0.507,0.615,0.204,3.81E-02
LMO1,1.183,1.19E-01,2.001,0.601,0.205,3.85E-02
CHD4,1.963,2.48E-02,0.862,0.607,0.207,4.00E-02
AEBP2,1.363,8.65E-02,2.465,0.595,0.208,4.06E-02
PBX1,0.877,1.90E-01,2.575,0.603,0.208,4.08E-02
RAG2,1.445,7.43E-02,0.934,0.614,0.211,4.23E-02
SMAD2-SMAD3,1.017,1.55E-01,1.152,0.618,0.213,4.34E-02
NFYA,2.567,5.13E-03,0.72,0.604,0.215,4.47E-02
ZNF282,1.898,2.88E-02,0.73,0.61,0.216,4.52E-02
EPC1,1.9,2.87E-02,0.707,0.61,0.216,4.54E-02
BRD2,2.62,4.39E-03,0.11,0.629,0.216,4.56E-02
HDAC6,1.66,4.85E-02,1.008,0.603,0.217,4.61E-02
ZKSCAN1,1.455,7.28E-02,2.582,0.59,0.218,4.65E-02
KDM3B,1.559,5.95E-02,1.409,0.598,0.219,4.72E-02
ZNF592,1.25,1.06E-01,1.768,0.598,0.22,4.77E-02
