TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
PBX2,-0.432,6.67E-01,-0.06,0.531,0.573,6.60E-01
MYC,-1.219,8.89E-01,-1.138,0.595,0.573,6.62E-01
ZNF197,0.158,4.37E-01,-0.22,0.515,0.573,6.62E-01
OTX2,-2.006,9.78E-01,0.28,0.559,0.577,6.68E-01
HLF,-0.223,5.88E-01,0.704,0.497,0.577,6.70E-01
MCM3,-0.103,5.41E-01,0.376,0.505,0.578,6.72E-01
ZNF93,-0.015,5.06E-01,0.259,0.505,0.578,6.72E-01
PAX3,-0.223,5.88E-01,0.753,0.492,0.581,6.78E-01
ZNF48,-0.355,6.39E-01,1.068,0.483,0.582,6.79E-01
ESR1,-16.523,1.00E+00,-0.313,0.596,0.582,6.80E-01
ING2,0.188,4.26E-01,-0.481,0.516,0.583,6.83E-01
ZKSCAN8,0.029,4.89E-01,-0.032,0.511,0.584,6.83E-01
KLF7,0.198,4.22E-01,-0.563,0.517,0.584,6.83E-01
CDK9,-1.177,8.81E-01,-1.626,0.606,0.586,6.88E-01
MYBL2,0.063,4.75E-01,-0.081,0.509,0.587,6.89E-01
ZNF490,-0.339,6.33E-01,0.925,0.484,0.587,6.90E-01
SOX11,-0.486,6.87E-01,0.879,0.499,0.587,6.91E-01
NCAPH2,0.345,3.65E-01,-1.253,0.523,0.587,6.91E-01
ZNF528,0.131,4.48E-01,-0.333,0.513,0.59,6.96E-01
LDB1,-0.205,5.81E-01,0.61,0.493,0.59,6.96E-01
LMTK3,-0.578,7.18E-01,0.476,0.517,0.59,6.97E-01
GFI1B,-0.332,6.30E-01,0.098,0.517,0.592,6.99E-01
MYF5,-0.021,5.08E-01,0.09,0.504,0.592,6.99E-01
ZNF518A,0.147,4.42E-01,-0.489,0.516,0.592,7.00E-01
CBX1,-0.013,5.05E-01,-0.642,0.522,0.595,7.05E-01
NFIL3,-0.11,5.44E-01,0.281,0.499,0.595,7.05E-01
HOXB13,-2.773,9.97E-01,0.347,0.553,0.598,7.12E-01
ERCC6,-0.085,5.34E-01,-0.459,0.52,0.599,7.15E-01
GATAD1,0.011,4.96E-01,-0.588,0.519,0.6,7.16E-01
STAT5B,-0.544,7.07E-01,-0.666,0.541,0.6,7.17E-01
CHAT,-0.496,6.90E-01,0.913,0.489,0.601,7.17E-01
INTS12,0.208,4.17E-01,-0.883,0.517,0.601,7.17E-01
ZNF468,0.167,4.34E-01,-0.726,0.515,0.601,7.19E-01
SUMO2,-3.037,9.99E-01,-0.332,0.579,0.602,7.20E-01
LMO1,-0.038,5.15E-01,-0.049,0.503,0.603,7.22E-01
E2F3,0.176,4.30E-01,-0.786,0.516,0.603,7.22E-01
ZNF280A,-0.381,6.49E-01,0.865,0.481,0.603,7.22E-01
ZXDB,0.245,4.03E-01,-0.91,0.516,0.604,7.23E-01
POLR2H,0.044,4.83E-01,-0.399,0.511,0.606,7.27E-01
PRDM14,-0.135,5.54E-01,0.169,0.498,0.606,7.29E-01
ZBTB33,-1.803,9.64E-01,-1.351,0.599,0.607,7.29E-01
ZBTB1,-0.075,5.30E-01,-0.314,0.513,0.607,7.30E-01
TCF21,-0.357,6.39E-01,0.127,0.512,0.608,7.31E-01
CHD7,-0.605,7.27E-01,-0.399,0.533,0.609,7.34E-01
HAND2,-0.344,6.34E-01,0.667,0.484,0.61,7.36E-01
RFX5,-0.721,7.65E-01,-1.535,0.567,0.611,7.38E-01
ZNF304,-0.346,6.35E-01,0.666,0.484,0.612,7.39E-01
NFATC1,-0.987,8.38E-01,-1.892,0.591,0.613,7.40E-01
