TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
CCDC101,-1.422,9.23E-01,-1.619,0.344,0.775,9.49E-01
GLI4,-1.166,8.78E-01,-1.827,0.337,0.776,9.50E-01
ZNF423,-1.056,8.55E-01,-2.062,0.344,0.777,9.50E-01
MBTD1,-0.852,8.03E-01,-2.128,0.328,0.779,9.51E-01
ZNF580,-0.947,8.28E-01,-2.204,0.352,0.779,9.51E-01
ZSCAN23,-1.135,8.72E-01,-1.985,0.341,0.781,9.53E-01
OVOL3,-1.271,8.98E-01,-1.609,0.322,0.783,9.54E-01
ZFP69B,-0.821,7.94E-01,-2.672,0.372,0.784,9.55E-01
ZNF639,-1.819,9.66E-01,-1.799,0.372,0.785,9.55E-01
ZNF786,-0.685,7.53E-01,-2.583,0.349,0.786,9.56E-01
ZNF483,-0.864,8.06E-01,-2.187,0.325,0.787,9.56E-01
BRD3,-2.174,9.85E-01,-2.527,0.423,0.787,9.56E-01
RAC3,-1.215,8.88E-01,-1.442,0.271,0.788,9.57E-01
HSF1,-1.731,9.58E-01,-2.763,0.427,0.789,9.58E-01
GTF2E2,-1.12,8.69E-01,-1.793,0.287,0.789,9.58E-01
NKRF,-1.44,9.25E-01,-1.802,0.342,0.79,9.58E-01
ARNTL,-2.07,9.81E-01,-1.821,0.374,0.791,9.59E-01
MKL1,-1.024,8.47E-01,-1.98,0.302,0.792,9.60E-01
ZNF519,-0.774,7.81E-01,-2.477,0.338,0.793,9.60E-01
ZNF282,-1.069,8.58E-01,-2.172,0.341,0.793,9.60E-01
EGR1,-1.939,9.74E-01,-2.91,0.429,0.794,9.61E-01
MBOAT4,-0.963,8.32E-01,-2.083,0.311,0.794,9.61E-01
HOXA4,-0.721,7.65E-01,-2.61,0.344,0.794,9.61E-01
ZXDB,-0.846,8.01E-01,-2.68,0.36,0.795,9.61E-01
BRD2,-3.016,9.99E-01,-2.538,0.427,0.795,9.61E-01
AGO2,-1.053,8.54E-01,-1.963,0.297,0.795,9.61E-01
ZNF687,-1.344,9.11E-01,-1.685,0.314,0.795,9.61E-01
INSM2,-1.034,8.49E-01,-2.27,0.346,0.796,9.62E-01
ZNF518A,-1.075,8.59E-01,-2.238,0.347,0.797,9.62E-01
DLX1,-1.116,8.68E-01,-1.885,0.288,0.797,9.63E-01
SIN3A,-3.073,9.99E-01,-2.802,0.434,0.799,9.64E-01
TRRAP,-1.437,9.25E-01,-1.769,0.323,0.8,9.64E-01
BARX1,-1.198,8.85E-01,-1.765,0.274,0.801,9.64E-01
ZNF574,-0.84,8.00E-01,-2.423,0.329,0.802,9.65E-01
HMGN3,-0.814,7.92E-01,-2.505,0.332,0.802,9.65E-01
TP63,-6.897,1.00E+00,-0.737,0.327,0.802,9.65E-01
RB1,-2.421,9.92E-01,-2.116,0.389,0.803,9.66E-01
ZBTB26,-1.135,8.72E-01,-2.876,0.385,0.805,9.66E-01
RUVBL1,-1.171,8.79E-01,-1.848,0.278,0.805,9.67E-01
SREBF2,-1.195,8.84E-01,-1.811,0.274,0.806,9.67E-01
