TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
KAT8,-2.374,9.91E-01,-2.09,0.396,0.851,9.85E-01
DNMT3B,-2.725,9.97E-01,-2.468,0.42,0.852,9.86E-01
HOXA6,-1.464,9.28E-01,-2.846,0.376,0.852,9.86E-01
RFX2,-1.635,9.49E-01,-2.308,0.343,0.852,9.86E-01
ELL2,-3.706,1.00E+00,-2.227,0.415,0.853,9.86E-01
ZNF121,-1.992,9.77E-01,-3.14,0.419,0.854,9.86E-01
EP400,-1.483,9.31E-01,-2.777,0.374,0.854,9.86E-01
ZNF280D,-1.649,9.50E-01,-3.062,0.401,0.855,9.86E-01
DLX1,-1.587,9.44E-01,-2.452,0.357,0.856,9.86E-01
CASP8AP2,-1.699,9.55E-01,-2.172,0.321,0.857,9.87E-01
CDC5L,-2.178,9.85E-01,-2.051,0.371,0.857,9.87E-01
MEN1,-2.126,9.83E-01,-2.135,0.377,0.858,9.87E-01
BARX1,-1.661,9.52E-01,-2.311,0.336,0.86,9.88E-01
ETV7,-1.643,9.50E-01,-2.38,0.341,0.861,9.88E-01
OVOL3,-1.979,9.76E-01,-2.445,0.394,0.861,9.88E-01
RFX1,-3.55,1.00E+00,-2.549,0.423,0.862,9.88E-01
ELK4,-3.147,9.99E-01,-1.97,0.377,0.862,9.88E-01
ZBTB7B,-1.686,9.54E-01,-2.291,0.327,0.863,9.88E-01
KLF10,-2.159,9.85E-01,-2.234,0.385,0.863,9.88E-01
VEZF1,-2.038,9.79E-01,-2.443,0.396,0.863,9.89E-01
U2AF1,-2.726,9.97E-01,-2.09,0.39,0.865,9.89E-01
FOXD2,-1.585,9.44E-01,-2.58,0.357,0.865,9.89E-01
ARNTL,-2.511,9.94E-01,-2.17,0.39,0.866,9.89E-01
XRN2,-3.638,1.00E+00,-2.355,0.414,0.867,9.90E-01
CCDC101,-2.126,9.83E-01,-2.231,0.377,0.868,9.90E-01
SP2,-2.554,9.95E-01,-2.774,0.419,0.868,9.90E-01
KAT5,-2.576,9.95E-01,-2.187,0.391,0.869,9.90E-01
KLF17,-1.66,9.52E-01,-3.84,0.399,0.869,9.90E-01
THAP11,-1.577,9.43E-01,-2.828,0.359,0.871,9.90E-01
ATOH1,-1.658,9.51E-01,-2.482,0.338,0.872,9.91E-01
BCAT1,-2.122,9.83E-01,-2.326,0.384,0.873,9.91E-01
ZNF592,-2.292,9.89E-01,-2.06,0.352,0.874,9.91E-01
FEV,-1.702,9.56E-01,-2.313,0.318,0.874,9.91E-01
SPDEF,-2.227,9.87E-01,-2.902,0.412,0.875,9.91E-01
FOXK1,-2.587,9.95E-01,-2.447,0.404,0.876,9.91E-01
FOXG1,-1.679,9.53E-01,-2.466,0.33,0.876,9.91E-01
YBX3,-2.351,9.91E-01,-2.063,0.346,0.877,9.92E-01
AGO2,-1.622,9.48E-01,-2.777,0.348,0.877,9.92E-01
ARNT2,-1.692,9.55E-01,-2.45,0.324,0.877,9.92E-01
TAFII,-2.198,9.86E-01,-2.243,0.371,0.877,9.92E-01
SIX5,-3.332,1.00E+00,-2.319,0.406,0.877,9.92E-01
BRPF3,-1.996,9.77E-01,-2.941,0.402,0.879,9.92E-01
ZNF391,-1.877,9.70E-01,-3.292,0.404,0.879,9.92E-01
KLF9,-2.818,9.98E-01,-3.216,0.422,0.879,9.92E-01
SOX9,-1.968,9.76E-01,-2.909,0.398,0.88,9.92E-01
ZNF438,-1.842,9.67E-01,-3.286,0.4,0.88,9.92E-01
ASCL2,-1.666,9.52E-01,-2.641,0.335,0.882,9.93E-01
KDM3A,-2.062,9.80E-01,-2.513,0.381,0.885,9.93E-01
DDX21,-2.267,9.88E-01,-2.216,0.356,0.886,9.93E-01
ZNF324,-2.002,9.77E-01,-3.422,0.406,0.887,9.94E-01
ETS2,-2.336,9.90E-01,-2.466,0.39,0.887,9.94E-01
POU3F2,-2.347,9.91E-01,-2.185,0.344,0.888,9.94E-01
ZSCAN5A,-1.998,9.77E-01,-2.812,0.387,0.888,9.94E-01
ZNF837,-2.251,9.88E-01,-2.279,0.361,0.888,9.94E-01
ZNF264,-2.343,9.90E-01,-2.888,0.407,0.889,9.94E-01
SETX,-1.559,9.41E-01,-3.949,0.362,0.89,9.94E-01
WDHD1,-2.088,9.82E-01,-2.493,0.375,0.892,9.94E-01
ZNF623,-1.84,9.67E-01,-3.519,0.393,0.894,9.95E-01
KDM5A,-3.448,1.00E+00,-1.987,0.31,0.895,9.95E-01
GLI4,-2.068,9.81E-01,-2.862,0.377,0.901,9.96E-01
ZNF239,-2.209,9.86E-01,-2.494,0.369,0.902,9.96E-01
FXR1,-1.719,9.57E-01,-2.669,0.302,0.903,9.96E-01
ZNF687,-2.179,9.85E-01,-2.565,0.366,0.904,9.96E-01
ZBTB1,-2.034,9.79E-01,-3.159,0.382,0.906,9.96E-01
ZNF76,-2.787,9.97E-01,-3.21,0.408,0.906,9.96E-01
ZSCAN23,-2.003,9.77E-01,-3.241,0.381,0.908,9.97E-01
KLF7,-2.055,9.80E-01,-3.267,0.384,0.908,9.97E-01
ZNF18,-2.618,9.96E-01,-3.795,0.409,0.908,9.97E-01
ZNF792,-2,9.77E-01,-3.619,0.384,0.909,9.97E-01
SAP30,-3.214,9.99E-01,-2.765,0.392,0.914,9.97E-01
DROSHA,-2.025,9.79E-01,-4.194,0.38,0.918,9.98E-01
ZNF641,-2.211,9.87E-01,-2.901,0.365,0.92,9.98E-01
PRDM2,-2.149,9.84E-01,-3.624,0.378,0.923,9.98E-01
