TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
RUNX1T1,-0.506,6.94E-01,-0.076,0.406,0.518,5.41E-01
ZNF547,-0.286,6.13E-01,-0.529,0.408,0.522,5.49E-01
HSF1,-0.797,7.87E-01,-1.796,0.484,0.522,5.50E-01
HEXIM1,-0.18,5.72E-01,-1.284,0.426,0.522,5.50E-01
PRDM11,-0.281,6.11E-01,-1.394,0.437,0.523,5.53E-01
TERF1,-0.114,5.45E-01,-0.033,0.377,0.523,5.53E-01
JMJD1C,-0.258,6.02E-01,-0.203,0.393,0.524,5.55E-01
TBL1XR1,-0.253,6.00E-01,-0.755,0.413,0.524,5.55E-01
ZNF264,-0.626,7.34E-01,-0.589,0.426,0.527,5.61E-01
USF1,-0.422,6.64E-01,-1.51,0.445,0.529,5.65E-01
TSHZ1,-0.155,5.62E-01,-0.24,0.383,0.53,5.67E-01
ZKSCAN1,-0.395,6.54E-01,0.093,0.388,0.53,5.68E-01
CSDE1,-0.303,6.19E-01,-0.145,0.389,0.531,5.69E-01
MAX,-0.426,6.65E-01,-1.989,0.466,0.531,5.69E-01
TBX21,-0.187,5.74E-01,-0.134,0.382,0.531,5.69E-01
ZNF468,0.074,4.71E-01,-0.873,0.39,0.532,5.71E-01
ELF3,-0.155,5.62E-01,-0.174,0.378,0.533,5.73E-01
SRC,-0.451,6.74E-01,-0.354,0.405,0.534,5.76E-01
NONO,-0.542,7.06E-01,1.14,0.362,0.534,5.76E-01
NOTCH1,-1.491,9.32E-01,-1.609,0.527,0.534,5.77E-01
PROX1,-0.307,6.21E-01,-0.096,0.386,0.535,5.78E-01
KLF15,-0.971,8.34E-01,-1.72,0.478,0.537,5.83E-01
ZBTB8A,0.147,4.42E-01,-1.23,0.394,0.538,5.85E-01
ZNF146,-0.51,6.95E-01,-0.233,0.399,0.539,5.87E-01
MKL2,-0.139,5.55E-01,-0.708,0.392,0.54,5.89E-01
RUNX1,-2.076,9.81E-01,-0.559,0.477,0.541,5.91E-01
FUS,-0.214,5.85E-01,-0.325,0.385,0.541,5.91E-01
ZNF501,0.107,4.58E-01,-1.306,0.397,0.543,5.96E-01
ZNF423,-0.03,5.12E-01,-0.766,0.386,0.543,5.96E-01
E2F5,-0.112,5.44E-01,-0.698,0.388,0.543,5.96E-01
HHEX,-0.381,6.49E-01,0.368,0.369,0.544,5.99E-01
ZNF346,0.022,4.91E-01,-1.107,0.391,0.545,6.01E-01
ZNF24,-0.367,6.43E-01,-0.463,0.395,0.547,6.04E-01
BANP,-0.6,7.26E-01,0.021,0.391,0.547,6.04E-01
ZNF18,-0.636,7.38E-01,-1.172,0.434,0.547,6.05E-01
HDGF,-0.829,7.97E-01,-0.381,0.416,0.551,6.14E-01
ZFP2,-0.086,5.34E-01,-1.351,0.405,0.552,6.15E-01
ZNF623,-0.2,5.79E-01,-0.373,0.379,0.552,6.16E-01
WRNIP1,-0.023,5.09E-01,-0.884,0.383,0.553,6.18E-01
ING5,-0.245,5.97E-01,0.047,0.366,0.553,6.18E-01
RBPJ,-1.34,9.10E-01,-1.451,0.473,0.557,6.26E-01
CLOCK,-0.715,7.63E-01,0.258,0.386,0.557,6.26E-01
ZBTB26,-0.223,5.88E-01,-1.594,0.419,0.558,6.29E-01
ZNF695,-0.037,5.15E-01,-0.895,0.382,0.558,6.29E-01
ZNF528,-0.042,5.17E-01,-0.873,0.382,0.559,6.30E-01
JUN,-1.345,9.11E-01,-0.18,0.428,0.56,6.33E-01
HDAC2,-0.698,7.58E-01,-1.887,0.456,0.561,6.35E-01
WHSC1,-0.376,6.46E-01,0.141,0.365,0.562,6.36E-01
UHRF2,0.033,4.87E-01,-1.296,0.388,0.562,6.36E-01
ZNF618,-0.221,5.88E-01,-0.287,0.368,0.563,6.40E-01
LHX2,-0.741,7.71E-01,-0.178,0.395,0.564,6.41E-01
NFATC3,-0.148,5.59E-01,-0.598,0.374,0.564,6.41E-01
AEBP2,-0.558,7.12E-01,0.332,0.368,0.564,6.43E-01
KDM6A,-0.234,5.93E-01,-0.244,0.367,0.564,6.43E-01
MYB,-0.803,7.89E-01,-0.37,0.405,0.566,6.46E-01
KLF1,-0.656,7.44E-01,-1.499,0.433,0.569,6.52E-01
ZNF837,-0.394,6.53E-01,-0.044,0.367,0.569,6.52E-01
RAD51,-0.724,7.65E-01,-0.074,0.387,0.569,6.53E-01
UBE2I,-0.195,5.77E-01,-0.469,0.37,0.57,6.56E-01
TCF7L2,-1.222,8.89E-01,-1.058,0.444,0.572,6.59E-01
RARG,-0.518,6.98E-01,-0.398,0.386,0.572,6.59E-01
ZNF414,-0.055,5.22E-01,-1.441,0.392,0.572,6.59E-01
KMT2A,-0.687,7.54E-01,-1.782,0.443,0.574,6.63E-01
VDR,-1.165,8.78E-01,-1.043,0.438,0.576,6.67E-01
TERF2,-0.266,6.05E-01,-0.333,0.365,0.578,6.71E-01
PPARGC1A,-0.242,5.96E-01,-0.418,0.367,0.578,6.72E-01
ZBTB16,-0.579,7.19E-01,-0.104,0.375,0.578,6.72E-01
GLIS2,-0.036,5.15E-01,-1.442,0.387,0.579,6.73E-01
NFE2,-1.082,8.60E-01,-0.812,0.427,0.579,6.74E-01
MED1,-3.834,1.00E+00,-1.779,0.563,0.58,6.75E-01
BATF3,-0.366,6.43E-01,-0.081,0.357,0.582,6.79E-01
ZNF207,-1.124,8.69E-01,0.835,0.37,0.582,6.80E-01
KDM6B,-0.463,6.78E-01,-0.703,0.386,0.583,6.83E-01
LIN9,-0.383,6.49E-01,-0.041,0.355,0.583,6.83E-01
AGO1,-0.615,7.31E-01,-0.268,0.378,0.584,6.83E-01
FOSL1,-1.049,8.53E-01,-0.465,0.411,0.584,6.84E-01
ZNF519,-0.055,5.22E-01,-1.315,0.381,0.584,6.84E-01
ID3,-0.289,6.14E-01,-0.648,0.374,0.585,6.85E-01
LANA,-0.227,5.90E-01,-1.399,0.396,0.585,6.86E-01
ERG,-1.707,9.56E-01,-1.479,0.473,0.586,6.87E-01
DNMT1,-0.437,6.69E-01,-0.399,0.374,0.586,6.88E-01
MLLT3,-0.197,5.78E-01,-0.796,0.37,0.588,6.93E-01
RELA,-5.42,1.00E+00,-1.628,0.522,0.59,6.95E-01
C17orf49,-0.32,6.26E-01,-1.315,0.392,0.592,7.01E-01
GTF3C2,-0.192,5.76E-01,-1.217,0.381,0.593,7.03E-01
ZBTB33,-2.411,9.92E-01,-1.685,0.492,0.594,7.04E-01
CREB3,-0.466,6.80E-01,-0.291,0.364,0.595,7.05E-01
SETX,-0.146,5.58E-01,-1.211,0.374,0.595,7.05E-01
KLF17,-0.139,5.55E-01,-1.39,0.382,0.595,7.07E-01
TCF7,-0.837,7.99E-01,-0.368,0.387,0.597,7.11E-01
FOXK1,-0.855,8.04E-01,0.07,0.369,0.602,7.20E-01
TBL1X,-0.148,5.59E-01,-1.309,0.374,0.602,7.20E-01
YAP1,-1.436,9.25E-01,-0.28,0.409,0.602,7.20E-01
LEF1,-1.052,8.54E-01,-1.508,0.433,0.605,7.26E-01
WDHD1,-0.423,6.64E-01,-0.513,0.363,0.605,7.26E-01
ZFP69B,-0.179,5.71E-01,-1.514,0.384,0.606,7.27E-01
CBX1,-0.743,7.71E-01,-1.772,0.426,0.607,7.29E-01
AFF1,-1.153,8.76E-01,-1.427,0.432,0.607,7.29E-01
EHF,-0.875,8.09E-01,-0.856,0.401,0.607,7.29E-01
MAZ,-0.314,6.23E-01,-2.01,0.415,0.608,7.31E-01
ERCC2,-0.486,6.86E-01,-0.222,0.348,0.611,7.38E-01
RXRA,-2.368,9.91E-01,-1.317,0.459,0.613,7.40E-01
KMT2B,-0.438,6.69E-01,-0.411,0.352,0.615,7.46E-01
PAX5,-1.037,8.50E-01,-0.547,0.391,0.617,7.48E-01
ZSCAN29,-0.494,6.89E-01,-0.972,0.376,0.619,7.52E-01
JUNB,-0.98,8.36E-01,-0.65,0.39,0.621,7.57E-01
EPAS1,-0.541,7.06E-01,-0.237,0.343,0.623,7.59E-01
HMG20A,-0.514,6.97E-01,-0.336,0.346,0.623,7.60E-01
MYH11,-0.541,7.06E-01,-1.89,0.411,0.623,7.61E-01
LEO1,-0.35,6.37E-01,-0.864,0.359,0.624,7.61E-01
ZXDB,-0.194,5.77E-01,-1.622,0.377,0.624,7.61E-01
LMO1,-0.431,6.67E-01,-0.708,0.352,0.631,7.74E-01
ZNF740,-0.886,8.12E-01,-1.558,0.41,0.632,7.76E-01
BRCA1,-1.815,9.65E-01,-1.747,0.455,0.633,7.78E-01
PRDM2,-0.389,6.51E-01,-1.264,0.367,0.636,7.83E-01
PATZ1,-0.441,6.70E-01,-1.827,0.393,0.637,7.85E-01
ETV1,-0.834,7.98E-01,-1.863,0.417,0.637,7.86E-01
SND1,-0.953,8.30E-01,-0.285,0.364,0.638,7.87E-01
ZNF649,-0.892,8.14E-01,0.625,0.31,0.638,7.88E-01
ZNF143,-2.643,9.96E-01,-1.93,0.474,0.639,7.88E-01
MCM3,-0.715,7.63E-01,-0.345,0.348,0.639,7.89E-01
ZNF580,-0.385,6.50E-01,-1.286,0.365,0.64,7.91E-01
E2F6,-1.147,8.74E-01,-2.393,0.456,0.641,7.91E-01
DPF1,-0.562,7.13E-01,-0.937,0.364,0.641,7.91E-01
RXRG,-1.464,9.28E-01,-0.923,0.41,0.641,7.92E-01
ZNF350,-0.484,6.86E-01,-0.751,0.348,0.642,7.93E-01
HNF1B,-0.684,7.53E-01,-0.162,0.33,0.642,7.94E-01
ORC2,-0.475,6.83E-01,-0.797,0.349,0.643,7.95E-01
POLR2M,-0.563,7.13E-01,-1.682,0.388,0.644,7.97E-01
GTF2A2,-0.636,7.38E-01,-0.298,0.334,0.645,7.99E-01
HLTF,-0.597,7.25E-01,-0.864,0.36,0.645,7.99E-01
ZNF280D,-0.483,6.86E-01,-1.135,0.361,0.646,8.01E-01
ZNF644,-0.63,7.36E-01,-0.964,0.366,0.646,8.01E-01
KRAB,-0.863,8.06E-01,-0.611,0.365,0.647,8.02E-01
NFKB1,-0.76,7.76E-01,-0.854,0.367,0.647,8.03E-01
NCAPH2,-0.261,6.03E-01,-1.852,0.377,0.648,8.04E-01
ZSCAN2,-0.671,7.49E-01,-0.312,0.331,0.649,8.05E-01
PGBD3,-0.604,7.27E-01,-0.471,0.338,0.65,8.06E-01
MXI1,-0.938,8.26E-01,-2.476,0.445,0.651,8.08E-01
FOSL2,-3.279,1.00E+00,-0.318,0.409,0.651,8.09E-01
ZNF239,-0.733,7.68E-01,-0.561,0.349,0.652,8.11E-01
GPS2,-0.324,6.27E-01,-1.484,0.361,0.654,8.14E-01
BCLAF1,-0.594,7.24E-01,-1.601,0.38,0.655,8.16E-01
RAC3,-0.609,7.29E-01,-0.606,0.337,0.655,8.16E-01
MECP2,-0.599,7.25E-01,-1.74,0.385,0.656,8.16E-01
BRD4,-9.508,1.00E+00,-2.662,0.556,0.657,8.19E-01
SETDB1,-2.681,9.96E-01,-0.856,0.42,0.661,8.24E-01
GATAD2B,-1.008,8.43E-01,-1.171,0.384,0.661,8.25E-01
NCOR2,-0.79,7.85E-01,-0.752,0.353,0.662,8.27E-01
ZNF197,-0.567,7.15E-01,-1.157,0.355,0.663,8.28E-01
MEF2C,-0.468,6.80E-01,-1.253,0.349,0.664,8.29E-01
PRAME,-0.43,6.67E-01,-1.364,0.352,0.665,8.31E-01
BHLHE40,-0.763,7.77E-01,-2.017,0.405,0.666,8.33E-01
ZMYND8,-0.753,7.74E-01,-1.979,0.401,0.666,8.33E-01
ZNF792,-0.514,6.96E-01,-1.368,0.357,0.667,8.34E-01
NELFE,-5.291,1.00E+00,-2.005,0.469,0.67,8.38E-01
MORC2,-1.329,9.08E-01,-1.47,0.405,0.67,8.38E-01
INTS11,-0.524,7.00E-01,-1.937,0.382,0.671,8.40E-01
ZNF189,-0.283,6.12E-01,-1.859,0.363,0.673,8.42E-01
HINFP,-0.87,8.08E-01,-1.289,0.372,0.674,8.44E-01
TEAD1-TEAD4,-0.768,7.79E-01,-0.458,0.322,0.674,8.44E-01
ERCC3,-0.599,7.26E-01,-0.939,0.338,0.674,8.44E-01
ZNF589,-0.73,7.67E-01,-1.112,0.355,0.674,8.45E-01
CDC5L,-0.844,8.01E-01,-0.628,0.339,0.677,8.48E-01
POU2F2,-0.913,8.19E-01,-1.324,0.376,0.677,8.48E-01
EBNA2,-0.777,7.82E-01,-0.523,0.321,0.677,8.48E-01
MYC,-8.543,1.00E+00,-2.511,0.495,0.678,8.50E-01
WDR5,-1.436,9.24E-01,-2.249,0.443,0.679,8.51E-01
ZKSCAN8,-0.791,7.86E-01,-0.967,0.35,0.679,8.51E-01
USF2,-1.128,8.70E-01,-1.952,0.41,0.679,8.51E-01
XBP1,-1.394,9.18E-01,-1.235,0.39,0.681,8.54E-01
YY1,-5.07,1.00E+00,-2.216,0.472,0.682,8.56E-01
DLX2,-0.902,8.17E-01,-0.251,0.309,0.682,8.56E-01
ZNF441,-0.33,6.29E-01,-1.875,0.36,0.683,8.57E-01
KLF8,-0.412,6.60E-01,-1.966,0.369,0.684,8.59E-01
POLR2A,-33.145,1.00E+00,-2.527,0.489,0.685,8.59E-01
ZBTB1,-0.729,7.67E-01,-1.265,0.353,0.685,8.59E-01
NR1H3,-1.161,8.77E-01,-0.756,0.36,0.687,8.62E-01
NCOA1,-0.807,7.90E-01,-0.876,0.341,0.688,8.63E-01
ZNF391,-0.675,7.50E-01,-1.686,0.366,0.689,8.64E-01
ZNF574,-0.443,6.71E-01,-1.734,0.351,0.689,8.65E-01
INTS12,-0.391,6.52E-01,-1.834,0.355,0.689,8.65E-01
FOXM1,-3.318,1.00E+00,-1.683,0.432,0.691,8.67E-01
BTAF1,-0.657,7.44E-01,-1.129,0.333,0.692,8.68E-01
BPTF,-0.378,6.47E-01,-1.895,0.356,0.693,8.69E-01
GABPA,-4.984,1.00E+00,-2.557,0.479,0.694,8.71E-01
HES1,-1.185,8.82E-01,-1.087,0.366,0.696,8.73E-01
INSM2,-0.627,7.35E-01,-1.612,0.353,0.697,8.74E-01
ZNF584,-0.876,8.09E-01,-1.129,0.349,0.697,8.74E-01
STAT5B,-1.258,8.96E-01,-1.138,0.37,0.698,8.76E-01
ZNF324,-0.712,7.62E-01,-1.736,0.363,0.699,8.77E-01
ZNF483,-0.522,6.99E-01,-1.71,0.345,0.7,8.79E-01
BACH2,-1.193,8.84E-01,-0.66,0.344,0.701,8.79E-01
HDAC8,-1.16,8.77E-01,-1.073,0.36,0.701,8.80E-01
FOXJ2,-0.863,8.06E-01,-1.142,0.345,0.701,8.80E-01
SP1,-1.865,9.69E-01,-2.359,0.447,0.702,8.81E-01
ZNF597,-0.792,7.86E-01,-0.921,0.32,0.703,8.82E-01
E2F7,-1.667,9.52E-01,-1.085,0.383,0.704,8.83E-01
ZFAT,-0.965,8.33E-01,-0.425,0.3,0.704,8.84E-01
CREB1,-2.843,9.98E-01,-2.196,0.449,0.705,8.84E-01
SOX13,-0.947,8.28E-01,-0.927,0.337,0.706,8.86E-01
SKI,-0.8,7.88E-01,-0.969,0.319,0.707,8.87E-01
COPS2,-0.678,7.51E-01,-1.331,0.331,0.708,8.88E-01
GLI2,-1.669,9.53E-01,-2.373,0.44,0.709,8.89E-01
ZNF71,-0.799,7.88E-01,-1.935,0.374,0.71,8.91E-01
MECOM,-0.849,8.02E-01,-0.896,0.314,0.711,8.92E-01
POU3F2,-0.984,8.38E-01,-0.868,0.33,0.713,8.93E-01
HOXA2,-0.631,7.36E-01,-1.53,0.335,0.713,8.93E-01
CBFB,-1.713,9.57E-01,-2.664,0.446,0.714,8.94E-01
MAFB,-0.742,7.71E-01,-1.294,0.325,0.714,8.95E-01
KLF9,-1.495,9.33E-01,-2.29,0.427,0.715,8.95E-01
CDK12,-0.556,7.11E-01,-1.781,0.342,0.715,8.95E-01
L3MBTL4,-0.574,7.17E-01,-1.749,0.34,0.715,8.96E-01
CDK7,-1.559,9.41E-01,-2.152,0.422,0.716,8.97E-01
GTF2F1,-1.021,8.46E-01,-1.974,0.385,0.716,8.97E-01
ZSCAN23,-0.808,7.90E-01,-1.512,0.347,0.717,8.98E-01
TARDBP,-0.859,8.05E-01,-1.767,0.361,0.719,9.00E-01
MBD3,-1.51,9.35E-01,-1.393,0.38,0.719,9.00E-01
OVOL3,-0.974,8.35E-01,-1.257,0.341,0.721,9.03E-01
NBN,-1.715,9.57E-01,-1.321,0.384,0.722,9.04E-01
MTA3,-1.365,9.14E-01,-1.447,0.37,0.724,9.05E-01
ERCC6,-0.829,7.97E-01,-1.913,0.364,0.725,9.07E-01
EP400,-0.694,7.56E-01,-1.599,0.33,0.727,9.08E-01
INO80,-2.038,9.79E-01,-2.058,0.424,0.727,9.08E-01
CHD2,-1.28,9.00E-01,-2.758,0.423,0.729,9.11E-01
TAF7,-1.86,9.69E-01,-1.837,0.402,0.729,9.11E-01
FOXK2,-1.666,9.52E-01,-0.956,0.363,0.73,9.11E-01
MGEA5,-0.533,7.03E-01,-1.993,0.344,0.732,9.13E-01
TAZ,-0.899,8.16E-01,-1.188,0.309,0.734,9.15E-01
ZNF281,-0.722,7.65E-01,-1.675,0.327,0.734,9.15E-01
CCNT2,-0.56,7.12E-01,-1.975,0.342,0.735,9.16E-01
ZNF518A,-0.805,7.90E-01,-1.852,0.349,0.735,9.17E-01
YBX3,-1.17,8.79E-01,-0.942,0.316,0.737,9.18E-01
STAT5,-1.652,9.51E-01,-0.974,0.358,0.737,9.18E-01
ZNF592,-1.21,8.87E-01,-0.891,0.317,0.737,9.18E-01
BRD3,-1.941,9.74E-01,-2.361,0.429,0.738,9.19E-01
CREM,-1.423,9.23E-01,-1.338,0.36,0.738,9.19E-01
CAMTA2,-1.002,8.42E-01,-0.982,0.295,0.74,9.21E-01
PPARD,-0.78,7.83E-01,-1.668,0.321,0.741,9.22E-01
SMARCC2,-0.925,8.23E-01,-1.538,0.333,0.742,9.22E-01
HJURP,-1.082,8.60E-01,-0.818,0.284,0.742,9.22E-01
KLF5,-1.968,9.76E-01,-1.532,0.386,0.742,9.23E-01
SETD1A,-0.641,7.39E-01,-2.547,0.376,0.743,9.24E-01
FOXO3,-0.982,8.37E-01,-2.063,0.373,0.743,9.24E-01
STAT2,-1.613,9.47E-01,-1.728,0.379,0.745,9.25E-01
ZNF687,-1.041,8.51E-01,-1.366,0.327,0.745,9.25E-01
NFE2L2,-2.015,9.78E-01,-1.11,0.366,0.747,9.27E-01
ZFX,-2.704,9.97E-01,-2.316,0.431,0.747,9.27E-01
MED12,-1.171,8.79E-01,-1.729,0.353,0.748,9.28E-01
ZNF610,-0.835,7.98E-01,-2.093,0.361,0.748,9.28E-01
ZNF343,-0.526,7.01E-01,-2.2,0.345,0.749,9.29E-01
FXR2,-0.891,8.14E-01,-1.486,0.31,0.751,9.30E-01
ATF1,-2.139,9.84E-01,-1.828,0.394,0.751,9.31E-01
EGR1,-1.802,9.64E-01,-2.787,0.43,0.753,9.33E-01
CCDC101,-1.247,8.94E-01,-1.466,0.342,0.754,9.33E-01
CHD4,-1.21,8.87E-01,-1.609,0.346,0.754,9.33E-01
NIPBL,-2.389,9.92E-01,-2.932,0.439,0.755,9.34E-01
XCL1,-0.757,7.76E-01,-1.863,0.323,0.755,9.34E-01
CD74,-1.559,9.41E-01,-0.889,0.327,0.758,9.36E-01
POLR2H,-1.053,8.54E-01,-1.593,0.329,0.758,9.36E-01
FGFR1,-1.034,8.49E-01,-2.179,0.371,0.758,9.36E-01
ZNF83,-1.215,8.88E-01,-1.845,0.358,0.759,9.37E-01
SIN3A,-2.808,9.98E-01,-2.667,0.436,0.76,9.38E-01
ZBTB40,-1.733,9.59E-01,-1.775,0.378,0.761,9.38E-01
PHIP,-1.173,8.80E-01,-2.982,0.401,0.761,9.38E-01
KLF3,-1.049,8.53E-01,-1.303,0.289,0.761,9.39E-01
PML,-1.809,9.65E-01,-1.534,0.369,0.763,9.40E-01
KAT8,-1.423,9.23E-01,-1.414,0.342,0.763,9.40E-01
ZEB1,-1.207,8.86E-01,-2.547,0.391,0.764,9.41E-01
GATAD1,-1.236,8.92E-01,-1.758,0.347,0.765,9.41E-01
HDAC1,-2.655,9.96E-01,-2.618,0.428,0.767,9.43E-01
WWTR1,-1.498,9.33E-01,-0.774,0.288,0.768,9.44E-01
KLF7,-0.949,8.29E-01,-1.939,0.338,0.769,9.45E-01
TGIF2,-0.861,8.05E-01,-2.157,0.349,0.77,9.45E-01
