TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF71,-0.254,6.00E-01,-1.306,0.494,0.591,6.99E-01
TBL1X,-0.026,5.10E-01,-1.077,0.476,0.593,7.03E-01
BCL3,-3.373,1.00E+00,-1.616,0.616,0.595,7.05E-01
ZNF518A,-0.141,5.56E-01,-0.902,0.478,0.595,7.05E-01
ZNF101,-0.351,6.37E-01,-0.504,0.478,0.597,7.11E-01
ZNF341,-0.097,5.39E-01,-1.233,0.481,0.6,7.16E-01
FOXK2,-0.513,6.96E-01,-0.055,0.475,0.6,7.16E-01
SMN1,-0.505,6.93E-01,0.828,0.436,0.601,7.19E-01
ARNTL,-1.049,8.53E-01,-1.014,0.517,0.602,7.21E-01
ZNF675,-0.443,6.71E-01,0.616,0.442,0.602,7.21E-01
WHSC1,-0.381,6.48E-01,0.135,0.457,0.603,7.22E-01
ZNF695,-0.084,5.33E-01,-1.001,0.471,0.604,7.24E-01
CREB3,-0.339,6.33E-01,-0.155,0.461,0.604,7.24E-01
MNT,-0.44,6.70E-01,-0.474,0.479,0.605,7.26E-01
MITF,-0.855,8.04E-01,0.102,0.482,0.606,7.29E-01
KDM1B,-0.495,6.90E-01,0.709,0.437,0.606,7.29E-01
TRIM22,-0.285,6.12E-01,-0.475,0.466,0.607,7.29E-01
KLF7,-0.159,5.63E-01,-0.991,0.475,0.607,7.29E-01
ZNF573,-0.423,6.64E-01,0.441,0.444,0.608,7.31E-01
MEF2A,-0.512,6.96E-01,-0.753,0.487,0.608,7.31E-01
ID3,-0.257,6.02E-01,-0.603,0.465,0.608,7.32E-01
PBX2,-0.548,7.08E-01,-0.197,0.475,0.609,7.34E-01
LRWD1,-0.594,7.24E-01,0.982,0.428,0.611,7.37E-01
FOXO1,-1.059,8.55E-01,-0.226,0.495,0.611,7.38E-01
PATZ1,-0.265,6.04E-01,-1.639,0.497,0.612,7.39E-01
CCDC101,-0.351,6.37E-01,-0.688,0.474,0.612,7.40E-01
ZNF766,-0.43,6.67E-01,-0.085,0.46,0.612,7.40E-01
GTF2A2,-0.37,6.44E-01,0.152,0.449,0.613,7.40E-01
MEF2B,-1.546,9.39E-01,-0.098,0.502,0.613,7.41E-01
RFX1,-0.946,8.28E-01,-0.153,0.488,0.613,7.42E-01
NR4A1,-0.829,7.97E-01,-0.459,0.489,0.614,7.44E-01
ZSCAN29,-0.279,6.10E-01,-0.703,0.467,0.614,7.44E-01
PITX3,-0.369,6.44E-01,0.043,0.449,0.615,7.45E-01
COPS2,-0.236,5.93E-01,-0.69,0.46,0.616,7.47E-01
BRCA1,-1.172,8.80E-01,-1.314,0.521,0.617,7.48E-01
CHRM2,-0.742,7.71E-01,-1.508,0.512,0.619,7.52E-01
VEZF1,-0.486,6.87E-01,-1.057,0.489,0.619,7.52E-01
UBE2I,-0.259,6.02E-01,-0.607,0.458,0.62,7.54E-01
ZNF585A,-0.329,6.29E-01,-0.343,0.453,0.623,7.61E-01
INTS11,-0.14,5.56E-01,-1.557,0.482,0.624,7.62E-01
PRDM6,-0.369,6.44E-01,-0.108,0.449,0.624,7.62E-01
RFX5,-0.857,8.04E-01,-1.69,0.52,0.625,7.64E-01
ZNF282,-0.163,5.65E-01,-1.286,0.47,0.627,7.68E-01
TRRAP,-0.365,6.43E-01,-0.774,0.468,0.628,7.69E-01
IRF4,-0.94,8.27E-01,-0.286,0.484,0.628,7.69E-01
GATA1,-2.223,9.87E-01,0.154,0.498,0.629,7.71E-01
ZNF76,-0.803,7.89E-01,-1.394,0.505,0.63,7.73E-01
CREB1,-1.467,9.29E-01,-1.575,0.534,0.632,7.77E-01
HDAC4,-0.245,5.97E-01,-0.935,0.46,0.633,7.78E-01
OVOL3,-0.372,6.45E-01,-0.546,0.458,0.633,7.79E-01
AFF1,-1.496,9.33E-01,-1.713,0.54,0.634,7.79E-01
ZXDB,-0.105,5.42E-01,-1.477,0.473,0.635,7.81E-01
TGIF2,-0.258,6.02E-01,-1.262,0.471,0.635,7.81E-01
ZNF143,-1.884,9.70E-01,-1.549,0.541,0.636,7.83E-01
HOXA6,-0.217,5.86E-01,-1.142,0.462,0.637,7.85E-01
NFRKB,-0.424,6.64E-01,-0.569,0.459,0.637,7.85E-01
BRD3,-1.177,8.80E-01,-1.815,0.532,0.637,7.85E-01
PCGF1,-0.489,6.88E-01,-2.237,0.516,0.637,7.85E-01
SREBF1,-0.892,8.14E-01,-1.052,0.496,0.64,7.90E-01
CCND2,-0.058,5.23E-01,-1.65,0.474,0.64,7.90E-01
HSF1,-1.01,8.44E-01,-2.017,0.53,0.642,7.93E-01
ARNT2,-0.281,6.11E-01,-0.883,0.457,0.643,7.95E-01
EBNA3C,-0.707,7.60E-01,0.021,0.455,0.643,7.96E-01
CENPT,-0.739,7.70E-01,0.713,0.414,0.643,7.96E-01
ZNF671,-0.344,6.34E-01,-0.719,0.452,0.648,8.04E-01
UHRF2,-0.126,5.50E-01,-1.575,0.468,0.648,8.04E-01
ZNF639,-0.97,8.34E-01,-1.193,0.497,0.648,8.05E-01
FEV,-0.323,6.27E-01,-0.825,0.453,0.648,8.05E-01
ZNF248,-0.725,7.66E-01,0.567,0.415,0.649,8.06E-01
IRF1,-2.438,9.93E-01,-1.899,0.558,0.653,8.12E-01
BATF3,-0.477,6.83E-01,-0.188,0.439,0.653,8.12E-01
MYC,-4.078,1.00E+00,-1.674,0.556,0.654,8.13E-01
KRAB,-0.696,7.57E-01,-0.494,0.462,0.654,8.14E-01
EBNA3,-0.476,6.83E-01,-0.215,0.439,0.654,8.14E-01
RUNX1,-6.238,1.00E+00,-1.859,0.566,0.655,8.15E-01
