TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZBTB10,-1.36,9.13E-01,-1.865,0.318,0.856,9.86E-01
MBOAT4,-1.043,8.51E-01,-2.214,0.376,0.857,9.87E-01
HDAC6,-1.492,9.32E-01,-1.999,0.394,0.857,9.87E-01
RFX2,-1.299,9.03E-01,-1.944,0.332,0.859,9.87E-01
NFATC1,-1.802,9.64E-01,-2.637,0.463,0.86,9.88E-01
MYCN,-2.491,9.94E-01,-2.21,0.451,0.86,9.88E-01
ZNF610,-1.262,8.97E-01,-2.535,0.433,0.86,9.88E-01
HBP1,-1.209,8.87E-01,-2.403,0.416,0.861,9.88E-01
SNAPC1,-1.639,9.49E-01,-1.613,0.236,0.861,9.88E-01
ZNF783,-0.881,8.11E-01,-2.554,0.396,0.862,9.88E-01
HCFC1,-2.991,9.99E-01,-2.133,0.449,0.862,9.88E-01
SUPT5H,-3.511,1.00E+00,-2.464,0.474,0.862,9.88E-01
ARID5B,-1.343,9.10E-01,-1.938,0.322,0.863,9.89E-01
ELK1,-3.376,1.00E+00,-2.034,0.44,0.865,9.89E-01
RAG2,-0.833,7.98E-01,-3.169,0.402,0.865,9.89E-01
NFAT5,-1.419,9.22E-01,-1.904,0.304,0.867,9.89E-01
ASXL1,-0.886,8.12E-01,-2.759,0.396,0.867,9.89E-01
KDM4C,-0.914,8.20E-01,-2.634,0.392,0.867,9.90E-01
ZNF574,-0.921,8.22E-01,-2.563,0.392,0.868,9.90E-01
CDK12,-0.968,8.34E-01,-2.48,0.385,0.869,9.90E-01
POLR2B,-1.647,9.50E-01,-2.15,0.413,0.869,9.90E-01
KLF12,-1.046,8.52E-01,-2.401,0.375,0.871,9.90E-01
TCOF1,-1.065,8.57E-01,-2.37,0.373,0.872,9.91E-01
KDM4B,-1.536,9.38E-01,-2.099,0.388,0.872,9.91E-01
RUVBL1,-1.376,9.16E-01,-2.07,0.314,0.878,9.92E-01
HOXA2,-1.215,8.88E-01,-2.245,0.347,0.878,9.92E-01
GMEB1,-1.712,9.57E-01,-1.743,0.179,0.878,9.92E-01
ELK3,-1.214,8.88E-01,-2.261,0.347,0.88,9.92E-01
KAT8,-2.193,9.86E-01,-1.961,0.383,0.882,9.93E-01
ELF2,-1.707,9.56E-01,-1.794,0.185,0.882,9.93E-01
ATOH1,-1.332,9.09E-01,-2.149,0.324,0.883,9.93E-01
ZBTB11,-2.745,9.97E-01,-2.223,0.435,0.884,9.93E-01
TET1,-1.195,8.84E-01,-2.386,0.351,0.885,9.93E-01
BARX2,-1.685,9.54E-01,-1.846,0.208,0.885,9.93E-01
ZNF131,-1.708,9.56E-01,-1.818,0.185,0.885,9.93E-01
RBCK1,-1.613,9.47E-01,-1.91,0.249,0.886,9.93E-01
EPC1,-2.156,9.84E-01,-1.79,0.282,0.886,9.93E-01
TFDP1,-2.413,9.92E-01,-2.128,0.41,0.887,9.94E-01
THAP1,-1.188,8.83E-01,-2.444,0.352,0.888,9.94E-01
NFYC,-1.568,9.42E-01,-1.975,0.263,0.889,9.94E-01
PTPN11,-1.243,8.93E-01,-2.367,0.343,0.89,9.94E-01
MEN1,-1.929,9.73E-01,-1.97,0.329,0.89,9.94E-01
SREBF2,-1.47,9.29E-01,-2.099,0.292,0.89,9.94E-01
ZNF75A,-1.652,9.51E-01,-1.915,0.231,0.891,9.94E-01
BCL11B,-2.844,9.98E-01,-2.355,0.436,0.892,9.94E-01
ELK4,-2.934,9.98E-01,-1.877,0.346,0.892,9.94E-01
TAF3,-1.217,8.88E-01,-2.465,0.347,0.895,9.95E-01
SIX5,-2.993,9.99E-01,-2.149,0.41,0.896,9.95E-01
EMSY,-1.696,9.55E-01,-1.945,0.197,0.896,9.95E-01
NFYA,-3.092,9.99E-01,-2.113,0.406,0.897,9.95E-01
PHF6,-1.19,8.83E-01,-2.644,0.352,0.897,9.95E-01
TDRD3,-1.616,9.47E-01,-2.011,0.247,0.897,9.95E-01
DEAF1,-1.52,9.36E-01,-2.103,0.277,0.897,9.95E-01
THAP11,-1.286,9.01E-01,-2.459,0.334,0.902,9.96E-01
CSNK2A1,-1.452,9.27E-01,-2.243,0.295,0.903,9.96E-01
KLF10,-2.007,9.78E-01,-2.122,0.343,0.904,9.96E-01
FOXP3,-2.049,9.80E-01,-2.01,0.299,0.905,9.96E-01
ORC1,-1.438,9.25E-01,-2.26,0.3,0.905,9.96E-01
RBP2,-1.729,9.58E-01,-2.005,0.143,0.906,9.96E-01
SAP30,-2.642,9.96E-01,-2.462,0.42,0.908,9.97E-01
ZIC2,-1.536,9.38E-01,-2.205,0.272,0.908,9.97E-01
REL,-1.656,9.51E-01,-2.621,0.399,0.909,9.97E-01
BRD1,-1.269,8.98E-01,-2.794,0.338,0.911,9.97E-01
KAT7,-1.273,8.99E-01,-2.827,0.337,0.912,9.97E-01
AUTS2,-1.324,9.07E-01,-2.646,0.326,0.914,9.97E-01
OGT,-2.705,9.97E-01,-2.393,0.403,0.917,9.97E-01
TTF2,-1.596,9.45E-01,-2.858,0.388,0.917,9.97E-01
ZNF711,-1.526,9.36E-01,-2.309,0.275,0.917,9.98E-01
SRSF3,-1.961,9.75E-01,-2.198,0.312,0.917,9.98E-01
GMEB2,-2.404,9.92E-01,-2.015,0.217,0.917,9.98E-01
