TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
NONO,-1.731,9.58E-01,-0.214,0.382,0.779,9.51E-01
ZNF711,-0.777,7.81E-01,-1.581,0.408,0.779,9.52E-01
PRMT5,-1.068,8.57E-01,-0.984,0.388,0.78,9.52E-01
KAT5,-1.444,9.26E-01,-1.562,0.441,0.78,9.52E-01
KDM4B,-1.033,8.49E-01,-1.646,0.429,0.782,9.53E-01
GTF2B,-3.097,9.99E-01,-1.743,0.479,0.782,9.54E-01
CBX1,-0.854,8.04E-01,-1.945,0.44,0.783,9.54E-01
HES2,-3.314,1.00E+00,-0.435,0.429,0.783,9.54E-01
KAT8,-1.29,9.02E-01,-1.319,0.415,0.784,9.55E-01
NR5A2,-1.717,9.57E-01,-0.477,0.391,0.785,9.56E-01
ARRB1,-1.485,9.31E-01,-0.784,0.394,0.786,9.56E-01
ORC1,-0.794,7.86E-01,-1.622,0.407,0.786,9.56E-01
SREBF2,-0.909,8.18E-01,-1.513,0.399,0.788,9.57E-01
ZNF83,-1.253,8.95E-01,-1.89,0.447,0.789,9.58E-01
DPF1,-1.023,8.47E-01,-1.875,0.436,0.79,9.59E-01
FAM208A,-0.906,8.18E-01,-1.773,0.424,0.791,9.59E-01
NBN,-1.922,9.73E-01,-1.503,0.451,0.793,9.60E-01
APOBEC3B,-1.066,8.57E-01,-1.269,0.388,0.793,9.60E-01
PTPN11,-0.744,7.71E-01,-1.806,0.41,0.793,9.60E-01
CDC5L,-1.345,9.11E-01,-1.162,0.399,0.796,9.62E-01
POU3F2,-1.332,9.09E-01,-1.204,0.399,0.797,9.62E-01
NFYB,-1.427,9.23E-01,-1.696,0.437,0.798,9.63E-01
DEAF1,-0.96,8.32E-01,-1.591,0.396,0.798,9.63E-01
ZFX,-1.707,9.56E-01,-1.72,0.45,0.799,9.64E-01
ZNF217,-1.442,9.25E-01,-0.741,0.355,0.799,9.64E-01
IRF3,-1.307,9.04E-01,-1.596,0.419,0.8,9.64E-01
EP400,-0.802,7.89E-01,-1.761,0.407,0.801,9.65E-01
XRN2,-1.8,9.64E-01,-1.656,0.45,0.803,9.66E-01
CDK6,-0.697,7.57E-01,-2.078,0.413,0.807,9.68E-01
TAZ,-1.089,8.62E-01,-1.461,0.387,0.807,9.68E-01
ZBTB11,-1.817,9.65E-01,-1.74,0.451,0.81,9.69E-01
SSRP1,-2.36,9.91E-01,-0.922,0.427,0.81,9.69E-01
NCOR1,-2.079,9.81E-01,-2.738,0.48,0.81,9.69E-01
SAP30,-1.728,9.58E-01,-1.976,0.459,0.814,9.71E-01
HCFC1,-2.481,9.94E-01,-1.89,0.465,0.814,9.71E-01
BRD1,-0.721,7.65E-01,-2.191,0.412,0.817,9.73E-01
HDAC8,-1.635,9.49E-01,-1.497,0.411,0.818,9.73E-01
ZNF649,-1.703,9.56E-01,-0.57,0.291,0.818,9.73E-01
CD59,-1.123,8.69E-01,-1.569,0.384,0.819,9.73E-01
TCF7,-1.891,9.71E-01,-1.758,0.446,0.82,9.74E-01
SUPT5H,-2.262,9.88E-01,-1.889,0.459,0.821,9.74E-01
NFYA,-2.427,9.92E-01,-1.78,0.456,0.822,9.75E-01
NELFE,-5.395,1.00E+00,-2.031,0.474,0.824,9.76E-01
HNF1B,-1.523,9.36E-01,-1.01,0.342,0.825,9.76E-01
ZEB1,-1.469,9.29E-01,-2.876,0.456,0.825,9.76E-01
ARID5B,-1.117,8.68E-01,-1.669,0.384,0.826,9.76E-01
DLX2,-1.573,9.42E-01,-0.958,0.333,0.826,9.76E-01
FOXK2,-2.366,9.91E-01,-1.502,0.437,0.828,9.77E-01
GTF2E2,-1.082,8.60E-01,-1.752,0.387,0.829,9.77E-01
AFF4,-2.363,9.91E-01,-1.816,0.452,0.83,9.78E-01
CSNK2A1,-1.053,8.54E-01,-1.827,0.389,0.83,9.78E-01
MCRS1,-0.92,8.21E-01,-1.984,0.398,0.83,9.78E-01
E2F1,-4.137,1.00E+00,-1.819,0.459,0.831,9.78E-01
KAT7,-0.792,7.86E-01,-2.292,0.407,0.831,9.78E-01
YBX3,-1.634,9.49E-01,-1.382,0.387,0.831,9.79E-01
TRRAP,-1.402,9.20E-01,-1.738,0.405,0.832,9.79E-01
ZXDC,-1.32,9.07E-01,-1.565,0.366,0.833,9.79E-01
ATOH1,-1.068,8.57E-01,-1.879,0.388,0.837,9.81E-01
ATF1,-2.541,9.95E-01,-2.07,0.46,0.839,9.81E-01
ZNF701,-1.301,9.03E-01,-1.697,0.368,0.843,9.83E-01
BCL3,-5.176,1.00E+00,-2.042,0.462,0.844,9.83E-01
INTS12,-0.854,8.03E-01,-2.568,0.403,0.844,9.83E-01
TAF3,-0.968,8.33E-01,-2.204,0.395,0.845,9.83E-01
CLOCK,-1.794,9.64E-01,-1.488,0.398,0.846,9.84E-01
ZFAT,-1.646,9.50E-01,-1.192,0.315,0.846,9.84E-01
GRHL2,-5.531,1.00E+00,-0.852,0.394,0.847,9.84E-01
DIDO1,-1.64,9.50E-01,-1.719,0.388,0.853,9.86E-01
TDRD3,-1.347,9.11E-01,-1.759,0.364,0.854,9.86E-01
KLF13,-1.538,9.38E-01,-1.801,0.391,0.855,9.86E-01
U2AF1,-1.796,9.64E-01,-1.672,0.403,0.856,9.87E-01
TFDP1,-2.111,9.83E-01,-1.943,0.435,0.857,9.87E-01
ZSCAN2,-1.598,9.45E-01,-1.545,0.329,0.857,9.87E-01
DCP1A,-1.647,9.50E-01,-1.871,0.402,0.858,9.87E-01
HJURP,-1.538,9.38E-01,-1.626,0.339,0.859,9.87E-01
FXR2,-1.16,8.77E-01,-2.024,0.381,0.86,9.88E-01
SIX5,-2.25,9.88E-01,-1.774,0.422,0.861,9.88E-01
CPSF3L,-1.94,9.74E-01,-1.989,0.432,0.863,9.88E-01
FXR1,-1.191,8.83E-01,-2.026,0.378,0.863,9.88E-01
TAFII,-1.646,9.50E-01,-1.887,0.396,0.863,9.89E-01
XCL1,-1.077,8.59E-01,-2.372,0.388,0.864,9.89E-01
ETS2,-1.785,9.63E-01,-1.799,0.405,0.866,9.89E-01
HNF4A,-5.181,1.00E+00,-1.483,0.409,0.867,9.89E-01
FOXO3,-1.533,9.37E-01,-3.307,0.431,0.867,9.89E-01
