TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
POLR2M,0.154,4.39E-01,-0.742,0.598,0.436,3.59E-01
ZBTB11,0.01,4.96E-01,-0.79,0.606,0.437,3.61E-01
LMTK3,-0.604,7.27E-01,0.448,0.565,0.44,3.67E-01
ZNF436,-0.348,6.36E-01,0.426,0.557,0.441,3.69E-01
DCP1A,0.149,4.41E-01,-0.731,0.592,0.443,3.74E-01
RBL2,-0.783,7.83E-01,-0.95,0.666,0.445,3.78E-01
KDM3B,-0.013,5.05E-01,-0.517,0.582,0.445,3.79E-01
NELFA,-0.726,7.66E-01,-0.96,0.661,0.446,3.81E-01
NR1H2,-0.452,6.74E-01,-0.238,0.578,0.451,3.91E-01
HBP1,0.219,4.14E-01,-0.705,0.584,0.452,3.94E-01
SSU72,-0.257,6.02E-01,-0.029,0.56,0.454,3.97E-01
CDK8,-0.227,5.90E-01,-1.04,0.624,0.455,3.99E-01
SATB1,-1.096,8.64E-01,-0.404,0.616,0.456,4.01E-01
CHRM2,-0.3,6.18E-01,-0.859,0.612,0.457,4.04E-01
ZNF83,-0.12,5.48E-01,-0.551,0.579,0.458,4.07E-01
BATF,-0.752,7.74E-01,-0.355,0.592,0.458,4.07E-01
CPSF3L,0.1,4.60E-01,-0.706,0.584,0.46,4.10E-01
PMEL,-0.142,5.56E-01,-0.592,0.58,0.462,4.14E-01
NR2F1,-0.715,7.63E-01,-0.183,0.58,0.462,4.15E-01
ZNF770,-0.264,6.04E-01,-0.125,0.56,0.462,4.16E-01
BHLHE40,-0.002,5.01E-01,-0.738,0.588,0.463,4.16E-01
ZNF391,-0.004,5.02E-01,-0.788,0.591,0.463,4.18E-01
ZNF639,-0.345,6.35E-01,-0.746,0.599,0.464,4.20E-01
GATAD2B,-0.561,7.13E-01,-0.544,0.592,0.465,4.21E-01
DAXX,-0.396,6.54E-01,-0.082,0.561,0.467,4.26E-01
LMNB1,-0.434,6.68E-01,0.253,0.553,0.468,4.29E-01
NFKB1,-0.454,6.75E-01,-0.562,0.588,0.469,4.30E-01
IRF4,-0.85,8.02E-01,-0.227,0.586,0.471,4.35E-01
ZBTB2,-0.438,6.69E-01,0.02,0.558,0.471,4.35E-01
MECOM,-0.302,6.19E-01,-0.129,0.559,0.471,4.35E-01
SREBF1,-0.503,6.93E-01,-0.75,0.602,0.473,4.40E-01
PTPN11,0.21,4.17E-01,-0.735,0.577,0.473,4.40E-01
FEZF1,-0.533,7.03E-01,-0.172,0.566,0.475,4.43E-01
BANF1,-0.993,8.40E-01,-0.124,0.583,0.476,4.47E-01
ZNF766,-0.6,7.26E-01,-0.349,0.577,0.476,4.47E-01
NFYB,-0.376,6.46E-01,-0.601,0.581,0.479,4.52E-01
DLX2,-0.466,6.79E-01,0.209,0.551,0.479,4.53E-01
FOXA2,-3.767,1.00E+00,-0.305,0.691,0.482,4.59E-01
ETV5,-0.514,6.96E-01,-0.324,0.568,0.482,4.60E-01
ZKSCAN8,-0.316,6.24E-01,-0.425,0.568,0.482,4.60E-01
PRKDC,-0.715,7.63E-01,-0.972,0.625,0.484,4.65E-01
HAND2,-0.585,7.21E-01,0.391,0.545,0.484,4.65E-01
SCRT1,-0.684,7.53E-01,-0.015,0.562,0.485,4.67E-01
RFX2,-0.069,5.28E-01,-0.611,0.567,0.487,4.71E-01
ZNF44,-0.139,5.55E-01,-0.519,0.565,0.489,4.75E-01
DEAF1,0.021,4.92E-01,-0.694,0.57,0.49,4.77E-01
BCL6,-1.035,8.50E-01,-0.869,0.634,0.49,4.78E-01
KLF16,-0.468,6.80E-01,-0.182,0.557,0.491,4.80E-01
ZNF592,-0.696,7.57E-01,-0.336,0.571,0.492,4.83E-01
NFIA,-0.666,7.47E-01,-0.196,0.564,0.495,4.88E-01
CAMTA2,-0.421,6.63E-01,-0.183,0.553,0.495,4.89E-01
HDAC4,-0.087,5.35E-01,-0.662,0.567,0.498,4.94E-01
EBF1,-0.751,7.74E-01,-0.352,0.574,0.498,4.94E-01
GATA1,-3.854,1.00E+00,-0.332,0.669,0.499,4.98E-01
PKNOX1,-0.511,6.95E-01,-0.208,0.557,0.499,4.99E-01
YY1,-1.095,8.63E-01,-1.134,0.658,0.502,5.04E-01
ZNF574,0.082,4.68E-01,-0.823,0.572,0.502,5.05E-01
HDAC8,-0.626,7.35E-01,-0.596,0.579,0.502,5.05E-01
ZNF654,-0.439,6.70E-01,-0.364,0.559,0.503,5.06E-01
TP63,-4.149,1.00E+00,-0.173,0.65,0.507,5.15E-01
ZNF92,-0.531,7.02E-01,-0.023,0.548,0.507,5.15E-01
CDX2,-1.16,8.77E-01,0.135,0.568,0.512,5.26E-01
TDRD3,-0.179,5.71E-01,-0.663,0.563,0.512,5.27E-01
