TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
HEXIM1,0.448,3.27E-01,-0.497,0.554,0.373,2.33E-01
ZNF92,0.568,2.85E-01,1.427,0.478,0.373,2.34E-01
ZNF101,0.46,3.23E-01,1.608,0.473,0.375,2.36E-01
ZNF800,0.493,3.11E-01,1.729,0.469,0.376,2.38E-01
ASCL1,-0.437,6.69E-01,0.821,0.529,0.377,2.40E-01
KDM3B,0.734,2.32E-01,0.398,0.5,0.378,2.42E-01
ZNF547,0.102,4.59E-01,0.038,0.542,0.378,2.42E-01
PARP1,0.374,3.54E-01,1.928,0.467,0.378,2.42E-01
ZNF549,0.375,3.54E-01,1.889,0.467,0.378,2.42E-01
SCRT2,0.621,2.67E-01,1.447,0.472,0.379,2.44E-01
BRD2,0.726,2.34E-01,-0.78,0.545,0.379,2.44E-01
TBL1XR1,0.341,3.67E-01,0.071,0.525,0.381,2.48E-01
INO80,0.184,4.27E-01,-0.643,0.577,0.382,2.50E-01
ZNF136,0.267,3.95E-01,2.102,0.461,0.382,2.50E-01
TARDBP,0.659,2.55E-01,0.043,0.512,0.383,2.52E-01
TFAP2A,-0.242,5.96E-01,0.301,0.539,0.384,2.52E-01
TCF12,-0.018,5.07E-01,0.276,0.531,0.384,2.53E-01
TRIM28,-1.291,9.02E-01,0.907,0.58,0.385,2.56E-01
TEAD1,0.263,3.96E-01,0.762,0.504,0.386,2.57E-01
H3F3B,0.379,3.52E-01,1.743,0.468,0.386,2.58E-01
DDX5,0.213,4.16E-01,1.15,0.495,0.387,2.58E-01
ZNF429,0.35,3.63E-01,1.847,0.466,0.387,2.58E-01
ZNF304,0.374,3.54E-01,1.756,0.467,0.387,2.59E-01
ZNF281,0.78,2.18E-01,0.526,0.489,0.388,2.60E-01
HDAC2,0.384,3.50E-01,-0.847,0.568,0.388,2.61E-01
CENPT,0.288,3.87E-01,1.94,0.462,0.39,2.65E-01
PMEL,0.65,2.58E-01,0.191,0.505,0.391,2.67E-01
MAPK1,0.917,1.80E-01,-0.339,0.51,0.392,2.68E-01
MGEA5,0.692,2.45E-01,0.693,0.484,0.394,2.73E-01
MLLT1,0.544,2.93E-01,-0.269,0.519,0.395,2.74E-01
ZNF823,0.368,3.57E-01,1.684,0.467,0.395,2.74E-01
ZNF189,0.797,2.13E-01,0.358,0.49,0.396,2.76E-01
HDAC3,-0.375,6.46E-01,0.543,0.522,0.397,2.78E-01
ASXL1,0.899,1.84E-01,0.023,0.496,0.397,2.79E-01
ZNF664,0.541,2.94E-01,1.264,0.471,0.399,2.81E-01
TAF1,0.982,1.63E-01,-0.773,0.518,0.399,2.82E-01
