TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
DEK,0.174,4.31E-01,-0.291,0.587,0.536,5.81E-01
SETD1A,0.534,2.97E-01,-0.683,0.592,0.536,5.81E-01
CTNNB1,-0.151,5.60E-01,0.518,0.566,0.537,5.83E-01
RUNX1,-2.348,9.91E-01,-0.643,0.669,0.541,5.91E-01
POLR2B,0.056,4.78E-01,-0.869,0.606,0.541,5.91E-01
MCM3,-0.146,5.58E-01,0.325,0.569,0.543,5.96E-01
BCL11A,-0.263,6.04E-01,-0.23,0.594,0.543,5.96E-01
ZNF467,0.218,4.14E-01,-0.219,0.578,0.543,5.96E-01
SCRT2,-0.067,5.27E-01,0.237,0.569,0.545,6.00E-01
ATF3,-0.804,7.89E-01,-0.916,0.63,0.546,6.02E-01
TBL1XR1,-0.099,5.40E-01,-0.542,0.598,0.547,6.05E-01
PRKDC,-0.921,8.22E-01,-1.241,0.649,0.547,6.06E-01
DEAF1,0.328,3.71E-01,-0.412,0.582,0.548,6.07E-01
ELK4,0.199,4.21E-01,-0.512,0.59,0.549,6.09E-01
ZNF506,-0.251,5.99E-01,0.575,0.562,0.549,6.09E-01
ZNF770,-0.076,5.30E-01,0.226,0.568,0.549,6.09E-01
ERCC2,-0.211,5.84E-01,0.478,0.564,0.55,6.11E-01
MBOAT4,0.17,4.33E-01,-0.229,0.577,0.551,6.13E-01
ZNF644,0.055,4.78E-01,-0.111,0.573,0.554,6.20E-01
ZNF354C,-0.477,6.83E-01,0.886,0.553,0.554,6.21E-01
U2AF1,0.421,3.37E-01,-0.675,0.587,0.555,6.22E-01
KMT2D,-0.357,6.40E-01,-0.82,0.612,0.556,6.24E-01
ERG,-0.878,8.10E-01,-0.949,0.63,0.556,6.25E-01
TP73,-1.225,8.90E-01,0.131,0.601,0.558,6.28E-01
ELF2,0.193,4.24E-01,-0.325,0.578,0.558,6.28E-01
SKI,-0.012,5.05E-01,-0.06,0.571,0.559,6.32E-01
NANOG,-2.006,9.78E-01,0.315,0.608,0.56,6.33E-01
AFF4,-0.12,5.48E-01,-0.984,0.609,0.56,6.33E-01
CDK7,0.453,3.25E-01,-0.804,0.59,0.56,6.34E-01
ZNF512,-0.421,6.63E-01,0.254,0.576,0.561,6.35E-01
ZNF554,-0.105,5.42E-01,0.117,0.567,0.561,6.36E-01
BHLHE40,-0.203,5.80E-01,-1.076,0.613,0.563,6.39E-01
ZNF574,0.263,3.96E-01,-0.509,0.58,0.564,6.41E-01
CDK2,-0.637,7.38E-01,0.571,0.568,0.564,6.41E-01
ICE2,0.02,4.92E-01,-0.164,0.572,0.564,6.42E-01
CREBBP,-1.499,9.33E-01,-1.256,0.685,0.564,6.43E-01
TEAD2,-0.364,6.42E-01,0.419,0.565,0.564,6.43E-01
BRCA1,-0.036,5.15E-01,-0.548,0.592,0.565,6.43E-01
CCNT2,0.256,3.99E-01,-0.487,0.58,0.565,6.43E-01
EP300,-6.016,1.00E+00,-0.767,0.708,0.565,6.44E-01
BCLAF1,-0.024,5.09E-01,-0.647,0.593,0.566,6.46E-01
DMC1,-0.388,6.51E-01,0.619,0.557,0.566,6.46E-01
GATA3,-5.071,1.00E+00,0.243,0.617,0.567,6.48E-01
GTF2B,-0.167,5.67E-01,-0.792,0.602,0.567,6.48E-01
KDM1A,-0.984,8.38E-01,-0.269,0.603,0.568,6.50E-01
CBX8,-0.183,5.73E-01,-1.519,0.619,0.568,6.51E-01
IRF5,-0.424,6.64E-01,0.634,0.555,0.569,6.52E-01
ZNF584,-0.064,5.26E-01,-0.134,0.57,0.57,6.55E-01
FOXK2,-0.491,6.88E-01,-0.037,0.583,0.571,6.56E-01
PYGO2,-0.501,6.92E-01,0.307,0.57,0.572,6.58E-01
KMT2A,-0.673,7.50E-01,-1.77,0.641,0.574,6.62E-01
CCDC101,-0.034,5.14E-01,-0.412,0.582,0.575,6.65E-01
ZNF697,-0.556,7.11E-01,0.113,0.579,0.577,6.68E-01
ZBTB14,0.508,3.06E-01,-0.945,0.587,0.577,6.68E-01
HNF4G,-0.963,8.32E-01,0.119,0.591,0.577,6.70E-01
ZNF600,0.095,4.62E-01,-0.408,0.576,0.578,6.71E-01
NR2F2,-2.043,9.80E-01,-0.953,0.657,0.581,6.77E-01
TSC22D4,-1.315,9.06E-01,0.28,0.593,0.581,6.77E-01
NR4A1,-0.663,7.46E-01,-0.282,0.594,0.581,6.77E-01
ZNF692,0.333,3.70E-01,-0.729,0.58,0.581,6.77E-01
CHD1,-0.271,6.07E-01,-1.265,0.613,0.583,6.83E-01
RXRG,-0.341,6.34E-01,-0.24,0.581,0.584,6.83E-01
ZNF134,-0.278,6.10E-01,0.185,0.561,0.585,6.85E-01
HOXB13,-4.916,1.00E+00,-0.337,0.628,0.585,6.86E-01
BATF,-1.064,8.56E-01,-0.582,0.61,0.586,6.87E-01
PRMT1,-0.299,6.18E-01,0.087,0.567,0.586,6.87E-01
IRF4,-0.925,8.23E-01,-0.276,0.597,0.586,6.88E-01
GATA4,-4.788,1.00E+00,-0.612,0.642,0.586,6.88E-01
GATAD1,-0.176,5.70E-01,-0.764,0.595,0.586,6.88E-01
ZNF292,-0.55,7.09E-01,0.598,0.549,0.587,6.90E-01
ZNF680,-1.44,9.25E-01,0.476,0.588,0.587,6.91E-01
JUNB,-1.321,9.07E-01,-0.962,0.63,0.59,6.95E-01
ZNF331,-0.613,7.30E-01,0.688,0.547,0.59,6.95E-01
GMEB1,0.032,4.87E-01,-0.413,0.572,0.59,6.96E-01
YY1,-1.229,8.91E-01,-1.17,0.635,0.592,7.00E-01
DDX20,-0.659,7.45E-01,-0.119,0.581,0.594,7.04E-01
MAFK,-1.647,9.50E-01,-0.638,0.621,0.596,7.07E-01
UBTF,0.01,4.96E-01,-1.147,0.599,0.596,7.08E-01
CDK9,-0.729,7.67E-01,-1.45,0.622,0.598,7.12E-01
PAX5,-0.693,7.56E-01,-0.346,0.591,0.599,7.14E-01
ZNF589,-0.12,5.48E-01,-0.33,0.568,0.599,7.14E-01
PHF2,0.283,3.89E-01,-1.144,0.592,0.599,7.14E-01
STAT1,-0.508,6.94E-01,-0.872,0.602,0.6,7.15E-01
ZBTB1,-0.113,5.45E-01,-0.37,0.571,0.6,7.15E-01
ZNF441,0.236,4.07E-01,-0.801,0.579,0.601,7.19E-01
HDAC3,-0.72,7.64E-01,0.17,0.568,0.602,7.21E-01
ZNF518A,0.056,4.78E-01,-0.619,0.574,0.602,7.21E-01
SMARCE1,-0.624,7.34E-01,-0.152,0.577,0.604,7.23E-01
INSM2,-0.035,5.14E-01,-0.654,0.579,0.604,7.24E-01
ZNF335,0.331,3.70E-01,-1.031,0.584,0.607,7.29E-01
ZNF346,0.216,4.15E-01,-0.798,0.577,0.607,7.29E-01
ZNF793,-0.674,7.50E-01,0.325,0.558,0.608,7.31E-01
E2F7,-2.201,9.86E-01,-1.426,0.659,0.608,7.32E-01
FOXP1,-1.503,9.34E-01,-1.536,0.643,0.61,7.36E-01
ZBTB6,-0.116,5.46E-01,-0.56,0.574,0.61,7.36E-01
MCRS1,0.198,4.22E-01,-0.841,0.578,0.611,7.37E-01
C17orf49,-0.03,5.12E-01,-0.926,0.589,0.611,7.37E-01
RELA,-3.348,1.00E+00,-1.091,0.657,0.611,7.38E-01
BCL6,-1.265,8.97E-01,-1.027,0.622,0.612,7.39E-01
FOSL1,-1.392,9.18E-01,-0.666,0.611,0.612,7.39E-01
BAHD1,-1.572,9.42E-01,0.462,0.58,0.613,7.41E-01
ASXL1,0.26,3.98E-01,-0.973,0.58,0.614,7.43E-01
IRF1,-1.755,9.60E-01,-1.458,0.647,0.616,7.47E-01
AR,-17.832,1.00E+00,-0.321,0.617,0.616,7.47E-01
JUN,-3.648,1.00E+00,-0.927,0.643,0.616,7.47E-01
CEBPB,-8.616,1.00E+00,-1.062,0.656,0.619,7.52E-01
NR3C1,-9.301,1.00E+00,-0.809,0.64,0.619,7.53E-01
IRF3,-0.141,5.56E-01,-0.661,0.576,0.621,7.56E-01
ERCC3,-0.295,6.16E-01,-0.194,0.561,0.621,7.56E-01
ZNF781,-0.922,8.22E-01,0.381,0.557,0.623,7.59E-01
FGFR1,0.076,4.70E-01,-1.172,0.589,0.624,7.61E-01
ATF2,-1.652,9.51E-01,-1.841,0.652,0.624,7.63E-01
ZNF394,0.18,4.28E-01,-0.936,0.577,0.625,7.63E-01
SATB1,-1.23,8.91E-01,-0.61,0.602,0.625,7.63E-01
SMARCA4,-1.396,9.19E-01,-2.048,0.643,0.625,7.64E-01
GLI2,-1.564,9.41E-01,-2.291,0.654,0.625,7.65E-01
ZNF320,-0.899,8.16E-01,0.153,0.563,0.627,7.67E-01
HMGN1,-0.004,5.02E-01,-0.769,0.571,0.628,7.69E-01
FOXA2,-4.597,1.00E+00,-0.569,0.62,0.628,7.70E-01
BACH2,-0.767,7.79E-01,-0.368,0.581,0.629,7.70E-01
BRD4,-3.402,1.00E+00,-1.58,0.668,0.629,7.72E-01
HDAC6,-0.455,6.75E-01,-1.01,0.596,0.629,7.72E-01
NME2,-0.905,8.17E-01,0.448,0.547,0.629,7.72E-01
MECP2,-0.537,7.04E-01,-1.671,0.61,0.63,7.73E-01
SUMO2,-2.235,9.87E-01,0.114,0.594,0.631,7.74E-01
MYNN,-0.691,7.55E-01,-0.766,0.594,0.631,7.74E-01
FOSL2,-4.897,1.00E+00,-0.599,0.619,0.636,7.83E-01
EBNA2,-0.468,6.80E-01,-0.145,0.553,0.636,7.83E-01
ZNF788,-0.638,7.38E-01,-0.177,0.563,0.637,7.85E-01
KDM6B,-1.133,8.71E-01,-1.466,0.617,0.64,7.90E-01
TTF2,-0.498,6.91E-01,-1.151,0.598,0.64,7.91E-01
ZNF146,-0.681,7.52E-01,-0.509,0.579,0.641,7.91E-01
ZNF618,-0.295,6.16E-01,-0.395,0.561,0.641,7.93E-01
ZNF429,-0.582,7.20E-01,-0.02,0.548,0.642,7.94E-01
CHRM2,-0.929,8.24E-01,-1.783,0.619,0.643,7.95E-01
HDAC4,-0.124,5.49E-01,-0.725,0.567,0.643,7.96E-01
ZNF257,-0.075,5.30E-01,-0.792,0.568,0.643,7.96E-01
PSIP1,-0.514,6.96E-01,-1.002,0.593,0.644,7.97E-01
RUNX1T1,-0.983,8.37E-01,-0.361,0.579,0.646,8.01E-01
BCL11B,-0.281,6.11E-01,-1.01,0.586,0.647,8.02E-01
GTF2A2,-0.549,7.09E-01,-0.152,0.549,0.647,8.03E-01
ZXDB,0.113,4.55E-01,-1.124,0.574,0.648,8.04E-01
TAL1,-5.934,1.00E+00,-0.878,0.627,0.648,8.05E-01
ZNF768,-0.648,7.42E-01,0.028,0.545,0.649,8.05E-01
ZNF92,-0.591,7.23E-01,-0.101,0.548,0.651,8.09E-01
TDRD3,-0.199,5.79E-01,-0.682,0.564,0.651,8.09E-01
FOS,-3.037,9.99E-01,-1.079,0.63,0.652,8.11E-01
ZNF189,0.071,4.72E-01,-1.132,0.574,0.654,8.13E-01
ZNF284,-0.681,7.52E-01,0.037,0.543,0.655,8.15E-01
ZNF519,0.062,4.75E-01,-1.127,0.574,0.655,8.15E-01
ZNF675,-0.747,7.72E-01,0.123,0.54,0.655,8.15E-01
C11orf30,-0.544,7.07E-01,-0.362,0.56,0.656,8.17E-01
DPPA2,-0.62,7.32E-01,-0.11,0.546,0.656,8.17E-01
MED1,-4.458,1.00E+00,-1.959,0.655,0.657,8.19E-01
ZBTB42,-0.355,6.39E-01,-0.461,0.558,0.659,8.21E-01
ZNF140,-1.332,9.09E-01,0.261,0.557,0.66,8.23E-01
HAND2,-0.81,7.91E-01,0.134,0.535,0.66,8.24E-01
MYOD1,-1.053,8.54E-01,-0.073,0.561,0.661,8.25E-01
EOMES,-1.302,9.04E-01,0.21,0.557,0.663,8.27E-01
SMAD5,-0.194,5.77E-01,-0.831,0.567,0.663,8.27E-01
NR2F1,-1.006,8.43E-01,-0.489,0.579,0.664,8.29E-01
GTF2E2,-0.198,5.79E-01,-0.798,0.564,0.664,8.29E-01
WT1,-0.171,5.68E-01,-0.916,0.569,0.664,8.30E-01
RFX2,-0.219,5.87E-01,-0.773,0.563,0.665,8.31E-01
HSF1,-1.406,9.20E-01,-2.427,0.626,0.668,8.35E-01
GATA2,-6.283,1.00E+00,-0.778,0.615,0.668,8.36E-01
ZNF534,-0.172,5.68E-01,-0.866,0.565,0.668,8.36E-01
PHF6,0.02,4.92E-01,-1.278,0.572,0.67,8.39E-01
NFE2L2,-1.664,9.52E-01,-0.886,0.605,0.674,8.44E-01
MLLT1,-0.644,7.40E-01,-1.141,0.59,0.676,8.47E-01
NOTCH1,-0.762,7.77E-01,-1.06,0.59,0.676,8.47E-01
NFIC,-0.819,7.94E-01,-1.119,0.593,0.678,8.50E-01
CEBPD,-0.649,7.42E-01,-1.582,0.597,0.678,8.50E-01
