TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
KAT8,-1.437,9.25E-01,-1.423,0.453,0.804,9.66E-01
FAM208A,-0.936,8.25E-01,-1.797,0.447,0.806,9.67E-01
U2AF1,-1.216,8.88E-01,-1.411,0.444,0.806,9.67E-01
BCL6,-3.096,9.99E-01,-2.284,0.483,0.806,9.67E-01
RUNX3,-0.942,8.27E-01,-1.404,0.423,0.806,9.67E-01
TRIM22,-1.141,8.73E-01,-1.358,0.433,0.809,9.69E-01
GMEB1,-1.039,8.51E-01,-1.23,0.416,0.81,9.69E-01
IRAK1,-0.652,7.43E-01,-2.141,0.44,0.811,9.70E-01
HMG20A,-1.16,8.77E-01,-1.015,0.407,0.812,9.70E-01
KLF12,-0.703,7.59E-01,-2.001,0.437,0.813,9.71E-01
IKZF1,-4.231,1.00E+00,-1.431,0.467,0.815,9.72E-01
NFAT5,-0.978,8.36E-01,-1.497,0.421,0.816,9.72E-01
DCP1A,-1.107,8.66E-01,-1.528,0.435,0.816,9.72E-01
HEY1,-0.889,8.13E-01,-2.109,0.447,0.818,9.73E-01
RBP2,-1.007,8.43E-01,-1.459,0.418,0.819,9.73E-01
KDM6A,-0.996,8.40E-01,-1.521,0.419,0.82,9.74E-01
TBX5,-2.716,9.97E-01,-0.437,0.41,0.821,9.74E-01
TARDBP,-1.302,9.04E-01,-2.295,0.464,0.821,9.74E-01
CENPC,-1.725,9.58E-01,-0.374,0.279,0.821,9.74E-01
ORC1,-0.914,8.20E-01,-1.741,0.425,0.821,9.74E-01
LMO1,-0.98,8.37E-01,-1.631,0.42,0.824,9.76E-01
MAFB,-1.006,8.43E-01,-1.558,0.419,0.825,9.76E-01
CDK12,-0.767,7.78E-01,-2.138,0.433,0.826,9.76E-01
RUVBL1,-0.989,8.39E-01,-1.65,0.42,0.827,9.77E-01
BPTF,-0.674,7.50E-01,-2.483,0.439,0.828,9.77E-01
PLRG1,-2.357,9.91E-01,-0.337,0.34,0.828,9.77E-01
MXD3,-1.096,8.63E-01,-1.441,0.411,0.828,9.77E-01
PTPN11,-0.866,8.07E-01,-1.944,0.428,0.828,9.77E-01
EBNA3,-1.286,9.01E-01,-1.043,0.396,0.828,9.77E-01
PML,-3.223,9.99E-01,-2.557,0.478,0.829,9.78E-01
GLI2,-3.502,1.00E+00,-3.799,0.483,0.83,9.78E-01
SREBF2,-1.031,8.49E-01,-1.64,0.417,0.831,9.79E-01
ARID2,-0.98,8.36E-01,-2.253,0.446,0.834,9.79E-01
TGIF2,-0.929,8.24E-01,-2.26,0.444,0.834,9.80E-01
MLLT1,-2.595,9.95E-01,-2.575,0.475,0.835,9.80E-01
TLX1,-1.229,8.90E-01,-1.239,0.401,0.835,9.80E-01
HBP1,-0.96,8.31E-01,-2.107,0.439,0.836,9.80E-01
UBTF,-1.583,9.43E-01,-2.557,0.467,0.84,9.82E-01
SETD1A,-0.848,8.02E-01,-2.875,0.444,0.84,9.82E-01
SUPT5H,-2.584,9.95E-01,-2.037,0.466,0.842,9.82E-01
ATF1,-2.439,9.93E-01,-2.008,0.464,0.843,9.83E-01
EBNA2,-1.333,9.09E-01,-1.202,0.39,0.844,9.83E-01
KLF10,-1.372,9.15E-01,-1.651,0.428,0.845,9.83E-01
FOXJ2,-1.324,9.07E-01,-1.663,0.426,0.846,9.84E-01
PSIP1,-1.197,8.84E-01,-2.168,0.446,0.847,9.84E-01
ZBTB11,-2.014,9.78E-01,-1.843,0.455,0.848,9.84E-01
CDK7,-1.819,9.66E-01,-2.326,0.463,0.849,9.84E-01
PHF8,-2.834,9.98E-01,-1.877,0.462,0.849,9.84E-01
NFKB1,-1.647,9.50E-01,-1.7,0.445,0.849,9.85E-01
PHF6,-0.894,8.14E-01,-2.31,0.426,0.85,9.85E-01
ZNF597,-1.256,8.96E-01,-1.497,0.398,0.852,9.85E-01
MEIS1,-2.274,9.89E-01,-0.913,0.401,0.852,9.85E-01
KDM5A,-1.929,9.73E-01,-1.39,0.426,0.853,9.86E-01
CDK9,-4.317,1.00E+00,-2.862,0.475,0.854,9.86E-01
MYH11,-1.88,9.70E-01,-3.482,0.467,0.857,9.87E-01
CEBPD,-1.303,9.04E-01,-2.826,0.453,0.857,9.87E-01
TCOF1,-0.947,8.28E-01,-2.233,0.423,0.857,9.87E-01
ELK1,-2.894,9.98E-01,-1.837,0.457,0.858,9.87E-01
RAG2,-0.848,8.02E-01,-3.196,0.429,0.858,9.87E-01
ZBTB7B,-1.179,8.81E-01,-1.752,0.405,0.86,9.88E-01
SRSF3,-1.386,9.17E-01,-1.809,0.424,0.863,9.89E-01
ELF2,-1.341,9.10E-01,-1.511,0.389,0.863,9.89E-01
MYB,-3.383,1.00E+00,-1.694,0.452,0.865,9.89E-01
ETV6,-2.414,9.92E-01,-1.38,0.421,0.865,9.89E-01
WRNIP1,-0.934,8.25E-01,-2.838,0.424,0.866,9.89E-01
TCF21,-2.738,9.97E-01,-1.169,0.416,0.867,9.89E-01
ARID5B,-1.218,8.88E-01,-1.788,0.401,0.867,9.89E-01
GTF2E2,-1.167,8.78E-01,-1.844,0.406,0.867,9.89E-01
ZNF75A,-1.327,9.08E-01,-1.636,0.391,0.867,9.90E-01
LEO1,-1.094,8.63E-01,-2.222,0.411,0.873,9.91E-01
PHF2,-1.296,9.03E-01,-2.332,0.434,0.874,9.91E-01
MGEA5,-0.949,8.29E-01,-2.904,0.423,0.874,9.91E-01
POU3F2,-1.706,9.56E-01,-1.565,0.405,0.877,9.92E-01
HOXA2,-1.141,8.73E-01,-2.155,0.408,0.877,9.92E-01
TERF1,-1.387,9.17E-01,-1.726,0.385,0.88,9.92E-01
SND1,-2.379,9.91E-01,-1.298,0.39,0.881,9.92E-01
POU2F2,-1.649,9.50E-01,-2.222,0.442,0.881,9.92E-01
GABP,-1.339,9.10E-01,-2.348,0.431,0.881,9.93E-01
GRIP1,-2.426,9.92E-01,-1.123,0.312,0.881,9.93E-01
DDX21,-1.567,9.42E-01,-1.794,0.413,0.882,9.93E-01
TDRD3,-1.379,9.16E-01,-1.788,0.386,0.883,9.93E-01
GTF2B,-3.269,1.00E+00,-1.798,0.444,0.884,9.93E-01
NELFA,-3.283,1.00E+00,-1.653,0.433,0.886,9.93E-01
KMT2D,-3.321,1.00E+00,-1.954,0.448,0.887,9.94E-01
NR2C2,-3.273,1.00E+00,-1.825,0.443,0.888,9.94E-01
LMO2,-3.348,1.00E+00,-1.566,0.425,0.888,9.94E-01
ETS1,-6.162,1.00E+00,-2.893,0.464,0.888,9.94E-01
TBX21,-2.124,9.83E-01,-1.712,0.409,0.893,9.94E-01
MEF2C,-1.182,8.81E-01,-2.392,0.405,0.893,9.95E-01
GMEB2,-1.894,9.71E-01,-1.732,0.404,0.893,9.95E-01
