TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF563,0.665,2.53E-01,1.887,0.488,0.282,1.01E-01
C11orf30,0.829,2.04E-01,1.755,0.488,0.283,1.02E-01
BATF,0.658,2.55E-01,0.672,0.522,0.285,1.04E-01
EHMT2,0.651,2.57E-01,1.747,0.492,0.286,1.05E-01
ZNF382,0.669,2.52E-01,1.571,0.494,0.287,1.06E-01
CHRM2,0.574,2.83E-01,0.426,0.532,0.288,1.08E-01
ZNF808,0.478,3.16E-01,2.281,0.479,0.289,1.09E-01
SIX2,1.053,1.46E-01,1.58,0.481,0.29,1.10E-01
ZNF354C,0.51,3.05E-01,2.134,0.48,0.292,1.12E-01
ZNF292,0.555,2.90E-01,1.98,0.483,0.294,1.14E-01
KDM1B,0.522,3.01E-01,2.037,0.481,0.295,1.15E-01
STAT1,0.792,2.14E-01,0.099,0.534,0.295,1.16E-01
MEF2A,0.367,3.57E-01,0.431,0.543,0.297,1.18E-01
RB1,1.001,1.58E-01,-0.069,0.528,0.298,1.19E-01
ILK,0.656,2.56E-01,1.853,0.483,0.298,1.20E-01
SMARCC2,1.102,1.35E-01,0.838,0.494,0.299,1.20E-01
ZXDC,0.646,2.59E-01,1.716,0.487,0.301,1.22E-01
JUNB,0.44,3.30E-01,0.649,0.526,0.301,1.23E-01
ZNF2,0.908,1.82E-01,0.704,0.503,0.301,1.23E-01
HIF1A,0.468,3.20E-01,1.67,0.493,0.303,1.25E-01
MITF,0.511,3.05E-01,1.342,0.499,0.303,1.26E-01
ZC3H8,0.944,1.73E-01,0.89,0.495,0.304,1.27E-01
SMARCA5,0.644,2.60E-01,1.458,0.491,0.305,1.28E-01
HEXIM1,1.193,1.17E-01,0.435,0.496,0.307,1.30E-01
NR2F1,0.807,2.10E-01,1.424,0.486,0.307,1.30E-01
FANCD2,0.567,2.85E-01,1.809,0.483,0.308,1.31E-01
PARP1,0.469,3.19E-01,2.046,0.478,0.308,1.32E-01
GATAD1,0.826,2.04E-01,0.177,0.518,0.308,1.32E-01
SCRT1,0.747,2.28E-01,1.606,0.48,0.311,1.36E-01
SETDB1,-0.091,5.36E-01,0.937,0.553,0.313,1.38E-01
ZNF697,0.255,3.99E-01,1.882,0.491,0.314,1.39E-01
SMARCB1,0.781,2.17E-01,-0.04,0.527,0.315,1.40E-01
KDM5B,0.914,1.80E-01,-0.24,0.526,0.316,1.42E-01
KDM5C,0.825,2.05E-01,-0.389,0.535,0.316,1.42E-01
ZIM3,0.608,2.72E-01,1.632,0.482,0.316,1.43E-01
ZNF384,0.607,2.72E-01,1.075,0.495,0.317,1.43E-01
FLI1,0.261,3.97E-01,0.138,0.554,0.318,1.44E-01
SOX11,0.428,3.35E-01,1.765,0.484,0.321,1.49E-01
EWSR1,0.137,4.46E-01,0.862,0.526,0.322,1.51E-01
ZSCAN16,0.401,3.44E-01,1.016,0.504,0.323,1.51E-01
CHAMP1,0.802,2.11E-01,1.095,0.484,0.325,1.55E-01
RBL1,0.656,2.56E-01,1.167,0.488,0.325,1.55E-01
ZNF284,0.445,3.28E-01,1.9,0.477,0.326,1.56E-01
UBE2I,0.635,2.63E-01,1.303,0.487,0.326,1.56E-01
SMARCE1,0.667,2.52E-01,1.663,0.475,0.329,1.60E-01
CREBBP,-0.037,5.15E-01,0.285,0.565,0.33,1.62E-01
PHOX2B,0.486,3.14E-01,1.71,0.479,0.331,1.64E-01
NR5A2,0.424,3.36E-01,1.496,0.485,0.333,1.65E-01
CHAT,0.511,3.05E-01,1.74,0.476,0.333,1.67E-01
NKX3-1,0.456,3.24E-01,1.619,0.481,0.334,1.67E-01
CHD7,0.262,3.97E-01,0.48,0.519,0.334,1.68E-01
ZNF75D,0.477,3.17E-01,1.835,0.475,0.334,1.68E-01
SATB1,0.326,3.72E-01,1.79,0.482,0.335,1.69E-01
SCRT2,0.631,2.64E-01,1.466,0.478,0.335,1.70E-01
MAX,1.104,1.35E-01,-0.618,0.517,0.336,1.70E-01
REPIN1,0.039,4.84E-01,0.66,0.528,0.338,1.74E-01
E2F2,0.63,2.65E-01,0.985,0.486,0.34,1.76E-01
