TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
E2F8,-0.926,8.23E-01,-1.659,0.268,0.789,9.58E-01
SREBF2,-0.989,8.39E-01,-1.596,0.258,0.791,9.59E-01
MBOAT4,-0.817,7.93E-01,-1.846,0.281,0.792,9.59E-01
ZBTB7B,-1.012,8.44E-01,-1.574,0.254,0.792,9.60E-01
HOXA2,-0.854,8.03E-01,-1.803,0.277,0.792,9.60E-01
HSF1,-1.976,9.76E-01,-3.018,0.41,0.794,9.61E-01
CBFB,-1.871,9.69E-01,-2.795,0.403,0.794,9.61E-01
MLLT1,-2.116,9.83E-01,-2.223,0.39,0.795,9.61E-01
SP3,-0.742,7.71E-01,-2.335,0.325,0.795,9.61E-01
PRMT5,-1.23,8.91E-01,-1.15,0.217,0.796,9.62E-01
CDK7,-1.823,9.66E-01,-2.328,0.389,0.797,9.62E-01
RAG2,-0.544,7.07E-01,-2.649,0.315,0.798,9.63E-01
GTF3C2,-0.791,7.86E-01,-2.288,0.323,0.798,9.63E-01
NFYB,-1.432,9.24E-01,-1.701,0.324,0.799,9.63E-01
ZBTB7A,-2.09,9.82E-01,-2.382,0.393,0.8,9.64E-01
BCL11B,-2.345,9.91E-01,-2.093,0.38,0.801,9.65E-01
POLR2H,-1.184,8.82E-01,-1.736,0.283,0.806,9.67E-01
KAT8,-1.566,9.41E-01,-1.515,0.305,0.806,9.67E-01
SETD1A,-0.83,7.97E-01,-2.847,0.346,0.807,9.68E-01
HOXA4,-0.639,7.39E-01,-2.45,0.305,0.807,9.68E-01
DIDO1,-1.359,9.13E-01,-1.458,0.269,0.809,9.69E-01
STAT5,-2.062,9.80E-01,-1.297,0.311,0.809,9.69E-01
FEV,-1.109,8.66E-01,-1.673,0.24,0.81,9.69E-01
BARX1,-1.117,8.68E-01,-1.668,0.238,0.81,9.69E-01
RB1,-2.045,9.80E-01,-1.891,0.357,0.812,9.70E-01
ASCL2,-1.003,8.42E-01,-1.825,0.256,0.813,9.71E-01
MED12,-1.272,8.98E-01,-1.848,0.303,0.814,9.71E-01
STAT5B,-2.068,9.81E-01,-1.673,0.336,0.815,9.71E-01
CDK8,-3.429,1.00E+00,-2.941,0.405,0.816,9.72E-01
NFRKB,-1.462,9.28E-01,-1.449,0.253,0.819,9.73E-01
CCNT2,-0.762,7.77E-01,-2.344,0.289,0.819,9.73E-01
PMEL,-1.386,9.17E-01,-1.821,0.304,0.82,9.74E-01
EHF,-1.614,9.47E-01,-1.574,0.284,0.82,9.74E-01
MYH11,-1.433,9.24E-01,-2.951,0.371,0.823,9.75E-01
CASP8AP2,-1.237,8.92E-01,-1.644,0.216,0.824,9.75E-01
ARNT2,-1.118,8.68E-01,-1.812,0.238,0.824,9.75E-01
TET1,-0.927,8.23E-01,-2.093,0.267,0.825,9.76E-01
E2F3,-0.788,7.85E-01,-2.4,0.285,0.825,9.76E-01
DLX1,-1.105,8.66E-01,-1.872,0.241,0.826,9.76E-01
SREBF1,-1.696,9.55E-01,-1.676,0.303,0.827,9.77E-01
KDM3A,-1.304,9.04E-01,-1.854,0.278,0.829,9.78E-01
ARID5B,-1.197,8.84E-01,-1.763,0.224,0.829,9.78E-01
MBTD1,-0.903,8.17E-01,-2.202,0.271,0.829,9.78E-01
MKL1,-1.045,8.52E-01,-2.007,0.25,0.831,9.78E-01
HMGN3,-0.798,7.88E-01,-2.479,0.284,0.832,9.79E-01
ZBTB14,-0.775,7.81E-01,-2.619,0.287,0.832,9.79E-01
ELF1,-3.111,9.99E-01,-2.895,0.392,0.834,9.79E-01
ARNTL,-2.023,9.79E-01,-1.785,0.319,0.834,9.79E-01
SMARCC2,-1.268,8.98E-01,-1.94,0.271,0.834,9.80E-01
THAP11,-1.021,8.46E-01,-2.123,0.253,0.836,9.80E-01
ING2,-0.749,7.73E-01,-2.891,0.29,0.838,9.81E-01
REL,-1.295,9.02E-01,-2.254,0.314,0.84,9.82E-01
CDK9,-3.94,1.00E+00,-2.713,0.386,0.841,9.82E-01
NR0B1,-0.908,8.18E-01,-2.381,0.27,0.843,9.83E-01
HMGN1,-1.162,8.77E-01,-2.014,0.23,0.844,9.83E-01
CHD1,-3.938,1.00E+00,-2.604,0.378,0.846,9.84E-01
OGT,-2.297,9.89E-01,-2.171,0.347,0.849,9.84E-01
KDM4B,-1.426,9.23E-01,-1.999,0.275,0.849,9.84E-01
NFYA,-2.608,9.95E-01,-1.871,0.322,0.851,9.85E-01
MXD3,-1.393,9.18E-01,-1.732,0.189,0.853,9.86E-01
NR2C2,-3.804,1.00E+00,-2.045,0.345,0.854,9.86E-01
HOXA1,-1.393,9.18E-01,-1.756,0.189,0.854,9.86E-01
AFF4,-4.361,1.00E+00,-2.557,0.372,0.855,9.86E-01
SNAPC1,-1.581,9.43E-01,-1.565,0.149,0.856,9.87E-01
HOXA6,-1.076,8.59E-01,-2.315,0.245,0.856,9.87E-01
BCL3,-6.699,1.00E+00,-2.403,0.369,0.858,9.87E-01
THAP1,-1.087,8.62E-01,-2.322,0.244,0.858,9.87E-01
ATOH1,-1.245,8.93E-01,-2.059,0.215,0.858,9.87E-01
SP2,-1.792,9.63E-01,-2.264,0.328,0.86,9.88E-01
IRF3,-1.662,9.52E-01,-1.88,0.267,0.861,9.88E-01
ZBTB10,-1.368,9.14E-01,-1.874,0.193,0.861,9.88E-01
KLF13,-1.613,9.47E-01,-1.863,0.237,0.862,9.88E-01
NKRF,-1.639,9.49E-01,-1.97,0.27,0.863,9.89E-01
HCFC1,-2.91,9.98E-01,-2.094,0.329,0.863,9.89E-01
SAP30,-2.407,9.92E-01,-2.336,0.346,0.864,9.89E-01
HDAC6,-1.54,9.38E-01,-2.046,0.263,0.866,9.89E-01
ZIC2,-1.336,9.09E-01,-2.006,0.198,0.866,9.89E-01
CSNK2A1,-1.299,9.03E-01,-2.084,0.206,0.867,9.89E-01
PTPN11,-1.172,8.79E-01,-2.288,0.228,0.867,9.90E-01
KLF10,-1.75,9.60E-01,-1.931,0.267,0.867,9.90E-01
RBCK1,-1.484,9.31E-01,-1.8,0.172,0.868,9.90E-01
NRF1,-5.42,1.00E+00,-2.379,0.357,0.869,9.90E-01
GTF2E2,-1.341,9.10E-01,-2.033,0.197,0.869,9.90E-01
NPAT,-1.22,8.89E-01,-2.249,0.219,0.87,9.90E-01
XCL1,-1.127,8.70E-01,-2.45,0.236,0.87,9.90E-01
MEN1,-1.763,9.61E-01,-1.831,0.229,0.871,9.90E-01
CPSF3L,-2.218,9.87E-01,-2.163,0.315,0.871,9.90E-01
