TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZBTB16,-0.428,6.66E-01,0.041,0.431,0.569,6.53E-01
SF1,-0.473,6.82E-01,0.837,0.402,0.569,6.53E-01
ZFP28,-0.587,7.21E-01,0.761,0.412,0.57,6.54E-01
ADNP,-0.191,5.76E-01,-0.304,0.429,0.57,6.54E-01
MED1,-2.536,9.94E-01,-1.404,0.609,0.57,6.56E-01
YBX1,-0.991,8.39E-01,0.991,0.431,0.571,6.56E-01
RFX2,-0.047,5.19E-01,-0.587,0.43,0.571,6.57E-01
ZBTB7B,-0.062,5.25E-01,-0.564,0.429,0.572,6.59E-01
MIER1,-0.249,5.98E-01,-0.305,0.43,0.574,6.63E-01
TBL1XR1,-0.317,6.24E-01,-0.844,0.453,0.574,6.64E-01
HDGF,-0.823,7.95E-01,-0.376,0.467,0.576,6.68E-01
TP53,-2.934,9.98E-01,-0.527,0.526,0.579,6.74E-01
ZNF273,0.107,4.58E-01,-1.195,0.439,0.58,6.75E-01
ZNF671,-0.194,5.77E-01,-0.309,0.42,0.582,6.80E-01
TRIM24,-0.872,8.08E-01,-1.125,0.489,0.583,6.81E-01
EHF,-0.287,6.13E-01,-0.284,0.427,0.583,6.82E-01
TLX1,-0.288,6.13E-01,-0.019,0.414,0.584,6.84E-01
APOBEC3B,-0.255,6.01E-01,-0.109,0.416,0.585,6.85E-01
ZKSCAN1,-0.71,7.61E-01,-0.329,0.448,0.59,6.95E-01
ZNF24,-0.561,7.13E-01,-0.634,0.448,0.59,6.96E-01
CHD2,-0.536,7.04E-01,-1.866,0.49,0.59,6.97E-01
BRCA1,-1.395,9.19E-01,-1.464,0.523,0.591,6.98E-01
KLF15,-1.106,8.66E-01,-1.805,0.524,0.592,6.99E-01
TBX21,-0.425,6.65E-01,-0.328,0.43,0.593,7.03E-01
E2F3,-0.015,5.06E-01,-1.105,0.432,0.594,7.04E-01
BATF3,-0.33,6.29E-01,-0.046,0.412,0.594,7.05E-01
EGR1,-0.798,7.88E-01,-1.89,0.505,0.595,7.07E-01
PRDM2,-0.166,5.66E-01,-0.966,0.433,0.597,7.10E-01
IRF9,-0.577,7.18E-01,0.287,0.408,0.597,7.11E-01
KLF6,-0.016,5.06E-01,-1.139,0.431,0.597,7.11E-01
ZNF674,-0.002,5.01E-01,-1.223,0.432,0.597,7.11E-01
ZNF605,-0.448,6.73E-01,0.193,0.403,0.599,7.13E-01
CENPT,-0.657,7.44E-01,0.81,0.385,0.599,7.15E-01
ZMYND8,-0.165,5.66E-01,-1.322,0.44,0.601,7.17E-01
ZNF83,-0.591,7.23E-01,-1.107,0.46,0.601,7.18E-01
DPF1,-0.437,6.69E-01,-0.681,0.434,0.602,7.20E-01
ZNF682,-0.164,5.65E-01,-0.895,0.426,0.606,7.28E-01
ZNF580,-0.164,5.65E-01,-0.924,0.425,0.608,7.31E-01
KMT2A,-0.985,8.38E-01,-2.035,0.517,0.609,7.34E-01
ZNF248,-0.661,7.46E-01,0.653,0.385,0.61,7.36E-01
TERF1,-0.333,6.31E-01,-0.324,0.411,0.61,7.36E-01
PTRF,-0.726,7.66E-01,0.469,0.402,0.611,7.37E-01
PRDM12,-0.671,7.49E-01,0.678,0.384,0.612,7.40E-01
INSM2,-0.204,5.81E-01,-0.928,0.425,0.613,7.41E-01
ZNF280D,-0.262,6.03E-01,-0.768,0.422,0.613,7.41E-01
RAD51,-0.778,7.82E-01,-0.138,0.431,0.615,7.46E-01
ZNF585B,-0.734,7.68E-01,0.359,0.402,0.617,7.49E-01
ZNF611,-0.24,5.95E-01,-0.858,0.417,0.619,7.52E-01
BRD4,-4.842,1.00E+00,-1.835,0.577,0.619,7.53E-01
MEF2D,-0.57,7.16E-01,-0.057,0.409,0.619,7.53E-01
PML,-0.796,7.87E-01,-0.801,0.449,0.621,7.56E-01
PTTG1,-0.735,7.69E-01,0.341,0.399,0.622,7.59E-01
DDX20,-0.665,7.47E-01,-0.124,0.415,0.623,7.60E-01
ZNF324,-0.253,6.00E-01,-1.136,0.428,0.623,7.60E-01
TET3,-0.727,7.66E-01,-1.991,0.489,0.623,7.61E-01
STAT5A,-0.669,7.48E-01,-0.917,0.443,0.623,7.61E-01
YY1,-4.047,1.00E+00,-1.937,0.58,0.624,7.61E-01
KLF8,-0.12,5.48E-01,-1.496,0.431,0.624,7.62E-01
GRHL1,-0.438,6.69E-01,-0.265,0.404,0.624,7.63E-01
