TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ATF7IP,-0.022,5.09E-01,1.554,0.432,0.342,1.80E-01
LHX2,0.315,3.76E-01,1.088,0.426,0.345,1.85E-01
ZNF440,0.266,3.95E-01,1.77,0.4,0.345,1.85E-01
ERG,-0.185,5.73E-01,-0.505,0.592,0.348,1.89E-01
ZKSCAN1,0.082,4.68E-01,0.735,0.458,0.349,1.91E-01
AEBP2,0.311,3.78E-01,1.297,0.418,0.349,1.91E-01
MYNN,0.421,3.37E-01,0.957,0.419,0.351,1.94E-01
ZNF248,0.22,4.13E-01,1.83,0.395,0.352,1.96E-01
EGR3,0.455,3.25E-01,0.745,0.422,0.352,1.97E-01
EBNA3C,0.472,3.19E-01,0.792,0.419,0.354,1.99E-01
KDM4A,0.624,2.66E-01,-0.028,0.437,0.357,2.05E-01
ZNF573,0.268,3.94E-01,1.542,0.4,0.359,2.08E-01
GRHL1,0.436,3.31E-01,0.766,0.42,0.359,2.08E-01
GRIP1,0.469,3.19E-01,0.891,0.409,0.359,2.09E-01
ARNT,-0.142,5.56E-01,0.255,0.499,0.36,2.09E-01
USP49,0.155,4.38E-01,2.062,0.389,0.361,2.11E-01
ZNF101,0.111,4.56E-01,0.699,0.447,0.363,2.14E-01
PPARGC1A,0.437,3.31E-01,0.714,0.42,0.363,2.15E-01
PSIP1,0.189,4.25E-01,0.199,0.463,0.365,2.18E-01
KDM5B,0.455,3.24E-01,-0.716,0.471,0.365,2.18E-01
PRDM10,0.55,2.91E-01,0.425,0.414,0.368,2.25E-01
ZNF366,0.354,3.62E-01,0.429,0.431,0.368,2.25E-01
ZNF780A,0.227,4.10E-01,1.558,0.396,0.368,2.25E-01
TTF1,0.359,3.60E-01,1.062,0.405,0.369,2.25E-01
ZNF429,0.219,4.13E-01,1.585,0.395,0.369,2.25E-01
MITF,0.031,4.88E-01,0.907,0.436,0.371,2.30E-01
ZNF600,0.542,2.94E-01,0.372,0.414,0.372,2.30E-01
MTA2,0.452,3.26E-01,0.612,0.413,0.373,2.34E-01
FAIRE,-0.301,6.19E-01,0.044,0.517,0.375,2.37E-01
NIPBL,-0.138,5.55E-01,-0.655,0.53,0.375,2.37E-01
NFE2L1,0.219,4.13E-01,1.075,0.412,0.376,2.38E-01
ZNF479,0.336,3.68E-01,0.899,0.408,0.377,2.40E-01
ZNF467,0.471,3.19E-01,0.257,0.424,0.377,2.40E-01
SMARCC1,-0.236,5.93E-01,-0.091,0.504,0.382,2.50E-01
SMARCA4,-0.167,5.66E-01,-0.951,0.555,0.387,2.59E-01
CREB3L4,0.33,3.71E-01,0.743,0.407,0.388,2.60E-01
PTRF,0.23,4.09E-01,1.42,0.391,0.388,2.61E-01
JUND,-0.33,6.30E-01,0.267,0.489,0.389,2.62E-01
PBX3,-0.234,5.92E-01,-0.423,0.508,0.389,2.63E-01
HIF1A,-0.299,6.18E-01,0.275,0.481,0.39,2.64E-01
TTF2,-0.148,5.59E-01,-0.607,0.507,0.391,2.66E-01
LMO2,-0.003,5.01E-01,0.399,0.437,0.397,2.79E-01
PCGF2,0.402,3.44E-01,0.502,0.402,0.399,2.81E-01
RCOR1,0.029,4.89E-01,0.346,0.437,0.401,2.86E-01
ZNF28,0.3,3.82E-01,0.654,0.404,0.402,2.87E-01
CEBPA,-0.526,7.00E-01,-0.088,0.518,0.403,2.91E-01
CBFA2T2,0.23,4.09E-01,0.941,0.396,0.403,2.91E-01
ZNF362,0.339,3.67E-01,0.577,0.401,0.405,2.94E-01
NR4A1,0.217,4.14E-01,0.649,0.408,0.405,2.94E-01
E2F2,0.3,3.82E-01,0.511,0.404,0.407,2.99E-01
ZNF534,0.375,3.54E-01,0.178,0.413,0.408,2.99E-01
IKZF2,0.389,3.49E-01,0.311,0.404,0.408,3.01E-01
RELB,0.234,4.08E-01,0.596,0.404,0.409,3.02E-01
CNOT3,0.416,3.39E-01,0.074,0.411,0.41,3.04E-01
ZNF778,-0.045,5.18E-01,0.387,0.431,0.411,3.06E-01
SOX4,0.314,3.77E-01,0.609,0.398,0.412,3.08E-01
RUNX3,0.288,3.87E-01,0.458,0.402,0.412,3.09E-01
BATF3,0.274,3.92E-01,0.538,0.401,0.414,3.13E-01
WT1,0.373,3.55E-01,0.089,0.411,0.415,3.15E-01
ZNF788,0.138,4.45E-01,1.211,0.386,0.416,3.15E-01
ZNF8,-0.105,5.42E-01,0.86,0.414,0.416,3.17E-01
TCF7L1,-0.069,5.27E-01,0.247,0.437,0.418,3.21E-01
FOXO1,-0.086,5.34E-01,0.463,0.426,0.418,3.21E-01
EWSR1,-0.315,6.24E-01,0.347,0.454,0.42,3.24E-01
POLR2AphosphoS5,0.253,4.00E-01,-0.251,0.422,0.425,3.34E-01
KLF5,-0.055,5.22E-01,-0.153,0.441,0.426,3.37E-01
HDGF,-0.084,5.33E-01,0.216,0.43,0.428,3.41E-01
ZNF93,0.197,4.22E-01,0.711,0.393,0.428,3.42E-01
KLF3,0.24,4.05E-01,0.366,0.397,0.43,3.46E-01
LMTK3,-0.128,5.51E-01,0.964,0.4,0.431,3.47E-01
TRAF7,0.375,3.54E-01,-1.048,0.44,0.431,3.48E-01
ZNF121,0.246,4.03E-01,0.277,0.401,0.431,3.49E-01
NFATC3,0.249,4.02E-01,0.327,0.398,0.432,3.49E-01
ZNF141,0.155,4.38E-01,0.815,0.389,0.432,3.49E-01
MBD2,-0.565,7.14E-01,-0.961,0.545,0.434,3.55E-01
ZNF554,0.158,4.37E-01,0.746,0.389,0.435,3.55E-01
PYGO2,0.11,4.56E-01,0.984,0.381,0.435,3.56E-01
ZNF808,-0.064,5.25E-01,1.554,0.369,0.438,3.63E-01
ETV6,-0.163,5.65E-01,0.342,0.423,0.439,3.65E-01
TRIM24,-0.325,6.28E-01,-0.369,0.463,0.441,3.69E-01
MEF2D,0.124,4.51E-01,0.745,0.386,0.442,3.71E-01
HIRA,-0.703,7.59E-01,0.135,0.48,0.444,3.75E-01
VDR,-0.694,7.56E-01,-0.705,0.53,0.444,3.76E-01
L3MBTL4,0.283,3.89E-01,-0.14,0.402,0.444,3.76E-01
RAC3,0.181,4.28E-01,0.483,0.391,0.445,3.78E-01
DEK,0.078,4.69E-01,-0.468,0.424,0.446,3.80E-01
ZNF284,0.002,4.99E-01,1.168,0.375,0.448,3.84E-01
HDAC2,-0.039,5.15E-01,-1.254,0.469,0.449,3.86E-01
CTBP2,-0.21,5.83E-01,-0.567,0.454,0.449,3.86E-01
ZNF486,-0.181,5.72E-01,1.623,0.367,0.449,3.87E-01
ZMIZ1,0.11,4.56E-01,-0.222,0.413,0.45,3.90E-01
RXRA,-0.947,8.28E-01,-0.476,0.529,0.453,3.95E-01
RBL1,0.162,4.36E-01,0.359,0.39,0.454,3.97E-01
TCF21,0.085,4.66E-01,0.368,0.393,0.454,3.98E-01
EBNA3,0.152,4.40E-01,0.428,0.388,0.454,3.98E-01
ZEB2,0.237,4.07E-01,-0.042,0.396,0.455,3.99E-01
BANP,-0.237,5.94E-01,0.571,0.411,0.455,4.01E-01
ZNF750,0.059,4.77E-01,0.745,0.38,0.456,4.02E-01
