TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
MLLT3,-0.64,7.39E-01,-1.636,0.365,0.77,9.46E-01
PML,-1.937,9.74E-01,-1.626,0.43,0.771,9.46E-01
ZNF584,-1.035,8.50E-01,-1.325,0.37,0.773,9.47E-01
NFKB1,-1.202,8.85E-01,-1.276,0.378,0.774,9.48E-01
HEY1,-0.794,7.87E-01,-1.996,0.406,0.775,9.49E-01
ZNF783,-0.456,6.76E-01,-2.041,0.381,0.775,9.49E-01
CCNT2,-0.527,7.01E-01,-1.915,0.375,0.775,9.49E-01
FOXD2,-0.711,7.61E-01,-1.554,0.36,0.777,9.50E-01
PHF6,-0.543,7.07E-01,-1.914,0.374,0.778,9.51E-01
KLF9,-1.187,8.82E-01,-2.075,0.427,0.778,9.51E-01
PRMT1,-1.271,8.98E-01,-0.821,0.345,0.778,9.51E-01
POU3F2,-1.171,8.79E-01,-1.049,0.355,0.779,9.51E-01
CEBPD,-0.842,8.00E-01,-1.95,0.401,0.779,9.51E-01
SETD1A,-0.575,7.17E-01,-2.441,0.409,0.78,9.52E-01
NFYA,-1.748,9.60E-01,-1.44,0.413,0.78,9.52E-01
E2F8,-0.794,7.86E-01,-1.473,0.353,0.781,9.53E-01
HMGN3,-0.517,6.97E-01,-2.02,0.376,0.782,9.53E-01
ZNF589,-1.009,8.44E-01,-1.471,0.369,0.782,9.53E-01
BCL11B,-2.14,9.84E-01,-1.986,0.441,0.782,9.53E-01
CD59,-0.919,8.21E-01,-1.296,0.342,0.783,9.54E-01
MEF2A,-1.168,8.79E-01,-1.636,0.39,0.786,9.56E-01
HES2,-3.996,1.00E+00,-0.581,0.385,0.787,9.57E-01
FOXJ2,-1.072,8.58E-01,-1.378,0.362,0.787,9.57E-01
BTAF1,-0.844,8.01E-01,-1.481,0.349,0.788,9.57E-01
STAT1,-1.928,9.73E-01,-1.933,0.433,0.788,9.57E-01
NKRF,-1.122,8.69E-01,-1.531,0.375,0.789,9.58E-01
SKI,-1.02,8.46E-01,-1.222,0.332,0.789,9.58E-01
