TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ZNF580,-0.889,8.13E-01,-2.11,0.348,0.766,9.43E-01
ZNF282,-0.936,8.25E-01,-2.042,0.347,0.767,9.43E-01
RAC3,-1.099,8.64E-01,-1.283,0.271,0.767,9.43E-01
GLI4,-1.112,8.67E-01,-1.765,0.332,0.767,9.43E-01
EGR1,-1.731,9.58E-01,-2.724,0.445,0.77,9.45E-01
OVOL3,-1.232,8.91E-01,-1.562,0.315,0.77,9.45E-01
MBTD1,-0.813,7.92E-01,-2.071,0.321,0.772,9.47E-01
GLIS2,-0.829,7.96E-01,-2.436,0.359,0.773,9.47E-01
SP4,-1.082,8.60E-01,-2.568,0.395,0.774,9.48E-01
ZNF592,-1.414,9.21E-01,-1.112,0.303,0.774,9.48E-01
MKL1,-0.933,8.25E-01,-1.864,0.303,0.775,9.49E-01
SREBF2,-1.041,8.51E-01,-1.651,0.282,0.775,9.49E-01
ING2,-0.631,7.36E-01,-2.587,0.346,0.775,9.49E-01
GTF2E2,-1.041,8.51E-01,-1.708,0.282,0.777,9.50E-01
ETV7,-1.08,8.60E-01,-1.628,0.275,0.778,9.51E-01
ZNF324,-1.057,8.55E-01,-2.187,0.358,0.78,9.52E-01
MXI1,-1.386,9.17E-01,-2.977,0.427,0.781,9.53E-01
INO80,-2.687,9.96E-01,-2.471,0.438,0.782,9.53E-01
TTF2,-1.259,8.96E-01,-2.334,0.38,0.786,9.56E-01
GRHL1,-1.277,8.99E-01,-1.256,0.231,0.786,9.56E-01
KDM2B,-2.845,9.98E-01,-3.206,0.462,0.787,9.56E-01
ZNF501,-0.762,7.77E-01,-2.811,0.361,0.787,9.56E-01
BPTF,-0.721,7.65E-01,-2.577,0.335,0.787,9.57E-01
GPS2,-0.789,7.85E-01,-2.355,0.324,0.789,9.58E-01
ZNF391,-1.035,8.50E-01,-2.166,0.338,0.789,9.58E-01
MBOAT4,-0.929,8.24E-01,-2.028,0.304,0.789,9.58E-01
TAF7,-1.79,9.63E-01,-1.789,0.366,0.79,9.58E-01
RB1,-2.146,9.84E-01,-1.952,0.385,0.79,9.59E-01
KDM5C,-1.57,9.42E-01,-2.378,0.402,0.792,9.59E-01
ZNF273,-0.71,7.61E-01,-2.7,0.337,0.793,9.60E-01
BARX1,-1.17,8.79E-01,-1.731,0.254,0.796,9.62E-01
RAG2,-0.687,7.54E-01,-2.906,0.339,0.799,9.63E-01
BRD3,-2.235,9.87E-01,-2.57,0.424,0.799,9.64E-01
HMGN1,-1.088,8.62E-01,-1.934,0.273,0.8,9.64E-01
SREBF1,-2.039,9.79E-01,-1.942,0.371,0.801,9.64E-01
AGO2,-1.074,8.59E-01,-1.993,0.276,0.803,9.66E-01
SUPT5H,-2.802,9.98E-01,-2.137,0.401,0.805,9.66E-01
SETD1A,-0.958,8.31E-01,-3.049,0.375,0.805,9.67E-01
TGIF2,-1.056,8.55E-01,-2.448,0.343,0.806,9.67E-01
GABP,-1.233,8.91E-01,-2.221,0.342,0.808,9.68E-01
ZNF574,-0.862,8.06E-01,-2.46,0.314,0.808,9.68E-01
ZNF674,-0.764,7.78E-01,-2.785,0.328,0.81,9.69E-01
ZBTB7A,-2.299,9.89E-01,-2.495,0.413,0.81,9.69E-01
KDM4B,-1.393,9.18E-01,-1.969,0.314,0.811,9.70E-01
IRF3,-1.601,9.45E-01,-1.832,0.321,0.812,9.70E-01
KLF13,-1.475,9.30E-01,-1.749,0.289,0.813,9.71E-01
CASP8AP2,-1.31,9.05E-01,-1.728,0.223,0.813,9.71E-01
FXR1,-1.153,8.76E-01,-1.979,0.257,0.813,9.71E-01
ZNF682,-1.047,8.53E-01,-2.496,0.333,0.817,9.73E-01
FEV,-1.285,9.01E-01,-1.863,0.229,0.819,9.73E-01
HMGN3,-0.868,8.07E-01,-2.592,0.312,0.819,9.73E-01
ZBTB11,-2.577,9.95E-01,-2.136,0.383,0.819,9.73E-01
HOXA2,-1.096,8.64E-01,-2.1,0.271,0.819,9.73E-01
CBX4,-0.764,7.78E-01,-3.082,0.328,0.82,9.74E-01
PATZ1,-1.273,8.98E-01,-2.713,0.369,0.821,9.74E-01
DLX1,-1.21,8.87E-01,-1.998,0.246,0.821,9.74E-01
NFYA,-2.635,9.96E-01,-1.884,0.351,0.822,9.75E-01
EP400,-1.075,8.59E-01,-2.168,0.275,0.822,9.75E-01
ZNF71,-1.282,9.00E-01,-2.495,0.348,0.823,9.75E-01
INTS12,-0.888,8.13E-01,-2.623,0.31,0.823,9.75E-01
AFF4,-3.946,1.00E+00,-2.403,0.408,0.824,9.75E-01
PAF1,-4.605,1.00E+00,-2.402,0.407,0.825,9.76E-01
ZNF687,-1.515,9.35E-01,-1.865,0.279,0.826,9.76E-01
RARG,-2.025,9.79E-01,-1.625,0.292,0.826,9.77E-01
