TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
ELK3,-1.062,8.56E-01,-2.09,0.446,0.859,9.87E-01
ZNF84,-1.187,8.82E-01,-1.705,0.439,0.861,9.88E-01
EBNA2,-1.446,9.26E-01,-1.341,0.415,0.863,9.89E-01
SKI,-1.32,9.07E-01,-1.568,0.429,0.864,9.89E-01
MGEA5,-0.917,8.21E-01,-2.836,0.454,0.865,9.89E-01
LMO2,-2.924,9.98E-01,-1.317,0.461,0.867,9.89E-01
CD59,-1.245,8.94E-01,-1.733,0.434,0.868,9.90E-01
HDAC3,-2.046,9.80E-01,-1.261,0.444,0.868,9.90E-01
TDRD3,-1.3,9.03E-01,-1.714,0.431,0.87,9.90E-01
ZNF682,-1.159,8.77E-01,-2.698,0.46,0.871,9.90E-01
RBPJ,-2.987,9.99E-01,-2.727,0.495,0.872,9.91E-01
ZNF611,-1.074,8.59E-01,-2.453,0.445,0.873,9.91E-01
PHF6,-1.073,8.58E-01,-2.511,0.445,0.874,9.91E-01
TBX21,-2.018,9.78E-01,-1.625,0.457,0.874,9.91E-01
RAG2,-0.952,8.29E-01,-3.383,0.452,0.876,9.91E-01
ZNF468,-1.064,8.56E-01,-2.66,0.446,0.876,9.92E-01
ZNF597,-1.422,9.23E-01,-1.703,0.419,0.877,9.92E-01
KLF12,-1.107,8.66E-01,-2.472,0.443,0.877,9.92E-01
KLF11,-1.494,9.32E-01,-2.861,0.47,0.879,9.92E-01
FGFR1,-1.516,9.35E-01,-2.616,0.466,0.879,9.92E-01
ZBTB16,-2.337,9.90E-01,-1.803,0.465,0.879,9.92E-01
GRIP1,-2.33,9.90E-01,-1.056,0.397,0.879,9.92E-01
MLLT3,-1.107,8.66E-01,-2.523,0.443,0.879,9.92E-01
H3F3B,-1.709,9.56E-01,-1.188,0.342,0.88,9.92E-01
RUNX1T1,-2.652,9.96E-01,-1.362,0.449,0.882,9.93E-01
HMG20A,-1.57,9.42E-01,-1.447,0.397,0.883,9.93E-01
KLF15,-3.141,9.99E-01,-3.088,0.493,0.884,9.93E-01
MCRS1,-1.179,8.81E-01,-2.248,0.439,0.884,9.93E-01
HDAC4,-1.151,8.75E-01,-2.505,0.441,0.885,9.93E-01
TTF2,-1.497,9.33E-01,-2.704,0.461,0.886,9.93E-01
LYL1,-3.837,1.00E+00,-1.08,0.427,0.887,9.94E-01
GLI2,-3.643,1.00E+00,-3.908,0.495,0.889,9.94E-01
EBNA3C,-2.618,9.96E-01,-1.229,0.408,0.894,9.95E-01
NCOR1,-2.413,9.92E-01,-3.086,0.48,0.895,9.95E-01
TERF1,-1.504,9.34E-01,-1.882,0.407,0.897,9.95E-01
EBNA3,-1.69,9.55E-01,-1.456,0.361,0.898,9.95E-01
FUS,-1.708,9.56E-01,-2.006,0.441,0.901,9.96E-01
ZNF44,-1.196,8.84E-01,-2.943,0.438,0.902,9.96E-01
ZIC2,-1.462,9.28E-01,-2.131,0.413,0.902,9.96E-01
SND1,-2.566,9.95E-01,-1.431,0.421,0.902,9.96E-01
ZNF618,-1.473,9.30E-01,-2.132,0.412,0.903,9.96E-01
