TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
NFYA,-2.809,9.98E-01,-1.971,0.331,0.843,9.83E-01
SMARCC2,-1.397,9.19E-01,-2.092,0.282,0.843,9.83E-01
UBTF,-1.612,9.47E-01,-2.582,0.346,0.844,9.83E-01
MKL1,-1.176,8.80E-01,-2.174,0.257,0.844,9.83E-01
ZBTB7B,-1.361,9.13E-01,-1.945,0.225,0.845,9.83E-01
MEN1,-1.721,9.57E-01,-1.796,0.263,0.847,9.84E-01
NRF1,-5.657,1.00E+00,-2.44,0.372,0.847,9.84E-01
XRN2,-3.297,1.00E+00,-2.225,0.349,0.848,9.84E-01
HOXA6,-1.1,8.64E-01,-2.348,0.268,0.849,9.84E-01
ZNF592,-1.885,9.70E-01,-1.621,0.235,0.849,9.85E-01
NKRF,-1.684,9.54E-01,-2.009,0.292,0.85,9.85E-01
KLF12,-1.073,8.58E-01,-2.432,0.271,0.852,9.86E-01
HOXA1,-1.51,9.35E-01,-1.865,0.196,0.852,9.86E-01
IRAK1,-1.038,8.50E-01,-2.576,0.275,0.854,9.86E-01
GTF2E2,-1.345,9.11E-01,-2.037,0.229,0.854,9.86E-01
OGT,-2.439,9.93E-01,-2.248,0.339,0.854,9.86E-01
SP2,-1.899,9.71E-01,-2.336,0.335,0.856,9.86E-01
MNT,-1.92,9.73E-01,-1.968,0.286,0.856,9.87E-01
ASH1L,-1.127,8.70E-01,-2.403,0.264,0.857,9.87E-01
MAPK1,-1.447,9.26E-01,-2.666,0.328,0.859,9.87E-01
KDM4B,-1.595,9.45E-01,-2.151,0.286,0.86,9.88E-01
ZNF783,-1.04,8.51E-01,-2.747,0.275,0.86,9.88E-01
HCFC1,-3.131,9.99E-01,-2.2,0.337,0.861,9.88E-01
NR2C2,-4.155,1.00E+00,-2.19,0.339,0.861,9.88E-01
MXD3,-1.555,9.40E-01,-1.89,0.187,0.861,9.88E-01
IRF3,-1.776,9.62E-01,-1.971,0.272,0.862,9.88E-01
KMT2D,-3.531,1.00E+00,-2.034,0.325,0.863,9.89E-01
THAP1,-1.17,8.79E-01,-2.421,0.258,0.864,9.89E-01
SPDEF,-1.748,9.60E-01,-2.277,0.317,0.865,9.89E-01
SNAPC1,-1.714,9.57E-01,-1.674,0.12,0.866,9.89E-01
ZNF687,-1.658,9.51E-01,-2.016,0.258,0.866,9.89E-01
SIX5,-2.686,9.96E-01,-1.994,0.303,0.867,9.90E-01
NR0B1,-1.101,8.65E-01,-2.64,0.267,0.867,9.90E-01
ARID2,-1.39,9.18E-01,-2.673,0.309,0.868,9.90E-01
INTS12,-1.067,8.57E-01,-2.907,0.272,0.869,9.90E-01
BARX2,-1.672,9.53E-01,-1.836,0.15,0.87,9.90E-01
NPAT,-1.279,9.00E-01,-2.317,0.241,0.87,9.90E-01
SMAD5,-1.945,9.74E-01,-1.935,0.247,0.87,9.90E-01
ZBTB10,-1.52,9.36E-01,-2.014,0.195,0.872,9.91E-01
GMEB1,-1.719,9.57E-01,-1.748,0.113,0.872,9.91E-01
RBCK1,-1.616,9.47E-01,-1.912,0.169,0.872,9.91E-01
ZIC2,-1.43,9.24E-01,-2.099,0.213,0.872,9.91E-01
HBP1,-1.396,9.19E-01,-2.626,0.294,0.874,9.91E-01
ZNF131,-1.711,9.56E-01,-1.82,0.123,0.874,9.91E-01
PTPN11,-1.275,8.99E-01,-2.403,0.242,0.875,9.91E-01
DEAF1,-1.49,9.32E-01,-2.076,0.2,0.875,9.91E-01
ELF2,-1.723,9.58E-01,-1.807,0.11,0.875,9.91E-01
CSNK2A1,-1.413,9.21E-01,-2.203,0.216,0.876,9.92E-01
ELK3,-1.311,9.05E-01,-2.369,0.235,0.876,9.92E-01
GABP,-1.511,9.35E-01,-2.552,0.298,0.877,9.92E-01
MAFB,-1.517,9.35E-01,-2.073,0.195,0.877,9.92E-01
TDRD3,-1.595,9.45E-01,-1.992,0.175,0.877,9.92E-01
ELK1,-3.617,1.00E+00,-2.132,0.318,0.879,9.92E-01
CPSF3L,-2.351,9.91E-01,-2.247,0.312,0.879,9.92E-01
ZBTB11,-2.777,9.97E-01,-2.239,0.32,0.88,9.92E-01
ZSCAN22,-1.854,9.68E-01,-2.293,0.3,0.88,9.92E-01
KLF13,-1.816,9.65E-01,-2.03,0.245,0.88,9.92E-01
E2F1,-7.861,1.00E+00,-2.517,0.351,0.881,9.92E-01
ZNF75A,-1.677,9.53E-01,-1.937,0.147,0.881,9.92E-01
ATOH1,-1.42,9.22E-01,-2.239,0.214,0.881,9.92E-01
