TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
HIC1,0.169,4.33E-01,-0.525,0.407,0.473,4.40E-01
CBX6,0.176,4.30E-01,-0.361,0.399,0.474,4.42E-01
AGO1,-0.177,5.70E-01,0.287,0.401,0.474,4.42E-01
AFF1,-0.48,6.84E-01,-0.866,0.477,0.475,4.44E-01
HEXIM1,-0.269,6.06E-01,-1.396,0.479,0.478,4.50E-01
ZNF175,-0.45,6.74E-01,0.698,0.407,0.478,4.51E-01
RUNX1,-1.51,9.35E-01,-0.382,0.526,0.479,4.53E-01
RUNX1T1,-0.274,6.08E-01,0.064,0.412,0.48,4.55E-01
KDM6A,0.005,4.98E-01,0.157,0.387,0.481,4.57E-01
TCF7L2,-0.802,7.89E-01,-0.569,0.478,0.483,4.62E-01
CEBPD,-0.104,5.41E-01,-0.548,0.419,0.484,4.64E-01
ZEB1,-0.303,6.19E-01,-1.413,0.479,0.485,4.65E-01
ZNF674,0.21,4.17E-01,-0.788,0.404,0.488,4.73E-01
MYF5,-0.013,5.05E-01,0.105,0.385,0.488,4.73E-01
E2F6,-0.517,6.97E-01,-1.809,0.524,0.49,4.77E-01
ILK,-0.306,6.20E-01,0.919,0.375,0.49,4.77E-01
ZNF788,-0.206,5.82E-01,0.596,0.382,0.49,4.78E-01
RXRA,-1.242,8.93E-01,-0.651,0.51,0.49,4.78E-01
ZNF501,0.261,3.97E-01,-1.039,0.41,0.49,4.78E-01
ZFP2,0.111,4.56E-01,-0.981,0.419,0.491,4.81E-01
BANP,-0.417,6.62E-01,0.298,0.407,0.492,4.82E-01
ZNF44,0.029,4.89E-01,-0.135,0.389,0.492,4.83E-01
LHX2,-0.288,6.13E-01,0.365,0.392,0.493,4.84E-01
L3MBTL4,0.11,4.56E-01,-0.465,0.395,0.493,4.84E-01
CEBPB,-1.702,9.56E-01,0.18,0.49,0.493,4.85E-01
ZEB2,-0.057,5.23E-01,-0.417,0.404,0.494,4.86E-01
MECOM,-0.068,5.27E-01,0.199,0.381,0.494,4.87E-01
BATF3,-0.073,5.29E-01,0.202,0.381,0.495,4.90E-01
ZNF618,-0.02,5.08E-01,0.009,0.385,0.497,4.94E-01
CTBP1,-0.287,6.13E-01,0.145,0.397,0.498,4.95E-01
ZNF304,-0.244,5.96E-01,0.82,0.366,0.499,4.99E-01
JUND,-1.238,8.92E-01,-0.226,0.477,0.502,5.04E-01
MYNN,-0.199,5.79E-01,-0.004,0.393,0.502,5.05E-01
HDAC4,0.048,4.81E-01,-0.427,0.39,0.503,5.07E-01
SOX10,-0.202,5.80E-01,0.668,0.37,0.504,5.08E-01
LMO1,-0.049,5.20E-01,-0.067,0.383,0.505,5.11E-01
ZKSCAN5,0.155,4.38E-01,-0.812,0.4,0.506,5.13E-01
INTS11,0.142,4.44E-01,-1.277,0.42,0.507,5.16E-01
BACH1,-0.758,7.76E-01,-0.691,0.461,0.507,5.16E-01
ZMYND8,-0.104,5.42E-01,-1.254,0.437,0.508,5.19E-01
ZNF287,-0.347,6.36E-01,1.15,0.356,0.509,5.20E-01
MTA2,-0.387,6.51E-01,-0.138,0.407,0.51,5.24E-01
ZNF48,-0.343,6.34E-01,1.084,0.356,0.512,5.28E-01
CAMTA2,-0.154,5.61E-01,0.184,0.374,0.514,5.32E-01
DAXX,-0.188,5.75E-01,0.15,0.378,0.514,5.32E-01
CCND2,0.177,4.30E-01,-1.086,0.402,0.515,5.33E-01
HSF1,-0.323,6.27E-01,-1.305,0.453,0.516,5.36E-01
ZBTB16,-0.41,6.59E-01,0.058,0.401,0.516,5.36E-01
CEBPA,-1.075,8.59E-01,-0.414,0.462,0.517,5.37E-01
ZFP37,0.209,4.17E-01,-1.136,0.401,0.517,5.38E-01
SIX4,-0.401,6.56E-01,1.212,0.35,0.517,5.38E-01
