TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
HCFC1,-2.962,9.99E-01,-2.119,0.297,0.863,9.89E-01
REL,-1.406,9.20E-01,-2.366,0.279,0.863,9.89E-01
ZSCAN5A,-1.39,9.18E-01,-2.174,0.246,0.863,9.89E-01
ARNTL,-2.235,9.87E-01,-1.952,0.265,0.864,9.89E-01
NPAT,-1.186,8.82E-01,-2.21,0.197,0.865,9.89E-01
ZBTB11,-2.67,9.96E-01,-2.184,0.297,0.866,9.89E-01
NFYA,-2.912,9.98E-01,-2.023,0.282,0.868,9.90E-01
MXD3,-1.51,9.35E-01,-1.846,0.128,0.87,9.90E-01
NR0B1,-1.04,8.51E-01,-2.558,0.225,0.871,9.90E-01
THAP1,-1.157,8.76E-01,-2.405,0.202,0.874,9.91E-01
PTPN11,-1.202,8.85E-01,-2.321,0.194,0.876,9.91E-01
ARID2,-1.373,9.15E-01,-2.655,0.281,0.876,9.91E-01
SAP30,-2.517,9.94E-01,-2.395,0.301,0.876,9.91E-01
SREBF1,-2.121,9.83E-01,-2.005,0.245,0.877,9.92E-01
KDM3A,-1.601,9.45E-01,-2.112,0.216,0.878,9.92E-01
MEN1,-1.843,9.67E-01,-1.898,0.187,0.879,9.92E-01
GMEB1,-1.693,9.55E-01,-1.729,0.069,0.879,9.92E-01
SIX5,-2.68,9.96E-01,-1.991,0.253,0.88,9.92E-01
ATOH1,-1.354,9.12E-01,-2.171,0.163,0.88,9.92E-01
ZNF131,-1.669,9.53E-01,-1.789,0.08,0.881,9.92E-01
RBCK1,-1.595,9.45E-01,-1.895,0.106,0.882,9.93E-01
TDRD3,-1.552,9.40E-01,-1.951,0.117,0.883,9.93E-01
SP2,-2.018,9.78E-01,-2.415,0.291,0.883,9.93E-01
ELK3,-1.266,8.97E-01,-2.318,0.181,0.884,9.93E-01
BARX2,-1.666,9.52E-01,-1.831,0.083,0.884,9.93E-01
FXR1,-1.347,9.11E-01,-2.216,0.165,0.885,9.93E-01
ELF2,-1.706,9.56E-01,-1.794,0.062,0.885,9.93E-01
EPC1,-2.165,9.85E-01,-1.795,0.131,0.886,9.93E-01
HDAC6,-1.655,9.51E-01,-2.156,0.208,0.888,9.94E-01
PAF1,-4.682,1.00E+00,-2.428,0.305,0.888,9.94E-01
NFYC,-1.578,9.43E-01,-1.984,0.11,0.889,9.94E-01
ETS1,-5.15,1.00E+00,-2.562,0.313,0.89,9.94E-01
KMT2D,-3.759,1.00E+00,-2.121,0.269,0.89,9.94E-01
ZNF783,-1.153,8.76E-01,-2.884,0.203,0.89,9.94E-01
ZNF75A,-1.659,9.51E-01,-1.921,0.086,0.89,9.94E-01
ELK1,-3.421,1.00E+00,-2.052,0.253,0.892,9.94E-01
NRF1,-5.702,1.00E+00,-2.451,0.303,0.894,9.95E-01
ZIC2,-1.474,9.30E-01,-2.143,0.137,0.894,9.95E-01
KLF10,-1.948,9.74E-01,-2.078,0.193,0.894,9.95E-01
KDM4C,-1.169,8.79E-01,-2.967,0.2,0.895,9.95E-01
OGT,-2.621,9.96E-01,-2.347,0.28,0.895,9.95E-01
EMSY,-1.676,9.53E-01,-1.929,0.078,0.895,9.95E-01
XRN2,-3.592,1.00E+00,-2.338,0.291,0.895,9.95E-01
RBL2,-3.255,9.99E-01,-1.908,0.192,0.895,9.95E-01
TFDP1,-2.527,9.94E-01,-2.199,0.252,0.897,9.95E-01
ELK4,-3.015,9.99E-01,-1.913,0.171,0.899,9.95E-01
BCL11B,-2.987,9.99E-01,-2.43,0.289,0.899,9.95E-01
IRAK1,-1.212,8.87E-01,-2.771,0.193,0.899,9.95E-01
KLF12,-1.246,8.94E-01,-2.634,0.185,0.9,9.96E-01
HMGN1,-1.417,9.22E-01,-2.288,0.15,0.9,9.96E-01
TAFII,-1.967,9.75E-01,-2.094,0.172,0.901,9.96E-01
POLR2B,-1.872,9.69E-01,-2.319,0.232,0.904,9.96E-01
DEAF1,-1.58,9.43E-01,-2.158,0.11,0.905,9.96E-01
RBP2,-1.727,9.58E-01,-2.004,0.042,0.906,9.96E-01
ZSCAN22,-1.971,9.76E-01,-2.374,0.248,0.906,9.96E-01
FOXP3,-2.106,9.82E-01,-2.056,0.139,0.908,9.97E-01
SRSF3,-1.933,9.73E-01,-2.179,0.161,0.911,9.97E-01
TCOF1,-1.343,9.10E-01,-2.691,0.166,0.911,9.97E-01
IRAK4,-1.358,9.13E-01,-2.713,0.162,0.915,9.97E-01
ZNF711,-1.543,9.39E-01,-2.325,0.12,0.915,9.97E-01
ORC1,-1.525,9.36E-01,-2.346,0.124,0.915,9.97E-01
MCRS1,-1.44,9.25E-01,-2.516,0.145,0.916,9.97E-01
GMEB2,-2.411,9.92E-01,-2.019,0.075,0.916,9.97E-01
GTF2B,-4.506,1.00E+00,-2.2,0.23,0.917,9.98E-01
SMAD5,-2.25,9.88E-01,-2.128,0.123,0.919,9.98E-01
KDM5A,-3.377,1.00E+00,-1.959,0.09,0.92,9.98E-01
TAF3,-1.411,9.21E-01,-2.669,0.152,0.921,9.98E-01
DCP1A,-2.176,9.85E-01,-2.207,0.146,0.922,9.98E-01
ASH1L,-1.412,9.21E-01,-2.738,0.151,0.923,9.98E-01
AUTS2,-1.417,9.22E-01,-2.743,0.15,0.924,9.98E-01
KAT5,-2.655,9.96E-01,-2.231,0.154,0.928,9.98E-01
CSNK2A1,-1.615,9.47E-01,-2.413,0.1,0.928,9.98E-01
PHF6,-1.453,9.27E-01,-2.941,0.142,0.93,9.98E-01
NELFA,-5.034,1.00E+00,-2.127,0.159,0.93,9.99E-01
KAT7,-1.455,9.27E-01,-3.029,0.141,0.932,9.99E-01
BRD1,-1.472,9.29E-01,-3.018,0.137,0.933,9.99E-01
DDX21,-2.316,9.90E-01,-2.246,0.099,0.934,9.99E-01
FAM208A,-1.931,9.73E-01,-2.587,0.184,0.934,9.99E-01
RPE,-2.931,9.98E-01,-2.578,0.218,0.938,9.99E-01
SPIN1,-1.663,9.52E-01,-2.502,0.083,0.938,9.99E-01
PHF8,-5.089,1.00E+00,-2.516,0.226,0.943,9.99E-01
U2AF1,-3.182,9.99E-01,-2.295,0.117,0.945,9.99E-01
PHF2,-2.026,9.79E-01,-2.881,0.148,0.951,1.00E+00
BRPF3,-2.341,9.90E-01,-3.18,0.183,0.952,1.00E+00
