TF,statistic,pvalue,zscore,max_auc,re_rank,irwin_hall_pvalue
AR,21.267,1.14E-100,3.191,0.59,0.01,4.59E-06
GATA4,5.304,5.66E-08,3.203,0.548,0.021,4.08E-05
REST,7.62,1.27E-14,2.943,0.599,0.022,4.52E-05
MAML3,3.369,3.77E-04,3.067,0.566,0.028,9.92E-05
TBX5,3.464,2.66E-04,3.079,0.541,0.033,1.63E-04
EBF3,2.599,4.67E-03,3.095,0.547,0.034,1.79E-04
OTX2,6.182,3.16E-10,2.925,0.536,0.036,2.03E-04
PLRG1,2.309,1.05E-02,3.555,0.539,0.036,2.03E-04
HOXB13,5.516,1.73E-08,2.992,0.526,0.038,2.49E-04
BAHD1,2.214,1.34E-02,3.393,0.539,0.039,2.63E-04
GATA6,4.621,1.91E-06,2.912,0.542,0.04,2.78E-04
NANOG,5.84,2.60E-09,2.688,0.557,0.04,2.94E-04
PPARG,5.989,1.06E-09,2.441,0.78,0.042,3.35E-04
PIAS1,4.605,2.06E-06,2.851,0.543,0.042,3.35E-04
EHMT2,2.649,4.03E-03,2.996,0.539,0.043,3.70E-04
ZNF274,1.773,3.81E-02,3.532,0.545,0.046,4.28E-04
TLE3,2.837,2.28E-03,2.922,0.527,0.051,5.99E-04
PHOX2B,1.669,4.76E-02,3.084,0.552,0.051,5.99E-04
SOX2,4.275,9.54E-06,2.448,0.567,0.053,6.78E-04
SIX2,3.593,1.64E-04,2.914,0.519,0.055,7.64E-04
FOXA1,12.762,1.33E-37,2.568,0.525,0.056,8.09E-04
BRDU,3.066,1.08E-03,2.807,0.524,0.058,8.72E-04
HOXC9,2.15,1.58E-02,3.074,0.517,0.059,9.22E-04
CENPC,1.58,5.70E-02,3.576,0.525,0.06,9.91E-04
FOXA2,5.513,1.76E-08,2.649,0.519,0.061,1.01E-03
CHAT,2.139,1.62E-02,3.076,0.515,0.061,1.03E-03
DUX4,2.406,8.06E-03,3.028,0.512,0.061,1.05E-03
SMN1,1.576,5.75E-02,3.351,0.524,0.063,1.14E-03
RAD21,9.387,3.08E-21,2.141,0.56,0.064,1.18E-03
YBX1,2.505,6.12E-03,2.99,0.508,0.064,1.18E-03
NR2F2,2.861,2.11E-03,2.349,0.559,0.064,1.20E-03
SMAD1,2.482,6.54E-03,2.455,0.555,0.065,1.24E-03
CTCF,26.909,8.63E-160,2.06,0.563,0.066,1.28E-03
CENPT,1.549,6.06E-02,3.446,0.519,0.066,1.30E-03
SUMO2,2.579,4.95E-03,2.79,0.519,0.067,1.37E-03
POU5F1,5.41,3.15E-08,2.196,0.548,0.068,1.43E-03
EOMES,2.744,3.04E-03,2.704,0.517,0.07,1.53E-03
GATA2,5.582,1.19E-08,2.896,0.486,0.071,1.62E-03
SMC3,7.065,8.05E-13,1.98,0.586,0.073,1.72E-03
PAX3,1.613,5.34E-02,2.871,0.534,0.073,1.75E-03
PDX1,1.913,2.79E-02,2.847,0.521,0.073,1.75E-03
ZFP28,2.028,2.13E-02,2.967,0.507,0.073,1.78E-03
GATA3,4.581,2.31E-06,2.211,0.536,0.074,1.83E-03
MYOG,2.085,1.86E-02,2.883,0.514,0.074,1.85E-03
ARID1A,1.896,2.90E-02,2.61,0.539,0.076,1.96E-03
NME2,2.101,1.78E-02,2.835,0.51,0.078,2.17E-03
NKX3-1,1.86,3.14E-02,2.921,0.51,0.08,2.29E-03
HNF4G,2.968,1.50E-03,2.497,0.512,0.081,2.35E-03
SMAD2,2.549,5.40E-03,2.412,0.519,0.082,2.48E-03
NR3C1,6.754,7.17E-12,1.954,0.542,0.083,2.54E-03
SOX11,1.708,4.39E-02,3.008,0.498,0.084,2.68E-03
EZH2,8.484,1.09E-17,1.545,0.719,0.086,2.85E-03
TCF4,2.305,1.06E-02,2.162,0.543,0.087,2.96E-03
PRDM1,2.171,1.50E-02,2.261,0.529,0.088,3.07E-03
HOTAIR,2.516,5.94E-03,2.721,0.488,0.089,3.15E-03
TCF21,2.911,1.80E-03,1.907,0.558,0.09,3.27E-03
CEBPB,7.509,2.99E-14,1.834,0.529,0.091,3.43E-03
ATF4,2.433,7.49E-03,2.636,0.494,0.092,3.47E-03
ZIM3,1.894,2.91E-02,2.825,0.494,0.092,3.47E-03
ZNF75D,1.777,3.78E-02,3.036,0.482,0.093,3.59E-03
